build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
744062652,4eca42ba6346d9817d7b050242918a3d2744979c,76,master,errored,83,2020-11-17 01:29:39 UTC,744062653,744062654,744062655,744062656,pull_request
744062645,4ed918da90d2075995b98b8347b4eb5a4b398a59,,github-action,errored,81,2020-11-17 00:47:10 UTC,744062646,744062647,744062648,744062649,push
744053155,bbab1537ccc11784f01759e576407846ca962a04,76,master,canceled,0,,744053156,744053157,744053158,744053159,pull_request
744053132,a9ff62f9f2392d636ec88e10fc157e3f87a66644,,github-action,canceled,0,,744053133,744053134,744053135,744053136,push
744041996,1985bd1cb8f17b83f9c49ba95e46d60802049eb3,75,master,passed,179,2020-11-16 22:55:19 UTC,744041997,744041998,744041999,744042000,pull_request
744041888,dedd0716ca211d7123cc33d134579b3b3a89fb5e,,render_to_string,passed,173,2020-11-16 21:58:06 UTC,744041889,744041890,744041891,744041892,push
744040295,db937c1494bacc26a27039f3abbce6b8567ead8d,,render_to_string,canceled,0,,744040296,744040297,744040298,744040299,push
740213238,040537e2f930b60699acfa6e6fcd628d25c24f8d,,master,passed,325,2020-10-30 15:52:38 UTC,740213239,740213240,740213241,740213242,push
739882439,922ed4bf337c4189026f5dbdcfaaaad34445e112,74,master,passed,313,2020-10-29 12:05:31 UTC,739882440,739882441,739882442,739882443,pull_request
739881928,de184e932b3148448773c2cd8410c69e796e0907,,styleguide-maximum-characters,passed,311,2020-10-29 11:32:01 UTC,739881929,739881930,739881931,739881932,push
715922887,801f4dbea28f90bfabacda337e44218a9540d86e,,master,passed,311,2020-08-07 17:29:40 UTC,715922888,715922889,715922890,715922891,push
715771655,e75993a398195f37c8c0f589ea800b2859a94a33,73,master,passed,336,2020-08-07 08:45:20 UTC,715771656,715771657,715771658,715771659,pull_request
715770161,3f43bd84ba1e205f2e1a0a77324a614cfd4d1be4,,0.16.1,passed,326,2020-08-07 08:38:47 UTC,715770162,715770163,715770164,715770165,push
