tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
694764948,694764949,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,ok,2,ruby,"",false,,,0,,,,,,"",,
694764948,694764950,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764951,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764952,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764953,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764954,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764955,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,broken,2,ruby,"",false,,,0,,,,,,"",,
694764948,694764956,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764957,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764958,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764959,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764960,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,unknown,2,ruby,"",false,,,0,,,,,,"",,
694764948,694764961,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764962,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764963,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
694764948,694764964,11766,e97b1c68010a04ad10b92328ae932ec1941e8247,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
694765022,694765023,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765024,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765025,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765026,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765027,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765028,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765029,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765030,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765031,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765032,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765033,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765034,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765035,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
694765022,694765036,11767,c4f1978d08ddd4ce5eefca0f63c5bf5a1b3c7a58,unknown,unknown,,plain,"",false,,,,,,,,,"",,
