build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
750673756,5c0ba742ef069851e45e6e9e3dbf6ae2dbabc58f,125,master,canceled,14,2020-12-20 13:37:19 UTC,750673757,pull_request
750673693,d719fea7944fd04ee68524657cf11d4265cdf47a,,dev,failed,29,2020-12-20 13:36:38 UTC,750673694,push
750672750,97791bc2e01076b5b4f80d8b9155a70d3daf1ab3,,master,passed,536,2020-12-20 13:24:51 UTC,750672751,750672752,750672753,750672754,750672755,750672756,750672757,750672758,push
750671639,c7437348ccadd50a91131ac70a18d68b8fcd4dfd,124,master,passed,553,2020-12-20 13:12:22 UTC,750671641,750671643,750671646,750671651,750671652,750671653,750671654,750671655,pull_request
750671613,07c9174e6de5d97d7ed98b433ea8552dc0163716,,dependabot/pip/requirements/hypothesis-5.43.3,passed,557,2020-12-20 13:08:39 UTC,750671614,750671615,750671616,750671617,750671618,750671619,750671620,750671621,push
750670866,7d67e263ac154644a4d1be864f6d14a5cd018257,,master,passed,560,2020-12-20 13:00:49 UTC,750670867,750670868,750670869,750670870,750670871,750670872,750670873,750670874,push
750669628,bb54538b164908e56d0960317c08a0898d1c55b9,121,master,passed,553,2020-12-20 12:55:04 UTC,750669629,750669630,750669631,750669632,750669633,750669634,750669635,750669636,pull_request
750669619,4166c2a9ee42f892a453ec9870eb97dfe9626961,,dependabot/pip/requirements/py-1.10.0,passed,541,2020-12-20 12:50:52 UTC,750669620,750669621,750669622,750669623,750669624,750669625,750669626,750669627,push
750669486,bcec0e3aa72c077576a8336a1bbe0d5a10622780,,master,passed,560,2020-12-20 12:46:35 UTC,750669487,750669488,750669489,750669490,750669491,750669492,750669493,750669494,push
750669255,df4c1eeabe69e4e6031bd06da5290488c0a5dbd8,119,master,canceled,0,,750669256,750669257,750669258,750669259,750669260,750669261,750669262,750669263,pull_request
750669244,a67b73ac666ebe08678941f147f58efd9566bb9d,,dependabot/pip/requirements/pre-commit-2.9.3,canceled,0,,750669245,750669246,750669247,750669248,750669249,750669250,750669251,750669252,push
750669187,91d4e9038ce4ba8a8e144b5ebcffcd82dffe8640,121,master,canceled,0,,750669188,750669189,750669190,750669191,750669192,750669193,750669194,750669195,pull_request
750669173,6d4dcd3a17ef29ca7549a112d1895a0333aacb7a,,dependabot/pip/requirements/py-1.10.0,canceled,0,,750669174,750669175,750669176,750669177,750669178,750669179,750669180,750669181,push
750669106,2a1d9c1f60d415c0acd516b5c3b41176350182e2,,master,passed,549,2020-12-20 12:42:02 UTC,750669107,750669108,750669109,750669110,750669111,750669112,750669113,750669114,push
750669036,c6a2fea7b1a7cc2c2f88bb54f68ef2a88030d9d2,,master,canceled,0,,750669037,750669038,750669039,750669040,750669041,750669042,750669043,750669044,push
750668939,86166f45476af559ac47b0cf4d0662895262e6e7,,master,canceled,0,,750668940,750668941,750668942,750668943,750668944,750668945,750668946,750668947,push
750668831,fb3ccfe4c174f7eff406ee5979633902a479bf63,123,master,canceled,0,,750668832,750668833,750668834,750668835,750668836,750668837,750668838,750668839,pull_request
750668818,1078eccd3cf8a5d0e7590b633564bce4c060b3c1,,dependabot/pip/requirements/pytest-6.2.1,canceled,0,,750668819,750668820,750668821,750668822,750668823,750668824,750668825,750668826,push
750668790,55569ed416c31d1501fa01fa9e231fcbdab9f246,122,master,canceled,0,,750668791,750668792,750668793,750668794,750668795,750668796,750668797,750668798,pull_request
750668779,4f4378db0ecedc139d9c8ccee9f8226a08464c7f,,dependabot/pip/requirements/coverage-5.3.1,canceled,0,,750668780,750668781,750668782,750668783,750668784,750668785,750668786,750668787,push
