build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
649718341,9b6f1285094752aae98e4ed9af550c5da943eec1,131,master,failed,274,2020-02-12 23:51:44 UTC,649718342,649718343,649718344,649718345,649718346,649718347,pull_request
647818867,c7ca24ee201ce3e2ee0ae3e737f6699f741129c8,,pyup-update-humanize-0.5.1-to-1.0.0,errored,261,2020-02-08 20:04:12 UTC,647818868,647818869,647818870,647818871,647818872,647818873,push
647818858,f1b3a19d5bbe9c4db45be2f949a16ca6b8799f2f,130,master,errored,278,2020-02-08 20:03:10 UTC,647818859,647818860,647818861,647818862,647818863,647818864,pull_request
647818836,ed346321ec2dbd3298ca52e5f6cd30407f3e343a,,pyup-update-humanize-0.5.1-to-1.0.0,canceled,0,,647818837,647818838,647818839,647818840,647818841,647818842,push
638042256,5bfd3c28ba7703784b57d466161870b346001f31,,pyup-update-semantic_version-2.6.0-to-2.8.4,failed,276,2020-01-16 16:49:29 UTC,638042257,638042258,638042259,638042260,638042261,638042262,push
638042249,8092296e419f3f2dc270b69793203df3481709a5,129,master,failed,281,2020-01-16 16:48:17 UTC,638042250,638042251,638042252,638042253,638042254,638042255,pull_request
638042204,ed346321ec2dbd3298ca52e5f6cd30407f3e343a,,pyup-update-semantic_version-2.6.0-to-2.8.4,canceled,0,,638042205,638042206,638042207,638042208,638042209,638042210,push
638042181,fdddc6b32ecb8db97f3546fd2b4e4ab409276171,128,master,failed,286,2020-01-16 16:47:12 UTC,638042182,638042183,638042184,638042185,638042186,638042187,pull_request
638042161,ed346321ec2dbd3298ca52e5f6cd30407f3e343a,,pyup-update-six-1.12.0-to-1.14.0,failed,282,2020-01-16 16:46:08 UTC,638042162,638042163,638042164,638042165,638042166,638042167,push
638042152,5e732adf9039f63d673db6153b78866261ce3bce,,pyup-update-six-1.12.0-to-1.14.0,canceled,0,,638042153,638042155,638042156,638042157,638042159,638042160,push
628020560,27fa01e54da3b7f5a0b393126087cf6e4ff28dff,126,master,errored,250,2019-12-21 05:56:26 UTC,628020561,628020562,628020563,628020564,628020565,628020566,pull_request
628020553,d51830a9e9ef886c7f126c74fc6b0ce59b13310f,,pyup-update-geoip2-2.9.0-to-3.0.0,errored,240,2019-12-21 05:55:27 UTC,628020554,628020555,628020556,628020557,628020558,628020559,push
628020546,ed346321ec2dbd3298ca52e5f6cd30407f3e343a,,pyup-update-geoip2-2.9.0-to-3.0.0,canceled,0,,628020547,628020548,628020549,628020550,628020551,628020552,push
620726155,9a45bf3dec4d3ec461303bd8b026b60c87bff119,124,master,failed,269,2019-12-04 17:12:59 UTC,620726156,620726157,620726158,620726159,620726160,620726161,pull_request
620726138,a47b0069a30bcab61a99c43c35dca3bcf5e2e609,,pyup-update-semantic_version-2.6.0-to-2.8.3,failed,318,2019-12-04 17:11:36 UTC,620726140,620726141,620726142,620726143,620726144,620726145,push
620726130,ed346321ec2dbd3298ca52e5f6cd30407f3e343a,,pyup-update-semantic_version-2.6.0-to-2.8.3,canceled,0,,620726131,620726132,620726133,620726134,620726135,620726136,push
620726118,9e1afc4aabd474dec98db3710ce3497887b581a2,123,master,failed,311,2019-12-04 17:10:04 UTC,620726119,620726120,620726121,620726122,620726123,620726124,pull_request
620726111,16c1f033b54a1a11b42c27bd21a339372cb3d214,,pyup-update-bottle-0.12.17-to-0.12.18,failed,291,2019-12-04 17:09:02 UTC,620726112,620726113,620726114,620726115,620726116,620726117,push
620726101,ed346321ec2dbd3298ca52e5f6cd30407f3e343a,,pyup-update-bottle-0.12.17-to-0.12.18,canceled,0,,620726102,620726103,620726104,620726105,620726106,620726107,push
607961387,cd55c26027428e914e5e3fce5ea151a88e12d020,121,master,failed,391,2019-11-06 01:38:19 UTC,607961388,607961389,607961390,607961391,607961392,607961393,pull_request
607961380,2a0e178bef995dc1fe4c21dca7567d59dca47d87,,pyup-update-semantic_version-2.6.0-to-2.8.2,failed,369,2019-11-06 01:36:40 UTC,607961381,607961382,607961383,607961384,607961385,607961386,push
607961357,ed346321ec2dbd3298ca52e5f6cd30407f3e343a,,pyup-update-semantic_version-2.6.0-to-2.8.2,canceled,0,,607961358,607961359,607961360,607961361,607961362,607961363,push
607961342,0ee978f02c03eea6d66306d815e7a05dfec8340b,120,master,failed,367,2019-11-06 01:35:08 UTC,607961343,607961344,607961345,607961346,607961347,607961348,pull_request
607961291,ce296daa0b0aa03dbb7552bc28be910a2c6e7555,,pyup-update-six-1.12.0-to-1.13.0,failed,377,2019-11-06 01:33:47 UTC,607961292,607961293,607961294,607961295,607961296,607961297,push
607961250,ed346321ec2dbd3298ca52e5f6cd30407f3e343a,,pyup-update-six-1.12.0-to-1.13.0,canceled,0,,607961252,607961254,607961255,607961256,607961258,607961259,push
606229800,c4cbc9d84eb9c4463dde920adde1ff3a3b1b6435,119,master,failed,377,2019-11-01 22:24:01 UTC,606229803,606229804,606229805,606229806,606229807,606229808,pull_request
605636624,86e02caf735f6820b94bfdbbae540f176504be9d,118,master,failed,372,2019-10-31 17:42:49 UTC,605636625,605636626,605636627,605636628,605636629,605636630,pull_request
560217616,ed346321ec2dbd3298ca52e5f6cd30407f3e343a,,master,passed,259,2019-07-17 22:26:47 UTC,560217617,560217618,560217619,560217620,560217621,560217622,push
560217489,3e3df37eb71910a208a8fd6a092fd8e7e4ff581f,92,master,errored,186,2019-07-17 22:25:46 UTC,560217490,560217491,560217492,560217493,560217494,560217495,pull_request
560217474,64e5c6904149fb040caca9cc11a8d5eb9dd74655,,pyup-update-six-1.11.0-to-1.12.0,errored,180,2019-07-17 22:24:38 UTC,560217475,560217476,560217477,560217478,560217479,560217480,push
