build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761649334,664cf8c1060bb9fe97de6e7f13bd65fbaf292402,,master,passed,784,2021-03-05 23:44:16 UTC,761649335,761649336,761649337,761649338,761649339,761649340,push
761627311,d09b97106b0906ad9fb5ec380e98339d83705d54,1801,master,passed,820,2021-03-05 20:00:12 UTC,761627312,761627313,761627314,761627315,761627316,761627317,pull_request
761626630,e4a9a27aeab8968fed58ce11f311545c26e6f906,1801,master,passed,801,2021-03-05 19:50:02 UTC,761626631,761626632,761626633,761626634,761626635,761626636,pull_request
761510032,e5fa3f2520eff93eac8425d236f0f18a25e9e79c,1801,master,passed,743,2021-03-04 23:26:32 UTC,761510033,761510034,761510035,761510036,761510037,761510038,pull_request
761417109,0c7d98cc90d6ba204b0f5552ce884777cfc4b418,1799,master,passed,715,2021-03-04 09:51:04 UTC,761417110,761417111,761417112,761417113,761417114,761417115,pull_request
761198791,d6d8ce95b6822e5b3b2f3e22d436fc992a760767,1797,master,passed,785,2021-03-02 23:04:32 UTC,761198792,761198793,761198794,761198795,761198796,761198797,pull_request
761197065,f5e3c88067eebef0de8a8cd920ea36c077603afe,1797,master,passed,1043,2021-03-02 22:41:48 UTC,761197066,761197067,761197068,761197069,761197070,761197071,pull_request
761193851,73d9a7f453209ea4639a6f691aa391f9b3fb4923,1797,master,passed,935,2021-03-02 22:07:54 UTC,761193852,761193853,761193854,761193855,761193856,761193857,pull_request
761189908,9e04893d2c7f6c35d2fffe99a6f2032f56d7fa3d,1797,master,passed,782,2021-03-02 21:32:25 UTC,761189909,761189910,761189911,761189912,761189913,761189914,pull_request
761187683,97633550bd7b0eb44ffca7680a03a11f0385d68c,1797,master,passed,894,2021-03-02 21:20:00 UTC,761187684,761187685,761187686,761187687,761187688,761187689,pull_request
761187364,3802b604d55aeda90c2525559b15862bb9cc2a54,1796,master,passed,881,2021-03-02 21:09:37 UTC,761187365,761187366,761187367,761187368,761187369,761187370,pull_request
