build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
760372625,ee9286d4265d78978e4af97c3818b65f3022cc3a,465,master,passed,488,2021-02-24 22:19:46 UTC,760372626,760372627,760372628,760372629,760372630,760372631,760372632,760372633,760372634,760372635,760372636,pull_request
759614452,721efaf5d74efad643da77a1fabbe7292ae0d454,462,master,passed,517,2021-02-19 10:00:22 UTC,759614453,759614454,759614455,759614456,759614457,759614458,759614459,759614460,759614461,759614462,759614463,pull_request
759613775,73b1adddd6f46ee4ab0f6a380247a541b4fc6ee9,462,master,failed,430,2021-02-19 09:52:04 UTC,759613776,759613777,759613778,759613779,759613780,759613781,759613782,759613783,759613784,759613785,759613786,pull_request
757767915,063cf8b0d9aefb4dbef49dff2ecd93055889d092,460,master,failed,449,2021-02-06 00:44:02 UTC,757767916,757767917,757767918,757767919,757767920,757767921,757767922,757767923,757767924,757767925,757767926,pull_request
756756974,0ad6143b8d410b334e6affbaf1490c549651c916,458,master,failed,437,2021-01-29 21:40:33 UTC,756756975,756756976,756756977,756756978,756756979,756756980,756756981,756756982,756756983,756756984,756756985,pull_request
756161315,b6b0262c2eb8061bd5567c35b7071e9d7ac429bd,456,master,failed,432,2021-01-25 23:15:27 UTC,756161316,756161317,756161318,756161319,756161320,756161321,756161322,756161323,756161324,756161325,756161326,pull_request
755913441,70f26a47f7697ff1b151d197460cc0e131794994,455,master,failed,457,2021-01-24 05:51:46 UTC,755913442,755913443,755913444,755913445,755913446,755913447,755913448,755913449,755913450,755913451,755913452,pull_request
755913405,3e32b06037c3684a0199b21aa81ac03b138da61d,455,master,errored,364,2021-01-24 05:50:03 UTC,755913406,755913407,755913408,755913409,755913410,755913411,755913412,755913413,755913414,755913415,755913416,pull_request
755175498,96481b99142a8e18a8b40cd1d18bfb9b165b01e2,454,master,failed,495,2021-01-19 13:00:27 UTC,755175499,755175500,755175501,755175502,755175503,755175504,755175505,755175506,755175507,755175508,755175509,pull_request
755134963,acfbf9f66d37638e39545efb9687504d4c89d14a,452,master,passed,533,2021-01-19 05:24:06 UTC,755134964,755134965,755134966,755134967,755134968,755134969,755134970,755134971,755134972,755134973,755134974,pull_request
752915018,8c8e708ef9f4fac73bc3a4f77741fb120eecc8cd,451,master,failed,488,2021-01-05 02:50:23 UTC,752915019,752915020,752915021,752915022,752915023,752915024,752915025,752915026,752915027,752915028,752915029,pull_request
752890862,56bf22d8be3e193314c67b531faed31a50080374,451,master,failed,501,2021-01-04 23:30:27 UTC,752890863,752890864,752890865,752890866,752890867,752890868,752890869,752890870,752890871,752890872,752890873,pull_request
751176922,396aca1e0ac1ca60d8b201a3aa10cca94073d010,,master,failed,484,2020-12-23 10:45:53 UTC,751176923,751176924,751176925,751176926,751176927,751176928,751176929,751176930,751176931,751176932,751176933,push
751176848,86989dc6d22d0dfc9ab7424ad2aa3a3e5c285cc4,447,master,errored,262,2020-12-23 10:43:01 UTC,751176850,751176853,751176854,751176855,751176856,751176857,751176858,751176859,751176860,751176861,751176862,pull_request
