build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
760974696,8030bf1300684aebb35f34968d528642af460517,174,master,passed,83,2021-03-01 17:23:05 UTC,760974697,760974698,pull_request
752316045,7c9d1fd5e59a19262c97e397b47ab08e95cc06a2,169,master,passed,79,2020-12-31 19:13:51 UTC,752316046,752316047,pull_request
746060989,16e2806904e2cdbbad3d143b0d51901b79d6872a,166,master,failed,75,2020-11-26 12:09:13 UTC,746060990,746060991,pull_request
746060927,2df73386474448e7ba7ce4f7fb1e7cfd1dfba59f,166,master,canceled,0,,746060928,746060929,pull_request
745647557,eb1ec181f63f058c9dd5bb6ea5b916b8ea170ad8,164,master,passed,89,2020-11-24 15:19:18 UTC,745647558,745647559,pull_request
745229019,6cb424f3e4df4bd137761bae3f6653c29c44f6fc,163,master,failed,128,2020-11-22 15:48:29 UTC,745229020,745229021,pull_request
737965812,200f7e08f7b52c26c2c8c3e5fa360d477d955960,162,master,passed,84,2020-10-22 09:09:29 UTC,737965813,737965814,pull_request
735893073,7e7426aac06c0ccf82b9dffc77e2960c0a09ee77,160,master,passed,81,2020-10-15 00:11:41 UTC,735893074,735893075,pull_request
735892741,a0d30eaca6c2428f9a60c2ec626818895ee3756f,160,master,passed,85,2020-10-15 00:09:19 UTC,735892742,735892743,pull_request
732491695,20bb3f2f24b0ad4a28869788248529fcd4ffc5ba,155,master,passed,81,2020-10-03 11:33:25 UTC,732491696,732491697,pull_request
730959401,981a3cab68f6f3481bf42c6a98521af7fbd14fae,,master,passed,81,2020-09-28 13:41:21 UTC,730959403,730959405,push
730943139,43f74af14a796252d8320bff820f51b8231e32b1,,master,passed,80,2020-09-28 12:40:49 UTC,730943140,730943141,push
730942992,5c051320c5352c38b72f0f5cf5889bdb5be1abfe,,master,canceled,0,,730942993,730942994,push
730942631,5160b8b8eb9f08b7f6316c296ee6ff082df5bcec,145,master,passed,82,2020-09-28 12:38:11 UTC,730942632,730942633,pull_request
730942073,0ce406edb7bee6411a77f3b5b95ff9306a86efe3,,master,failed,51,2020-09-28 12:35:50 UTC,730942074,730942075,push
730941810,ff07e3d5c296963ac8f2b365ae815ac0a622b71a,,master,canceled,0,,730941811,730941812,push
730941714,85345fc7c3b501edfbff8d29f467426447fe207f,,master,canceled,0,,730941715,730941716,push
713288210,0684002b722d08d0e904125b0b52ce64956b3088,155,master,passed,77,2020-07-30 12:51:57 UTC,713288211,713288212,pull_request
706008518,3bf0f79e422d9da07ba8334a1aa022e512a4b967,155,master,passed,80,2020-07-08 01:28:05 UTC,706008519,706008520,pull_request
704453996,b6e37674c87acdb08b100a59b95dc519a412cbd1,155,master,passed,78,2020-07-02 20:18:23 UTC,704453997,704453998,pull_request
688100141,2ee4554b4b27fd0e4ebd919fd1d36e8f7cdd4553,152,master,passed,75,2020-05-17 17:24:38 UTC,688100142,688100143,pull_request
681246769,9838762055b97ec131192f71823c6e2870d5184e,151,master,passed,86,2020-04-29 23:12:18 UTC,681246770,681246771,pull_request
676656459,c439d86c734681eb8136c7c37bd83d515761a287,147,master,passed,78,2020-04-18 17:56:28 UTC,676656460,676656461,pull_request
675016819,02195236b010e24ef065eb420a8e423608b916d6,145,master,passed,79,2020-04-14 20:23:05 UTC,675016820,675016821,pull_request
675011358,95dcc7d3704ff67bccb3ef8b3665e2696d79a49b,145,master,passed,76,2020-04-14 20:06:37 UTC,675011359,675011360,pull_request
675003831,a0649c4427b482754d86e08849300e9286c3f0f5,145,master,passed,80,2020-04-14 19:43:20 UTC,675003832,675003833,pull_request
666502179,a8efb1241b8c7f367722282285ae58ba8ddfd1e0,140,master,failed,71,2020-09-28 12:44:07 UTC,666502180,666502181,pull_request
646040311,23d355bc4c9ef5925dd65d1a35dae756b02f3f04,135,master,passed,87,2020-02-04 17:01:30 UTC,646040312,646040313,pull_request
635743873,e15db710812c111cce939cc7028ca3d15a6e7b8b,,master,passed,76,2020-01-11 18:24:53 UTC,635743874,635743875,push
635738337,006975efddb919fca575eb69089beb7ef313f93d,,master,passed,79,2020-01-11 17:58:26 UTC,635738338,635738339,push
635685950,cc0f334617ac91a0d141e07c3d1be3c59cc5920c,134,master,passed,78,2020-01-11 14:28:42 UTC,635685951,635685952,pull_request
635683807,71ecd23dafda8ef06b47f86b28ca1efa0963bc03,,master,failed,103,2020-01-11 14:21:11 UTC,635683808,635683809,635683810,push
635676514,7064ee815800e779670e6ffadaa128ca1cadbde5,,master,passed,137,2020-01-11 13:49:52 UTC,635676515,635676516,635676517,push
635676394,40a6352d83bb9201e23f7c568bbee56574ba2ad6,,master,passed,135,2020-01-11 13:49:06 UTC,635676395,635676396,635676397,push
635675538,b70f4664c089ea2c79e9459bcf8bcf5ae62210f6,,master,passed,142,2020-01-11 13:44:50 UTC,635675539,635675540,635675541,push
635673052,6fa31d0b57bb2448abc7b640550cc6427b5793c7,,master,passed,141,2020-01-11 13:32:01 UTC,635673053,635673054,635673055,push
635671040,820c756334c820bb3ef043be2f024f0f421c1d77,,master,passed,245,2020-01-11 13:22:03 UTC,635671041,635671042,635671043,push
635670723,3e209d236aad472c9910efbdd8de78dd6738ff64,,master,passed,251,2020-01-11 13:20:10 UTC,635670724,635670725,635670726,push
634326460,4e8bbf143721c312299f11cad296ee9878737159,132,master,passed,141,2020-01-08 16:47:19 UTC,634326461,634326462,634326463,pull_request
633104701,7d204b6272a324b3160b7cf2f477f174ff9fc9d8,131,master,passed,251,2020-01-06 01:54:25 UTC,633104702,633104703,633104704,pull_request
633104221,702791e1f1838d29529682d13939c23f5faded94,131,master,passed,256,2020-01-06 01:51:34 UTC,633104222,633104223,633104224,pull_request
631996752,0b48aedc5e94eb6c11d820d3920aeb4602419e1b,125,master,passed,256,2020-01-02 19:24:55 UTC,631996753,631996754,631996755,pull_request
631265524,bf17cb8e759d5c9a852807c67f00003483f8fa76,133,master,passed,254,2019-12-31 11:23:29 UTC,631265525,631265526,631265527,pull_request
630566228,1a0c0bfc5b396e25362340382414a9f3fc9154ee,132,master,failed,122,2019-12-29 10:29:49 UTC,630566229,630566230,630566231,pull_request
630566086,9f11a4ce0969f8118d5f5fbcda861868dbf65d95,132,master,failed,130,2019-12-29 10:28:49 UTC,630566087,630566088,630566089,pull_request
630086006,68d617668ecaf3de0350b2135a5e3c47e711deb6,131,master,passed,246,2019-12-27 18:36:03 UTC,630086007,630086008,630086009,pull_request
630084453,c0deb0af38a8577c30daa954199777b14ee3c308,131,master,passed,246,2019-12-27 18:30:14 UTC,630084454,630084455,630084456,pull_request
621555347,a3d4f9c94f08714014715289cd434f6f82e533d3,128,master,passed,163,2019-12-06 11:35:27 UTC,621555348,621555349,621555350,pull_request
621552025,a4d178e7763de079e301ec2857d9d4774d7b43fa,128,master,passed,165,2019-12-06 11:25:54 UTC,621552026,621552027,621552028,pull_request
621518810,80fd5fcea01d243a732efe0c0c5122cc2bc17ac2,128,master,failed,134,2019-12-06 09:47:21 UTC,621518811,621518812,621518813,pull_request
621517376,0eec5437f05317cd8ce74bc0accd5cf6a6f52830,128,master,failed,97,2019-12-06 09:43:02 UTC,621517377,621517378,621517379,pull_request
621516294,78883dadf71135e76543f057d925be3cb32d218e,128,master,failed,135,2019-12-06 09:39:20 UTC,621516295,621516296,621516297,pull_request
621512306,6eb223e1199b7cfaf86d5e5b0c1d67c863eb4182,128,master,failed,133,2019-12-06 09:27:30 UTC,621512307,621512308,621512309,pull_request
621510038,c5d0acd2c78d3abc036a3aeb72ca6bd3604b0312,128,master,failed,133,2019-12-06 09:20:47 UTC,621510039,621510040,621510041,pull_request
621509190,1d39ec1f8b024313546f5517b0fbc91ed10b0071,128,master,errored,102,2019-12-06 09:17:46 UTC,621509191,621509192,621509193,pull_request
621508723,b195406d4f21304bf8dde9eda7160447eeb637d3,128,master,errored,99,2019-12-06 09:16:29 UTC,621508724,621508725,621508726,pull_request
621508261,bef41d6d0e471ab8fc5e4fc9da59228376f1abae,128,master,errored,102,2019-12-06 09:15:35 UTC,621508262,621508263,621508264,pull_request
620764024,b85fb7bc3e26a921b332340b61d28b20dd53674c,127,master,errored,80,2019-12-04 18:47:18 UTC,620764025,620764026,620764027,pull_request
620342547,37c0508bfb1a112c6d40551c9cf0bb564615c2d4,126,master,errored,96,2019-12-03 21:52:22 UTC,620342548,620342549,620342550,pull_request
