build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
569323583,cf40279aa6695411adcf8d220e60a0b229147d61,,master,passed,761,2019-08-08 12:27:31 UTC,569323584,569323585,569323586,569323587,569323588,569323589,569323590,569323591,569323592,569323593,push
569261391,1b947439736de7c0103d6dab32b18cf2d14680a2,579,master,passed,759,2019-08-08 09:32:40 UTC,569261392,569261393,569261394,569261395,569261396,569261397,569261398,569261399,569261400,569261401,pull_request
569257298,c7acf9f4a0b11339ec68a754e6f97ffd66b16bd7,579,master,passed,754,2019-08-08 09:20:57 UTC,569257299,569257300,569257301,569257302,569257303,569257304,569257305,569257306,569257307,569257308,pull_request
569253514,7c3c3fc141b3d88c574a4b6bba36f7209a346339,569,master,passed,733,2019-08-08 09:13:03 UTC,569253515,569253516,569253517,569253518,569253519,569253520,569253521,569253522,569253523,569253524,pull_request
569253431,f90d1f6109dabc164e9a019162fdb436fd2f0c72,579,master,passed,777,2019-08-08 09:09:55 UTC,569253432,569253433,569253434,569253435,569253436,569253437,569253438,569253439,569253440,569253441,pull_request
569252014,be4afd9f678e76f3b92cfb6a95429a20cd6ffd3d,579,master,passed,779,2019-08-08 09:06:05 UTC,569252015,569252016,569252017,569252018,569252019,569252020,569252021,569252022,569252023,569252024,pull_request
569249460,e7bd61cda5303b63730a790831ac17a682adacf7,569,master,failed,717,2019-08-08 08:59:13 UTC,569249461,569249462,569249463,569249464,569249465,569249466,569249467,569249468,569249469,569249470,pull_request
569241002,bbfcf2e3453d13a223f9c8fe94a3fe842a1d7ad4,579,master,passed,746,2019-08-08 08:36:22 UTC,569241003,569241004,569241005,569241006,569241007,569241008,569241009,569241010,569241011,569241012,pull_request
569238451,bdd920e0f8df635436d4ca469399f3e85ffcae24,569,master,passed,745,2019-08-08 08:29:42 UTC,569238452,569238453,569238455,569238456,569238457,569238458,569238459,569238461,569238462,569238463,pull_request
569229502,bbadf7bdbe42d9f79376d3387ead1952c24b83fc,579,master,failed,730,2019-08-08 08:03:27 UTC,569229503,569229504,569229505,569229506,569229507,569229508,569229509,569229510,569229511,569229512,pull_request
