build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
754116189,9f1c1d07a2d46919f666f69f6a324bacba498a6a,,v1.2.5,passed,308,2021-01-12 13:27:45 UTC,754116190,754116191,754116192,754116193,push
754116120,9f1c1d07a2d46919f666f69f6a324bacba498a6a,,master,passed,272,2021-01-12 13:26:05 UTC,754116121,754116122,754116123,754116124,push
745245489,d467d8080fc335b4c8a7b31dd6a66483985d531b,,master,passed,284,2020-11-22 17:23:50 UTC,745245490,745245491,745245492,745245493,push
745219817,d3914cda8ffcffe071c5f1a8b6a676b202eb7dbe,206,master,passed,278,2020-11-22 14:53:50 UTC,745219818,745219819,745219820,745219821,pull_request
715472385,a33c628da1023bda4dc96b51c92188a57cd5513e,201,master,passed,271,2020-08-06 11:35:45 UTC,715472386,715472387,715472388,715472389,pull_request
697184091,09eb3f343239ee1d832d6dbd3710bad81db50435,201,master,passed,267,2020-06-11 11:15:32 UTC,697184092,697184093,697184094,697184095,pull_request
693830926,6297e3772816b7ac3cebee44e2e289c905ee46c8,199,master,passed,282,2020-06-02 12:55:23 UTC,693830927,693830928,693830929,693830930,pull_request
684077862,8c475578f420ae2a76674f46ee30c81b8c0d0ac3,196,master,passed,276,2020-05-07 01:13:31 UTC,684077863,684077864,684077865,684077866,pull_request
587422663,14974a1cf6477f616180232977d8ab4791ea8820,,master,passed,297,2019-09-20 10:46:30 UTC,587422664,587422665,587422666,587422667,push
586222957,e40c2bfe4ec8a941a6b2f4296cd92097d49eb607,192,master,passed,294,2019-09-17 19:44:41 UTC,586222958,586222959,586222960,586222961,pull_request
586159979,59f48298c27020e46bdf1cf2103ff06448fba6ea,192,master,passed,296,2019-09-17 17:13:02 UTC,586159980,586159981,586159982,586159983,pull_request
574648059,13e7230c8f2d13bf1d3c21f7f374b94b2d83a48f,190,master,passed,293,2019-08-21 02:11:31 UTC,574648060,574648061,574648062,574648063,pull_request
555611349,938323a72016e9cf84fa5fba7635089efb0ad87f,,master,passed,269,2019-07-08 05:42:22 UTC,555611350,555611351,555611352,555611353,push
498753831,97b6244175ae18ea6eef668034fd6565847501c9,,v1.2.4,passed,361,2019-02-26 14:28:46 UTC,498753832,498753833,498753834,498753835,push
498753454,f21364dd725021840f2783b99270f5024b6b333a,182,v1.2,passed,323,2019-02-26 14:27:26 UTC,498753455,498753456,498753457,498753458,pull_request
498753397,97b6244175ae18ea6eef668034fd6565847501c9,,master,passed,377,2019-02-26 14:27:19 UTC,498753398,498753399,498753400,498753401,push
498654017,b5522fd73ae32025b7e61d36736c05351bd11458,182,v1.2,passed,394,2019-02-26 10:29:25 UTC,498654018,498654019,498654020,498654021,pull_request
498654004,1aedd9fa9bac68df2eb1d0e1ad73e8a0b8b5fc44,,master,passed,466,2019-02-26 10:28:32 UTC,498654005,498654006,498654007,498654008,push
498653755,4ac62b644b774d41a2dd5ebe5f39d38e09da7bfa,182,v1.2,canceled,0,,498653756,498653757,498653758,498653759,498653760,pull_request
498653742,d066953f79bc88eaf3ac70bd1a4cdf39bc4daf8e,,master,passed,443,2019-02-26 10:27:39 UTC,498653743,498653744,498653745,498653746,498653747,push
498649604,53ccebcef30231ec6ed8e8f09406df0bc02b79e7,,v1.2.2,errored,459,2019-02-26 10:20:02 UTC,498649605,498649606,498649607,498649608,498649609,push
498648406,53ccebcef30231ec6ed8e8f09406df0bc02b79e7,,v1.2.3,errored,444,2019-02-26 10:18:01 UTC,498648409,498648412,498648414,498648415,498648416,push
498647294,fb24a680c326f4b4331491cf5b7fbeff959f4ee5,182,v1.2,errored,507,2019-02-26 10:15:44 UTC,498647295,498647296,498647297,498647298,498647299,pull_request
498647263,53ccebcef30231ec6ed8e8f09406df0bc02b79e7,,master,errored,502,2019-02-26 10:13:17 UTC,498647264,498647265,498647266,498647267,498647268,push
498645641,44d1a307d7aafabea0fbfb042ad0cc04c890d0ea,182,v1.2,canceled,-1,2019-02-26 10:12:48 UTC,498645642,498645643,498645644,498645645,498645646,pull_request
498645606,574bab42489b8bd8cc43b9fca59f3b5ec94fa043,,master,errored,504,2019-02-26 10:09:31 UTC,498645607,498645608,498645609,498645610,498645611,push
498643917,d55261f0421f44632469ca4bd462c60be03fef4b,182,v1.2,errored,561,2019-02-26 10:07:27 UTC,498643918,498643919,498643920,498643921,498643922,pull_request
498643881,69168321aeb6b4108c1c8a04a859235aac0dd7ff,,master,errored,762,2019-02-26 10:04:49 UTC,498643882,498643883,498643884,498643885,498643886,push
498643334,e12a34e04363fe00708cd2155d1c3574f7984d91,182,v1.2,canceled,0,,498643335,498643336,498643337,498643338,498643339,pull_request
498643315,c03c287c68ed8701545f33f710bb138fcbadbb63,,master,errored,577,2019-02-26 10:11:44 UTC,498643316,498643317,498643318,498643319,498643320,push
498642995,f1e3c32f60d6a211541f0ea46129b552d7998abd,182,v1.2,canceled,0,,498642996,498642997,498642998,498642999,498643000,pull_request
498642923,83594137c64630475a86ffd4645f8c85c514d156,,master,errored,577,2019-02-26 10:00:54 UTC,498642924,498642925,498642926,498642927,498642928,push
498600328,9ca9a578411ef3805792b9c01aa5fdbe51412a15,184,master,errored,532,2019-02-26 08:16:47 UTC,498600329,498600330,498600331,498600332,498600333,pull_request
472962184,069069fd192813683d34c81a797dd86ff4d597ba,183,v1.2,errored,433,2018-12-28 10:42:15 UTC,472962185,472962186,472962187,472962189,472962191,pull_request
472957439,4b65c10c3c983e759eee64fc84a5d83ed623ba2f,182,v1.2,passed,433,2018-12-28 10:24:37 UTC,472957440,472957441,472957442,472957443,472957444,pull_request
