build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761527892,45738bbeccbd404ce342d7e4f7bb9234bda0bf8c,,master,passed,31,2021-03-05 03:02:46 UTC,761527893,push
761527784,f014877293c649ca3ba53ba26ce99ece4a511286,235,master,passed,29,2021-03-05 03:01:23 UTC,761527785,pull_request
761527780,b835ef0dcb14bec7b75d6535057b2c2761cb1db6,,move-out-of-python3-folder-into-root,passed,29,2021-03-05 03:01:26 UTC,761527781,push
761527428,cfc36fce9d5196190bb5099140ac4029000a88b2,235,master,failed,30,2021-03-05 02:59:15 UTC,761527429,pull_request
761527286,d171baf1375fe84f9016fa3bbb38de3609d34e0a,,move-out-of-python3-folder-into-root,failed,29,2021-03-05 02:57:40 UTC,761527287,push
761526976,c8dcc9459abd4ad36075236dd23318e93234f48d,,move-out-of-python3-folder-into-root,failed,29,2021-03-05 02:53:10 UTC,761526977,push
761526912,a8674b1b38792b802b0f9058573ab7aebbd055e6,,move-out-of-python3-folder-into-root,failed,29,2021-03-05 02:51:43 UTC,761526913,push
761526768,c564effbf6444c682f79c3c960614b573ffa2968,,move-out-of-python3-folder-into-root,passed,29,2021-03-05 02:49:01 UTC,761526769,push
761526270,3fb16e7ce0f6722397fe23af41f8311a5ff72770,,master,passed,28,2021-03-05 02:44:06 UTC,761526271,push
761522542,1147666bb10bb6aa9e311919c6bf075236016a74,234,master,passed,32,2021-03-05 01:58:00 UTC,761522543,pull_request
761522316,c564effbf6444c682f79c3c960614b573ffa2968,,readme-updates-and-thankyous,passed,29,2021-03-05 01:56:03 UTC,761522317,push
761521524,30c16ce8705a46fbbfeca3c2ee9dbc47f722d658,,master,passed,77,2021-03-05 01:45:57 UTC,761521525,push
761521159,f462e4b0bf94527321e874a2a5007a6b347c3b4f,,master,passed,29,2021-03-05 01:41:52 UTC,761521160,push
761521082,eef982e21c27f4d4ba8b9ef7f94a196732d75bee,233,master,errored,32,2021-03-05 01:41:15 UTC,761521083,pull_request
761521080,0fa842cd44653feb80f6f93c0fc004e0996bd781,,doc_python_3.3_with_ammendments,errored,32,2021-03-05 01:41:10 UTC,761521081,push
761520181,9ccbfd64e5d1258f8e4bfbca032667516eec7566,,master,passed,30,2021-03-05 01:28:35 UTC,761520182,push
761520122,74250d453140a213109136fd4d4be738968632d4,232,master,passed,31,2021-03-05 01:27:24 UTC,761520123,pull_request
761520070,01a65bbdda4a7b4d439e165f10ba61a238e8a7ce,,use-latest-version,passed,28,2021-03-05 01:26:20 UTC,761520071,push
761513007,75ab28bc82269a18b63a154bf9589811d15959db,,master,failed,93,2021-03-05 00:05:40 UTC,761513008,761513009,761513010,761513011,push
761512941,16e3cc45d59fe76da449c1735842f3fa0049a0c7,219,master,errored,97,2021-03-05 00:04:51 UTC,761512942,761512943,761512944,761512945,pull_request
761512541,f686fd36829aec078f2033aadf0d03173ae34eba,,master,failed,107,2021-03-04 23:59:29 UTC,761512542,761512543,761512544,761512545,761512546,push
761510499,e59bea47dfa0f3c3481a2a93ac694593d972a5be,,master,failed,105,2021-03-04 23:35:17 UTC,761510500,761510501,761510502,761510503,761510504,push
761510440,6b554c5cfa71f5c623846d7d488956f4978baaf3,231,master,errored,123,2021-03-04 23:34:36 UTC,761510441,761510442,761510443,761510444,761510445,pull_request
761510209,f56b91bc3baf3bc66d674bc954fad6b2a25992b6,,fix-pypiwin32-instructions,failed,120,2021-03-04 23:30:42 UTC,761510210,761510211,761510212,761510213,761510214,push
761401718,2cae26a2f020345e70425e5262de0995dd9d432d,230,master,failed,110,2021-03-04 06:52:58 UTC,761401719,761401720,761401721,761401722,761401723,pull_request
759422054,0cc73fc94a3ccf55f486e0e4fabcf872060dcb98,229,master,failed,99,2021-02-18 01:50:40 UTC,759422055,759422056,759422057,759422058,pull_request
759420798,5078833435b5cd392036e46dcd709ef9da1b6924,229,master,failed,117,2021-02-18 01:33:51 UTC,759420799,759420800,759420801,759420802,759420803,pull_request
758702259,c0dc9a0747ea84d522ccfefbb44510fd99b4ff96,229,master,failed,112,2021-02-12 15:59:51 UTC,758702260,758702261,758702262,758702263,758702264,pull_request
742626862,1189b83546e115cc8d25b19d0ca60702e76fee04,227,master,errored,120,2020-11-10 05:53:57 UTC,742626863,742626864,742626865,742626866,742626867,pull_request
732003948,32833d3ff2023281be2810522c6295e725f237aa,224,master,failed,115,2020-10-01 16:48:36 UTC,732003949,732003950,732003951,732003952,732003953,pull_request
732003465,f4d3b37276ed51aec4831e2527e2744ef6ff7f5b,224,master,canceled,0,,732003466,732003467,732003468,732003469,732003470,pull_request
732003091,8971fc3da72869b4882836eeaf3fda12929098b3,224,master,canceled,0,,732003092,732003093,732003094,732003095,732003096,pull_request
732002749,1272907fc9ab1de198776ff625f88294f661b4fa,224,master,canceled,0,,732002750,732002751,732002752,732002753,732002754,pull_request
728196101,74578551d5c87572059cb3ef690e6082c4890a04,223,master,failed,113,2020-09-18 01:12:27 UTC,728196102,728196103,728196104,728196105,728196106,pull_request
721184531,e90ab97e32f9e02a603e2bf9822cc784d8479048,222,master,failed,106,2020-08-26 00:35:28 UTC,721184532,721184533,721184534,721184535,721184536,pull_request
714345912,391783ce9674311f2dea01d037004b6ba07b89c7,221,master,failed,101,2020-08-03 04:14:44 UTC,714345913,714345914,714345915,714345916,714345917,pull_request
702893847,a9d7aa1f467db8f5c833ca7f62bf1821e6a76915,206,master,failed,104,2020-06-28 14:33:49 UTC,702893848,702893849,702893850,702893851,702893852,pull_request
