build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
484903840,fdbc59d89f9d262d26203cdd127bc34b8faac024,,master,passed,1349,2019-01-27 01:17:04 UTC,484903841,484903842,484903843,484903844,484903845,484903846,push
484903394,7887ad465f4a103c5615b0af6da950730f5704f4,,master,passed,1323,2019-01-27 01:12:48 UTC,484903395,484903396,484903397,484903398,484903399,484903400,push
484902871,d014ca00db44b203ef5d88967d9c159998f5eebb,,master,failed,1392,2019-01-27 01:09:03 UTC,484902872,484902873,484902874,484902875,484902876,484902877,push
484897243,5df606ae79e761fec84681615eedce1cd734d3f0,232,master,passed,1329,2019-01-27 00:34:26 UTC,484897244,484897245,484897246,484897247,484897248,484897249,pull_request
480139467,916215c63453a281ecf467cc7d17bc606cda1e4a,,master,passed,1475,2019-01-15 23:24:25 UTC,480139468,480139469,480139470,480139472,480139473,480139474,push
480137499,f029a3545bec05861c404b19ab4bd8ed9df415bc,,master,passed,1335,2019-01-15 23:18:43 UTC,480137500,480137501,480137502,480137503,480137504,480137505,push
479374210,10456972ccc33e5a2b2ced89234c53a35abc465d,,master,passed,1294,2019-01-14 12:35:33 UTC,479374211,479374212,479374213,479374214,479374215,479374216,push
479370063,c570e57a8e07d024de203978682e165a2138eefb,230,master,passed,1669,2019-01-14 12:24:13 UTC,479370064,479370066,479370067,479370070,479370071,479370072,pull_request
479369710,3c6b680c90aa8374ef191b291b74bbeaac4d1880,230,master,canceled,249,2019-01-14 12:22:49 UTC,479369711,479369712,479369713,479369714,479369715,479369716,pull_request
479151677,1dd2d1146cd8d80140666a2258a8ddf9923c5278,,master,passed,1370,2019-01-14 11:35:31 UTC,479151678,479151679,479151680,479151681,479151682,479151685,push
479148571,774a9d478ed46e5de0adaafb49352f22e57fb091,,master,passed,1348,2019-01-13 21:34:42 UTC,479148572,479148573,479148574,479148575,479148576,479148577,push
479148161,0037b37ec7192fb0dce1daaa1ed54874542bc09a,,master,passed,1391,2019-01-13 21:30:38 UTC,479148162,479148163,479148164,479148165,479148166,479148167,push
479144717,881f4b354a08404cc00b515a59b9939b2aa024de,229,master,passed,2249,2019-01-13 21:17:22 UTC,479144718,479144719,479144720,479144721,479144722,479144723,pull_request
479143479,2dd898f9deb7de21717c1eb7b479e51b69e04d4b,228,master,passed,1373,2019-01-13 21:13:06 UTC,479143480,479143481,479143482,479143483,479143484,479143485,pull_request
479142232,142c396034d06d8a874cdfeb89c534d0771df900,,master,canceled,1954,2019-01-13 21:06:54 UTC,479142233,479142234,479142235,479142236,479142237,479142238,push
479138639,d49273637b08c373bf2da52678fa1050d3daf914,227,master,passed,2141,2019-01-13 20:52:04 UTC,479138640,479138641,479138642,479138643,479138644,479138645,pull_request
479136429,c8a8a7c2aee113f48fb142851208f84f46cd7856,227,master,failed,2150,2019-01-13 20:43:27 UTC,479136430,479136431,479136432,479136433,479136434,479136435,pull_request
478860326,b235609725a13cb02771d2f3dec351ce58811637,223,master,passed,2161,2019-01-12 22:00:47 UTC,478860327,478860328,478860329,478860330,478860331,478860332,pull_request
478845575,d3b0afc74035e2f8395dd70760d1f3ec6bcb8138,225,master,passed,2152,2019-01-12 21:00:03 UTC,478845576,478845577,478845578,478845579,478845580,478845581,pull_request
478844402,198a72f3e997b4dc8ba58d0871af2a9ec5ede7f0,225,master,canceled,1452,,478844403,478844404,478844405,478844406,478844407,478844408,pull_request
478842844,f12cb0b13e152e5b3843b733a2c5046bdc93d65f,223,master,errored,1462,2019-01-12 20:47:19 UTC,478842845,478842846,478842847,478842848,478842849,pull_request
474784591,c222d7d61fc00df6f07ce516032ef24dd00341b7,222,master,errored,306,2019-01-03 10:14:13 UTC,474784592,474784593,474784594,474784595,474784596,pull_request
466442916,03134a8a8d1e6cf2f39585415689d1961ee8c619,217,master,errored,1368,2018-12-11 23:51:28 UTC,466442917,466442918,466442919,466442920,466442921,pull_request
459467606,af2ca1157f4d92c53b49b4c6400b8a457ab4e57a,216,master,passed,1732,2018-11-25 18:49:46 UTC,459467607,459467608,459467609,459467610,459467611,pull_request
459464245,58a1ae1d56460d5bc73c251de39e3b4fe587c145,216,master,passed,2044,2018-11-25 18:36:32 UTC,459464246,459464247,459464248,459464249,459464250,459464251,pull_request
459421924,de6b9df2aaa444fded9a9c581c8cf184211fc5fa,216,master,passed,1762,2018-11-25 15:37:19 UTC,459421925,459421926,459421927,459421928,459421929,459421930,pull_request
459420534,b9b9950670731777d9afd7a41843c7869ea3935c,216,master,errored,1532,2018-11-25 15:31:44 UTC,459420535,459420536,459420537,459420538,459420539,459420540,pull_request
459418306,09c1bb5ae8bd5dc423cf59929b380eef0b43f0b7,216,master,errored,1477,2018-11-25 15:20:11 UTC,459418307,459418308,459418309,459418310,459418311,pull_request
459418045,f8ce1e248cc94a0551ed15b73a91e8ad40a48edf,216,master,canceled,247,2018-11-25 15:18:44 UTC,459418046,459418047,459418048,459418049,459418050,pull_request
459415607,d84cbb0fd4d2b65413c3261ac905a23dd7ebc93c,216,master,failed,1768,2018-11-25 15:07:28 UTC,459415608,459415609,459415610,459415611,459415612,pull_request
437593236,802855e4468fabff08b0f0dd029c02b7efafd3f3,,master,passed,1686,2018-10-05 12:16:31 UTC,437593237,437593238,437593239,437593240,437593241,push
437590494,e0ae9db2e550ac031c7a4bcce717fc88ac2d0561,,master,passed,1663,2018-10-05 12:10:23 UTC,437590495,437590496,437590497,437590498,437590499,push
431967531,90dad89f5f91fc50c9a1e2a24326be0ca736198a,,master,passed,1647,2018-09-22 20:50:08 UTC,431967532,431967533,431967534,431967535,431967536,push
431967143,0f31b1ee3ac399e6d5ddf0e1d9e526ac3fd4bd1c,,v0.42,passed,1636,2018-09-22 20:44:19 UTC,431967144,431967145,431967146,431967147,431967148,push
431967010,0f31b1ee3ac399e6d5ddf0e1d9e526ac3fd4bd1c,,master,canceled,0,,431967011,431967012,431967013,431967014,431967015,push
431966822,1cf43bd14ede26fdef45add4d457e16c8b780157,,master,failed,1664,2018-09-22 20:38:36 UTC,431966823,431966824,431966825,431966826,431966827,push
431960978,2dfb40f4df615fbf75626c0a9aaee3b542ce8be2,,fix-require-error,passed,1654,2018-09-22 20:20:14 UTC,431960979,431960980,431960981,431960982,431960983,push
431959795,4afc20b36ea1d8169c2a0c0ab32f1bd6dcaa61a3,,master,passed,1655,2018-09-22 20:14:10 UTC,431959796,431959797,431959798,431959799,431959800,push
431959242,5aef33bf719a7d424976128a55cc0af665191014,,v0.41,passed,1599,2018-09-22 20:08:10 UTC,431959243,431959244,431959245,431959246,431959247,push
431959201,5aef33bf719a7d424976128a55cc0af665191014,,master,canceled,0,,431959202,431959203,431959204,431959205,431959206,push
