build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761558123,a0ebef0ea49e25074e3c22ba7d6d6a598db9ce43,3283,master,failed,8111,2021-03-05 09:28:27 UTC,761558124,761558125,761558126,761558127,761558128,761558129,761558130,761558131,761558132,761558133,761558134,pull_request
761558075,9fcfd7d69ece19b0eb4c667aa2065576c85f183c,3283,master,failed,7825,2021-03-05 09:28:00 UTC,761558076,761558077,761558078,761558079,761558080,761558081,761558082,761558083,761558084,761558085,761558086,pull_request
761554626,16a80c7a01dba86fcf70dbc599f9baf0ae2eb61b,3252,master,failed,8078,2021-03-05 08:42:50 UTC,761554627,761554628,761554629,761554630,761554631,761554632,761554633,761554634,761554635,761554636,761554637,pull_request
761552809,f8b28999190258a73075f0a35cb6649c6b3a0e91,,master,failed,7729,2021-03-05 08:19:20 UTC,761552810,761552811,761552812,761552813,761552814,761552815,761552816,761552817,761552818,761552819,761552820,push
761540037,3b884656a1a0ca295eb826529513e5ca9a2069f8,,master,failed,7792,2021-03-05 05:36:59 UTC,761540038,761540039,761540040,761540041,761540042,761540043,761540044,761540045,761540046,761540047,761540048,push
761536217,159ac6ab25a2e209ea4bb70c50f1cbac76d1278a,3282,master,failed,7187,2021-03-05 04:48:48 UTC,761536218,761536219,761536220,761536221,761536222,761536223,761536224,761536225,761536226,761536227,761536228,pull_request
761534653,9b5661844b6087ec26fbece6af201c0bc8f9f15c,3281,master,failed,7914,2021-03-05 04:23:03 UTC,761534654,761534655,761534656,761534657,761534658,761534659,761534660,761534661,761534662,761534663,761534664,pull_request
761373244,3d7fa7da333484affcb27e8af556d91de194aa3a,3185,master,failed,9014,2021-03-04 01:36:01 UTC,761373245,761373246,761373247,761373248,761373249,761373250,761373251,761373252,761373253,761373254,761373255,pull_request
761365045,4437fd957e9ced3f84b0ee6bebfe7622fe952592,,master,failed,7291,2021-03-04 00:18:29 UTC,761365046,761365047,761365048,761365049,761365050,761365051,761365052,761365053,761365054,761365055,761365056,push
761257912,14687e69799a3db195267b479034e32c7c7af35b,3252,master,failed,7778,2021-03-03 08:41:01 UTC,761257913,761257914,761257915,761257916,761257917,761257918,761257919,761257920,761257921,761257922,761257923,pull_request
761236687,8481f892d8755c86af2dfb974d8a456e3bb11fec,3275,master,failed,8197,2021-03-03 04:33:44 UTC,761236688,761236689,761236690,761236691,761236692,761236693,761236694,761236695,761236696,761236697,761236698,pull_request
761236059,f9d34869bf27096544c2cfd1725c2fae6eb7c302,3275,master,failed,8061,2021-03-03 04:25:41 UTC,761236060,761236061,761236062,761236063,761236064,761236065,761236066,761236067,761236068,761236069,761236070,pull_request
761235956,6715b4687da69ac70ecdd4d0e6b103884e888f4c,3275,master,failed,6857,2021-03-03 04:25:08 UTC,761235959,761235961,761235962,761235963,761235964,761235965,761235966,761235967,761235968,761235969,761235970,pull_request
761227634,60d8601cd3f8bbeac2261e3bf85b40198f0ebe1c,3275,master,failed,8124,2021-03-03 03:04:39 UTC,761227635,761227636,761227637,761227638,761227639,761227640,761227641,761227642,761227643,761227644,761227645,pull_request
761227600,32cdaabeecfc5b029a1f097b643ab74ecdc74040,3275,master,failed,8151,2021-03-03 03:04:14 UTC,761227601,761227602,761227603,761227604,761227605,761227606,761227607,761227608,761227609,761227610,761227611,pull_request
761114615,6d1ea298b76715e874496ea7c550f921ee4bea59,3275,master,failed,8146,2021-03-02 11:55:13 UTC,761114616,761114617,761114618,761114619,761114620,761114621,761114622,761114623,761114624,761114625,761114626,pull_request
760886097,92876ba66919953e705e8be5d5b22118d922cc92,3185,master,failed,8574,2021-03-01 05:14:00 UTC,760886098,760886099,760886100,760886101,760886102,760886103,760886104,760886105,760886106,760886107,760886108,pull_request
760884310,65a9edf4e05cf64c7ed0de56e12b3c9a0774e0d6,,master,failed,8675,2021-03-01 04:59:59 UTC,760884311,760884312,760884313,760884314,760884315,760884316,760884317,760884318,760884319,760884320,760884321,push
760872758,f3098b0ae947bd2f307f04afd3d0495953052e88,,master,failed,8051,2021-03-01 03:13:27 UTC,760872759,760872760,760872761,760872762,760872763,760872764,760872765,760872766,760872767,760872768,760872769,push
760863602,4b590733132815e9900376a4fecd564585f7f69b,,master,failed,11250,2021-03-01 02:24:24 UTC,760863603,760863604,760863605,760863606,760863607,760863608,760863609,760863610,760863611,760863612,760863613,push
760420984,ed5a8ebabea8da7cff02944394cab48fe19e338a,3268,master,failed,11444,2021-02-25 08:35:06 UTC,760420985,760420986,760420987,760420988,760420989,760420990,760420991,760420992,760420993,760420994,760420995,pull_request
