build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
755766996,949bfa38f1c1f74782e20304e1240e7059aaf4f2,,master,passed,6003,2021-01-23 00:38:46 UTC,755766997,755766998,755766999,755767000,755767001,755767002,755767003,755767004,755767005,755767006,755767007,755767008,755767009,755767010,755767011,755767012,755767013,755767014,755767015,755767016,755767017,755767018,755767019,755767020,755767021,755767022,755767023,755767024,755767025,755767026,755767027,755767028,755767029,755767030,push
755632135,65745e2585251a6d35e328188912e8c9f822c54f,1401,master,passed,5873,2021-01-22 03:37:58 UTC,755632136,755632137,755632138,755632139,755632140,755632141,755632142,755632143,755632144,755632145,755632146,755632147,755632148,755632149,755632150,755632151,755632152,755632153,755632154,755632155,755632156,755632157,755632158,755632159,755632160,755632161,755632162,755632163,755632164,755632165,755632166,755632167,755632168,755632169,pull_request
754694407,0abe0e8f6fa8000d85286eb055882c7d9a1f512a,1401,master,passed,6047,2021-01-15 21:49:11 UTC,754694408,754694409,754694410,754694411,754694412,754694413,754694414,754694415,754694416,754694417,754694418,754694419,754694420,754694421,754694422,754694423,754694424,754694425,754694426,754694427,754694428,754694429,754694430,754694431,754694432,754694433,754694434,754694435,754694436,754694437,754694438,754694439,754694440,754694441,pull_request
754544419,f7061a7d28e028db45bd1bc4ccd29ecb7870d28c,,master,passed,6076,2021-01-14 23:05:34 UTC,754544420,754544421,754544422,754544423,754544424,754544425,754544426,754544427,754544428,754544429,754544430,754544431,754544432,754544433,754544434,754544435,754544436,754544437,754544438,754544439,754544440,754544441,754544442,754544443,754544444,754544445,754544446,754544447,754544448,754544449,754544450,754544451,754544452,754544453,push
754459693,4d4f7e7d424553e8509fc2bf52e506293cb9ff9f,1398,master,errored,12418,2021-01-14 15:12:39 UTC,754459694,754459695,754459696,754459697,754459698,754459699,754459700,754459701,754459702,754459703,754459704,754459705,754459706,754459707,754459708,754459709,754459710,754459711,754459712,754459713,754459714,754459715,754459716,754459717,754459718,754459719,754459720,754459721,754459722,754459723,754459724,754459725,754459726,754459727,754459728,754459729,754459730,754459731,754459732,754459733,754459734,754459735,754459736,754459737,pull_request
754458817,295091aa156f8a374fe1e06dfe7ebd31d4a81288,1398,master,errored,6346,2021-01-14 14:00:27 UTC,754458818,754458819,754458820,754458821,754458822,754458823,754458824,754458825,754458826,754458827,754458828,754458829,754458830,754458831,754458832,754458833,754458834,754458835,754458836,754458837,754458841,754458842,754458843,754458844,754458845,754458846,754458847,754458848,754458849,754458850,754458851,754458852,754458853,754458854,754458855,754458856,754458857,754458858,754458859,754458860,754458861,754458862,754458863,754458864,pull_request
754356680,96afc6af36da29a9ffe342ea90654b791b4d83f8,1396,master,passed,6204,2021-01-13 21:32:00 UTC,754356681,754356682,754356683,754356684,754356685,754356686,754356687,754356688,754356689,754356690,754356691,754356692,754356693,754356694,754356695,754356696,754356697,754356698,754356699,754356700,754356701,754356702,754356703,754356704,754356705,754356706,754356707,754356708,754356709,754356710,754356711,754356712,754356713,754356714,pull_request
754217388,c392e5f9a749ee282168f6dfb780419bd16dcb3b,1393,master,errored,938,2021-01-13 02:12:11 UTC,754217389,754217390,754217391,754217392,754217393,754217394,754217395,754217396,754217397,754217398,754217399,754217400,754217401,754217402,754217403,754217404,754217405,754217406,754217407,754217408,754217409,754217410,754217411,754217412,754217413,754217414,754217415,754217416,754217417,754217418,754217419,754217420,754217421,754217422,pull_request
754031110,5d48d37e1fcaa27da9d9c053e2f7510f1491296b,,master,passed,6585,2021-01-11 23:24:44 UTC,754031111,754031112,754031113,754031114,754031115,754031116,754031117,754031118,754031119,754031120,754031121,754031122,754031123,754031124,754031125,754031126,754031127,754031128,754031129,754031130,754031131,754031132,754031133,754031134,754031135,754031136,754031137,754031138,754031139,754031140,754031141,754031142,754031143,754031144,push
754030074,81c886eea35d81348d42aa0461c25b810efc2a36,,master,canceled,0,,754030075,754030076,754030077,754030078,754030079,754030080,754030081,754030082,754030083,754030084,754030085,754030086,754030087,754030088,754030089,754030090,754030091,754030092,754030093,754030094,754030095,754030096,754030097,754030098,754030099,754030100,754030101,754030102,754030103,754030104,754030105,754030106,754030107,754030108,push
