build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
744004727,14bbbdf77da639b1c056b27d2256e569601452c4,13075,master,errored,13669,2020-11-16 17:56:41 UTC,744004728,744004729,744004730,744004731,744004732,744004733,744004734,744004735,744004736,744004737,pull_request
743941655,3749c3d2b8e7dbac1475f5f6f3d4b894860c8f89,8306,master,failed,14274,2020-11-16 13:52:49 UTC,743941656,743941657,743941658,743941659,743941660,743941661,743941662,743941663,743941664,743941665,743941666,pull_request
743934350,8940012661184d233233e7da84acadb18b0d6f1b,8306,master,canceled,0,,743934351,743934352,743934353,743934354,743934355,743934356,743934357,743934358,743934361,743934362,743934363,pull_request
743929302,e02345b5110cfbdf14384167e61ee12411701330,13084,master,failed,13569,2020-11-16 12:20:38 UTC,743929303,743929304,743929305,743929306,743929307,743929308,743929309,743929310,743929311,743929312,pull_request
743918338,4680bee1be8c79c2b0b5e2414ab8904506b11882,8157,master,errored,13993,2020-11-16 11:13:24 UTC,743918339,743918340,743918341,743918342,743918343,743918344,743918345,743918346,743918347,743918348,pull_request
743853442,fd120b04e612608882f1f5858b5fdaf9358e84bf,8157,master,errored,13701,2020-11-16 03:33:56 UTC,743853443,743853444,743853445,743853446,743853447,743853448,743853449,743853450,743853451,743853452,pull_request
743839902,46b359bfb54072dae61882731bb2e766e38ba393,,master,passed,7742,2020-11-16 01:41:09 UTC,743839903,743839904,743839905,743839906,743839907,743839908,743839909,743839910,743839911,743839912,push
743839778,0c66942c3a3c8c4e3c93a1977fb70c2c8d3c9367,13081,master,errored,4402,2020-11-16 01:35:06 UTC,743839779,743839780,743839781,743839782,743839783,743839784,743839785,743839786,743839787,743839788,pull_request
743827501,da7529ec847a3cc0740a1286895c3a797019e753,13084,master,errored,15111,2020-11-15 23:50:57 UTC,743827502,743827503,743827504,743827505,743827506,743827507,743827508,743827509,743827510,743827511,pull_request
743818463,f8a5480b9724b487547a6f201f34108415c8d8e2,13083,master,passed,14510,2020-11-15 22:29:59 UTC,743818464,743818465,743818466,743818467,743818468,743818469,743818470,743818471,743818472,743818473,pull_request
743812399,35345bda9d1f8ec330e80dc1b2c8abf6a6d610df,13083,master,canceled,0,,743812400,743812401,743812402,743812403,743812404,743812405,743812406,743812407,743812408,743812409,pull_request
743811952,b6ee4c2b53eb23ecab6f7c01c4261aa9e09c6f02,13083,master,passed,14542,2020-11-15 21:40:07 UTC,743811953,743811954,743811955,743811956,743811957,743811958,743811959,743811960,743811961,743811962,pull_request
743803067,061ab996f6392379b3d766ec3efec03755a93e4e,8306,master,failed,14400,2020-11-15 20:28:02 UTC,743803068,743803069,743803070,743803071,743803072,743803073,743803074,743803075,743803076,743803077,pull_request
743791805,322538899584ff9f6468570d7541e7fa364de006,8306,master,errored,7504,2020-11-15 19:06:03 UTC,743791806,743791807,743791808,743791809,743791810,743791811,743791812,743791813,743791814,743791815,pull_request
743732648,f79ae133cac861def3f2a401f29e68569ae931f1,8306,master,failed,14308,2020-11-15 13:40:27 UTC,743732649,743732650,743732651,743732652,743732653,743732654,743732655,743732656,743732657,743732658,pull_request
743731470,81a9902c83f4fed39e35dfc536ca336dc2286e80,12541,master,passed,14336,2020-11-15 12:41:34 UTC,743731471,743731472,743731473,743731474,743731475,743731476,743731477,743731478,743731479,743731480,pull_request
743730190,232092afebf7a59949dca5595aaac3446814293c,,master,passed,7879,2020-11-15 12:08:50 UTC,743730191,743730192,743730193,743730194,743730195,743730196,743730197,743730198,743730199,743730200,push
743729278,47b132c5d07b445a13a0c5ab0d51d9371974cb9f,,master,passed,6924,2020-11-15 11:45:14 UTC,743729279,743729280,743729281,743729282,743729283,743729284,743729285,743729286,743729287,743729288,push
743713235,3d4e7bb4b1e1cbda8ab197d601639d90c16dcb72,8306,master,errored,13950,2020-11-15 08:37:23 UTC,743713236,743713237,743713238,743713239,743713240,743713241,743713242,743713243,743713244,743713245,pull_request
743711922,755549fde0cb63157a753ecffd3db52f7bb10c46,8306,master,errored,14013,2020-11-15 07:50:03 UTC,743711923,743711924,743711925,743711926,743711927,743711928,743711929,743711930,743711931,743711932,pull_request
743707131,d798face53b6c0ac1f93e790fa522d3d17730730,8157,master,errored,4203,2020-11-15 06:57:01 UTC,743707132,743707133,743707134,743707135,743707136,743707137,743707138,743707139,743707140,743707141,pull_request
743705904,927e1d16a986b077e4a806bc3c950cf3595c98f2,12043,master,errored,14965,2020-11-15 06:03:27 UTC,743705905,743705906,743705907,743705908,743705909,743705910,743705911,743705912,743705913,743705914,pull_request
743674551,a2089da41502ba28d01b49cabd6c0773db1c9a8d,12852,master,errored,13966,2020-11-15 01:27:25 UTC,743674552,743674553,743674554,743674555,743674556,743674557,743674558,743674559,743674560,743674561,pull_request
743668690,ed4c36d39c8480eb346781e2b500e4411909256a,13082,master,errored,13700,2020-11-15 00:33:36 UTC,743668691,743668692,743668693,743668694,743668695,743668696,743668697,743668698,743668699,743668700,pull_request
743667747,1d6d7b86d21185f3b75b735bdbc4ea5e2b6aaf48,,master,passed,6829,2020-11-14 23:58:22 UTC,743667748,743667749,743667750,743667751,743667752,743667753,743667754,743667755,743667756,743667757,push
743666039,d7ad9b3410bd7cdd1091553e8855e01c5870755c,,master,canceled,0,,743666040,743666041,743666042,743666043,743666044,743666045,743666046,743666047,743666048,743666049,743666050,push
743661721,982fe8ce52b97621d69d79847e6c51626c351175,,master,canceled,0,,743661722,743661723,743661724,743661725,743661726,743661727,743661728,743661729,743661730,743661731,743661732,push
743661087,88cf32907299385b24b22352cd51cd73f2c17a59,9974,master,failed,13479,2020-11-14 23:05:20 UTC,743661088,743661089,743661090,743661091,743661092,743661093,743661094,743661095,743661096,743661097,743661098,pull_request
743658757,0ac4b6bd502d82a46bf2e0958e17e1234bd6bd07,,master,canceled,0,,743658758,743658759,743658760,743658761,743658762,743658763,743658764,743658765,743658766,743658767,743658768,push
743657916,8a60d2a81878649d6ef6e7622da6efc17bcc6a25,12755,master,errored,14698,2020-11-14 22:01:05 UTC,743657917,743657918,743657919,743657920,743657921,743657922,743657923,743657924,743657925,743657926,743657927,pull_request
743656570,3aec550bcf88af745873444140c028f4cb586883,,master,canceled,0,,743656571,743656573,743656575,743656576,743656577,743656578,743656579,743656580,743656581,743656582,743656583,push
743655759,9e7f875a34fde3e165f86989be4a59832522a3c1,12043,master,failed,14679,2020-11-14 21:09:21 UTC,743655760,743655761,743655762,743655763,743655764,743655765,743655766,743655767,743655768,743655769,743655770,pull_request
743643456,18ef103cc5465f759bfa2bd14ec6c86617ef52c3,11249,master,failed,14707,2020-11-14 19:38:26 UTC,743643457,743643458,743643459,743643460,743643461,743643462,743643463,743643464,743643465,743643466,743643467,pull_request
