build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
669906116,da1c9b4a4a8eaca785bc3ac83d16f763573cfb2f,363,master,passed,4314,2020-04-01 22:17:03 UTC,669906117,669906118,669906119,669906120,669906121,669906122,669906123,669906124,pull_request
669906095,55082285df53dcd09a629d9f44c5f44d8fabe022,,varhac,errored,3415,2020-04-01 22:06:45 UTC,669906096,669906098,669906101,669906103,669906104,669906105,669906106,669906107,push
669892974,d36d5e69dbc6fbe2da0f43c6d04ad740dc18baee,363,master,failed,4808,2020-04-01 21:24:12 UTC,669892975,669892976,669892977,669892978,669892979,669892980,669892981,669892982,pull_request
669782346,e8d518667c9ac31d75cfb3d0acca470bc858a33f,,varhac,failed,4750,2020-04-01 16:35:49 UTC,669782347,669782348,669782349,669782350,669782351,669782352,669782353,669782354,push
669403061,cc62df779e3f77149025d3c92f464504b962f820,,varhac,passed,4454,2020-03-31 20:02:29 UTC,669403062,669403063,669403064,669403065,669403066,669403067,669403068,669403069,push
669350458,aad72e1ba69252affa8083834d9bc4e3448a5c73,,varhac,errored,1293,2020-03-31 17:42:32 UTC,669350459,669350460,669350461,669350462,669350463,669350464,669350465,669350466,push
669322724,e71a2fb5e7db6864296aab98dcc64a874cfb0a81,,master,passed,4433,2020-03-31 16:36:05 UTC,669322725,669322726,669322727,669322728,669322729,669322730,669322731,669322732,push
669322626,94e8746d4c5e4d4eefc5a9ea34327cf3e0338714,360,master,errored,285,2020-03-31 16:33:06 UTC,669322627,669322628,669322629,669322630,669322631,669322632,669322633,669322634,pull_request
669322577,c762536c0ae951e6a496398068fe45b5d3ea804a,,phillips-ouliaris,errored,282,2020-03-31 16:31:24 UTC,669322578,669322579,669322580,669322581,669322582,669322583,669322584,669322585,push
669121695,aab4e110b7c6a4472720b4c6d156c0d09d73a600,360,master,passed,4454,2020-03-31 07:51:51 UTC,669121696,669121697,669121698,669121699,669121700,669121701,669121702,669121703,pull_request
669121678,a5776adf89799d33b00c5cc0be1f9718ff5b347b,,phillips-ouliaris,passed,4262,2020-03-31 07:51:50 UTC,669121679,669121680,669121681,669121682,669121683,669121684,669121685,669121686,push
