build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
498371719,7fc373f2307a3d00949c18eddc442b2f26468150,921,master,failed,546,2019-02-25 20:23:56 UTC,498371720,498371721,498371722,498371723,498371724,498371725,pull_request
498371696,cb8c0cf3595dc3684c67df28f217f530db8a398d,,azure-pipelines,failed,636,2019-02-25 20:21:41 UTC,498371697,498371698,498371699,498371700,498371701,498371702,push
498368461,43cea2d1af8746221b36534247c7d2d712e72712,921,master,failed,686,2019-02-25 20:17:03 UTC,498368462,498368463,498368464,498368465,498368466,498368467,pull_request
498368445,5c1fbfd04d24f74f1683a48b20d395988e75213b,,azure-pipelines,failed,557,2019-02-25 20:14:46 UTC,498368446,498368447,498368448,498368449,498368450,498368451,push
498368077,5cbf55a9e652cc71b2c665fb9a3b1a4667f97212,921,master,canceled,0,,498368078,498368079,498368080,498368081,498368082,498368083,pull_request
498368066,18c92f1bd3f8649177b4aa84d04fb5e16426b420,,azure-pipelines,canceled,-44,2019-02-25 20:14:43 UTC,498368067,498368068,498368069,498368070,498368071,498368072,push
498367653,dce799f9a9186f8a4196e4224e695564688d58ba,921,master,canceled,0,,498367654,498367655,498367656,498367657,498367658,498367659,pull_request
498367628,f936862515b2f235523f43e62cb1086baec15129,,azure-pipelines,canceled,0,,498367629,498367630,498367631,498367632,498367633,498367634,push
498365824,fcdceb8d6fad2fabb051c8953a1b1de686cae5ae,921,master,failed,549,2019-02-25 20:11:14 UTC,498365825,498365826,498365827,498365828,498365829,498365830,pull_request
498365812,8eff4467262aa6ef62306b8fb657fce0e80f0ca9,,azure-pipelines,failed,643,2019-02-25 20:08:55 UTC,498365813,498365814,498365815,498365816,498365817,498365818,push
498363104,00f4544ce3c801cd7be5b549ff8ddbf9c4e71688,921,master,failed,632,2019-02-25 20:06:17 UTC,498363105,498363106,498363107,498363108,498363109,498363110,pull_request
498363075,df24587ecbdb086b7ba85201654250f84ba63e4f,,azure-pipelines,failed,529,2019-02-25 20:03:53 UTC,498363076,498363077,498363078,498363079,498363080,498363081,push
