build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
754341979,8e7fada401cd12c308dd00eae77119dada0f35bb,895,master,passed,380,2021-01-13 19:48:12 UTC,754341980,754341981,754341982,754341983,754341984,pull_request
754338405,a37703fed0df473ae399c70514897350612a87d1,895,master,canceled,0,,754338406,754338407,754338408,754338409,754338410,pull_request
754329905,25eb874ee95631945ebe103175556e69a189e453,895,master,failed,375,2021-01-13 18:31:00 UTC,754329906,754329907,754329908,754329909,754329910,pull_request
754308784,5fa5a26c072050b1d1b3b10b0ed9bef7e4df30f1,895,master,failed,368,2021-01-13 16:33:59 UTC,754308789,754308790,754308792,754308793,754308794,pull_request
754306499,fb6f6ce578784674c7265d558d59dc00948db652,895,master,canceled,0,,754306500,754306501,754306502,754306503,754306504,pull_request
754292748,49bc234c9941c6653d03242a3594a81dd1be337a,895,master,failed,503,2021-01-13 14:43:10 UTC,754292749,754292750,754292751,754292752,754292753,pull_request
754121897,ec528684dadf114813511be1c92b0d79e2dbe8f2,894,master,failed,422,2021-01-12 14:08:25 UTC,754121898,754121899,754121900,754121901,754121902,pull_request
750980870,b6e9ab93fe254c9fb7250f7fc17c9b7749edc61a,882,master,passed,590,2020-12-22 07:11:27 UTC,750980871,750980872,750980873,750980874,750980875,pull_request
738006380,12bfd0a236ca1f3ae4b57dd191658b2df3f75dad,892,master,passed,637,2020-10-22 12:25:30 UTC,738006381,738006382,738006383,738006384,738006385,pull_request
725862998,add853f29bcd8539d890a96fd5cee82f8b6c3576,888,master,passed,624,2020-09-10 09:20:59 UTC,725862999,725863000,725863001,725863002,725863003,pull_request
686003124,aef8581c5b5145c8b74feafaf695896ed2870df6,885,master,passed,387,2020-05-12 07:57:27 UTC,686003125,686003126,686003127,686003128,686003129,pull_request
685131963,d6507854e8db4cf76baa04e83ad4d4baab13b6bd,885,master,failed,548,2020-05-09 19:21:07 UTC,685131964,685131965,685131966,685131967,685131968,pull_request
671282547,3e7faa4369efd1253a338369b4c8ad8e31ba8b68,,master,failed,347,2020-04-05 15:11:46 UTC,671282549,671282550,671282551,671282553,671282554,push
