build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
418402355,d05bd3ba2dfd5f1da4602d7118a449357889958b,,schneems/malloc-arena-max,passed,663,2018-08-20 20:23:00 UTC,418402356,push
416523985,f5009c48b795db471f4f1a84c8da9544efa16086,795,master,passed,942,2018-08-15 20:30:09 UTC,416523986,416523987,416523989,416523990,416523991,416523992,416523993,416523994,416523995,416523996,416523997,416523999,416524000,pull_request
416523967,28a10505bf3481768a9bf01dc89642939f9087ff,,schneems/x-sendfile,passed,3283,2018-08-15 20:18:29 UTC,416523968,416523969,416523970,416523971,416523972,416523973,416523974,416523975,416523976,416523977,416523978,416523979,416523980,push
416523817,f20b06b3498f0ff0ff4ee2b7eb09f24404502be1,795,master,canceled,0,,416523818,416523819,416523820,416523821,416523822,416523823,416523824,416523825,416523826,416523827,416523828,416523829,416523830,pull_request
416523803,f32a30df98cf6fca8069d1093932f5c1732db715,,schneems/x-sendfile,canceled,-21,2018-08-15 20:18:00 UTC,416523804,416523805,416523806,416523807,416523808,416523809,416523810,416523811,416523812,416523813,416523814,416523815,416523816,push
416523467,25efd16bc69d9ce6805ada9b592ee9b114f62a67,795,master,canceled,0,,416523468,416523469,416523470,416523471,416523472,416523473,416523474,416523475,416523476,416523477,416523478,416523479,416523480,pull_request
416523409,7feacbf7eaad333121a4dc6f0643ec1d94f02561,,schneems/x-sendfile,canceled,-35,2018-08-15 20:17:26 UTC,416523410,416523411,416523412,416523413,416523414,416523415,416523416,416523417,416523418,416523419,416523420,416523421,416523422,push
416522384,30a8afa1f90973f82f1d460dc70ca2d8bdb50e06,,schneems/x-sendfile,errored,1183,2018-08-15 20:13:26 UTC,416522385,416522386,416522387,416522388,416522389,416522390,416522391,416522392,416522393,416522394,416522395,416522396,416522397,push
407744286,cb101b98a274f5707b0ea60e48eab56015b1a1c8,,v190,failed,5593,2018-07-24 18:41:05 UTC,407744287,407744288,407744289,407744290,407744291,407744292,407744293,407744294,407744295,407744296,407744297,407744298,407744299,push
407721001,cb101b98a274f5707b0ea60e48eab56015b1a1c8,,master,passed,3538,2018-07-24 17:42:27 UTC,407721002,407721003,407721004,407721005,407721006,407721007,407721008,407721009,407721010,407721011,407721012,407721013,407721014,push
407695591,408849e52a6cffa8b2f6b7b14174e495f4bc8f10,790,master,passed,1182,2018-07-24 16:50:52 UTC,407695592,407695593,407695594,407695595,407695596,407695597,407695598,407695599,407695600,407695601,407695602,407695603,407695604,pull_request
407695567,c290668f0b2ecd9833ef01c4685afe5946703289,,schneems/support-TAP-ci-output,passed,3278,2018-07-24 16:40:54 UTC,407695568,407695569,407695570,407695571,407695572,407695573,407695574,407695575,407695576,407695577,407695578,407695579,407695580,push
405444468,6eaf08d6560bf9a5cb4a1159f04693391877cc7b,790,master,passed,925,2018-07-18 16:59:02 UTC,405444469,405444470,405444471,405444472,405444473,405444474,405444475,405444476,405444477,405444478,405444479,405444480,405444481,pull_request
405444444,41c18bf82f8726d7a58dfe4a50f853c4644a1c29,,schneems/support-TAP-ci-output,passed,3423,2018-07-24 16:22:10 UTC,405444445,405444446,405444447,405444448,405444449,405444450,405444451,405444452,405444453,405444454,405444455,405444456,405444457,push
402292229,31a55b819c716409ad4a32338272246963f5a6ed,,v189,failed,3940,2018-07-10 16:23:31 UTC,402292230,402292231,402292232,402292233,402292234,402292235,402292236,402292237,402292238,402292239,402292240,402292241,402292242,push
