build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
739580129,9c82a85e6861b7e9def24f08da1e50877727ad86,3215,master,failed,2292,2020-10-28 12:00:30 UTC,739580130,739580133,739580134,739580135,739580136,739580137,739580138,739580139,pull_request
739530608,352526c36afa48e2f53319d1ef0610e4f8dac34c,,master,failed,2202,2020-10-28 08:54:20 UTC,739530609,739530610,739530611,739530612,739530613,739530614,739530615,739530616,push
739478672,912b0114d3d285307a92d7c4293b274867c8f127,3226,master,errored,939,2020-10-28 06:32:12 UTC,739478673,739478674,739478675,739478676,739478677,739478678,739478679,739478680,pull_request
739393483,948464429fd13be71746083b9b4507a00b2da2e1,3225,master,passed,2273,2020-10-27 21:52:23 UTC,739393484,739393485,739393486,739393487,739393488,739393489,739393490,739393491,pull_request
739338887,c89885796ccb7c8556e5b28d875ed59b571256f3,3223,master,passed,2239,2020-10-28 07:43:59 UTC,739338888,739338889,739338890,739338891,739338892,739338893,739338894,739338895,pull_request
739328106,2928665fca8ec0d79becf5f58e8174b068a0aa6f,3223,master,canceled,0,,739328107,739328108,739328109,739328110,739328111,739328112,739328113,739328114,pull_request
739325579,e7184b4df83dd3d6ba73a5d289e1e308066d9eee,3223,master,canceled,0,,739325580,739325581,739325582,739325583,739325584,739325585,739325586,739325587,pull_request
739305355,41ef0da18016f027ffa31d38c4e538c61df890cb,,master,failed,2327,2020-10-27 16:01:21 UTC,739305356,739305357,739305358,739305359,739305360,739305361,739305362,739305363,push
739273680,3e8e0cc212edd101884a9a0a1c608ff820e6831a,3223,master,failed,2305,2020-10-27 14:06:28 UTC,739273681,739273682,739273684,739273685,739273686,739273687,739273688,739273690,pull_request
739263692,784b608430a0a417cfcf7dd84f597bc3504c4fcd,3223,master,canceled,373,2020-10-27 12:27:17 UTC,739263693,739263694,739263695,739263696,739263697,739263698,739263699,739263700,pull_request
739193625,2114ba7b610257e71b2bcc7784e2c0a55d946dbd,3218,master,passed,2253,2020-10-27 10:04:46 UTC,739193628,739193629,739193630,739193631,739193632,739193633,739193634,739193635,pull_request
739081762,39bf5953a0cdf58a2d62ecd56c12fd7514a522a8,3223,master,failed,1012,2020-10-27 07:57:08 UTC,739081763,739081764,739081765,739081766,739081767,739081768,739081769,739081770,pull_request
738651988,ec3457bc75b163bab137374b2e3385209ccbf0ee,3223,master,passed,2280,2020-10-25 01:36:11 UTC,738651989,738651990,738651991,738651992,738651993,738651994,738651995,738651996,pull_request
