build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
760848695,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,762,2021-02-28 23:11:28 UTC,760848696,760848697,760848698,760848699,760848700,760848701,760848702,760848703,760848704,760848705,760848706,760848707,760848708,760848709,760848710,760848711,760848712,cron
759914391,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,725,2021-02-21 23:11:05 UTC,759914393,759914397,759914398,759914400,759914401,759914402,759914404,759914406,759914407,759914408,759914409,759914411,759914412,759914413,759914414,759914416,759914417,cron
758969296,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,763,2021-02-14 23:10:51 UTC,758969300,758969304,758969305,758969306,758969307,758969308,758969309,758969311,758969312,758969313,758969314,758969315,758969316,758969317,758969318,758969323,758969324,cron
757978643,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,788,2021-02-07 23:11:59 UTC,757978645,757978648,757978651,757978655,757978657,757978659,757978662,757978665,757978666,757978667,757978668,757978669,757978671,757978672,757978674,757978676,757978677,cron
756989485,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,753,2021-01-31 23:38:10 UTC,756989491,756989492,756989498,756989502,756989504,756989506,756989507,756989514,756989516,756989520,756989521,756989523,756989524,756989531,756989533,756989534,756989536,cron
756008033,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,746,2021-01-24 23:27:15 UTC,756008037,756008038,756008039,756008040,756008041,756008042,756008043,756008045,756008046,756008048,756008049,756008050,756008051,756008052,756008053,756008055,756008057,cron
754932236,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,736,2021-01-17 23:08:58 UTC,754932237,754932239,754932241,754932242,754932243,754932244,754932245,754932248,754932249,754932250,754932251,754932253,754932254,754932255,754932256,754932257,754932258,cron
753853433,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,728,2021-01-10 23:08:05 UTC,753853434,753853435,753853436,753853437,753853438,753853440,753853441,753853442,753853444,753853445,753853447,753853449,753853450,753853452,753853454,753853457,753853459,cron
752706006,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,761,2021-01-03 23:08:01 UTC,752706007,752706008,752706009,752706010,752706011,752706012,752706013,752706014,752706015,752706016,752706017,752706019,752706020,752706021,752706022,752706023,752706025,cron
751734799,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,769,2020-12-27 23:07:54 UTC,751734800,751734801,751734802,751734803,751734804,751734805,751734806,751734807,751734808,751734809,751734810,751734811,751734812,751734813,751734814,751734815,751734816,cron
750747776,3a2c6b651333bc7cd05ea77ec91d30855cba8e88,,master,passed,756,2020-12-20 23:08:31 UTC,750747778,750747779,750747780,750747781,750747782,750747783,750747784,750747785,750747786,750747787,750747788,750747789,750747790,750747791,750747792,750747793,750747794,cron
