build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
749497447,173ca95ca2d2e5c0c71d2737e269884729be7175,6721,master,failed,4768,2020-12-14 00:17:21 UTC,749497448,749497449,749497450,749497451,749497452,749497453,749497454,749497455,749497456,749497457,749497458,749497459,749497460,pull_request
749497426,920d3c9ec6a92e81f24f53812bc9033e2292726d,6720,master,failed,4805,2020-12-14 00:02:29 UTC,749497427,749497428,749497429,749497430,749497431,749497432,749497433,749497434,749497435,749497436,749497437,749497438,749497439,pull_request
749414479,a367e2f47766b14bfb85271bc782d83b8fc99bfd,,3.x,passed,12386,2020-12-13 15:24:41 UTC,749414480,749414481,749414482,749414483,749414484,749414485,749414486,749414487,749414488,749414489,749414490,749414491,749414492,push
749414356,d576fe1510534a556bd531f97c0b1d024e9beccf,6719,3.x,errored,524,2020-12-13 12:55:48 UTC,749414357,749414358,749414359,749414360,749414361,749414362,749414363,749414364,749414365,749414366,749414367,749414368,749414369,pull_request
749414318,3d8d919a9c0b48570043f9cd2a885556f181f0dc,,master,failed,4836,2020-12-13 12:40:06 UTC,749414319,749414320,749414321,749414322,749414323,749414324,749414325,749414326,749414327,749414328,749414329,749414330,749414331,push
749346510,58e069f0ab7b86b7c727514e08ec83d1071c45ac,6718,master,failed,4833,2020-12-13 00:27:20 UTC,749346511,749346512,749346513,749346514,749346515,749346516,749346517,749346518,749346519,749346520,749346521,749346522,749346523,pull_request
749346207,f2e4d081b9516a0ddb6c32a36a30f1691909ae37,6716,master,failed,4711,2020-12-12 23:54:49 UTC,749346208,749346209,749346210,749346211,749346212,749346213,749346214,749346215,749346216,749346217,749346218,749346219,749346220,pull_request
749325197,be54878bf4940c13c29a5500d93e6d78687141a2,6716,master,failed,4988,2020-12-12 21:10:51 UTC,749325198,749325199,749325200,749325201,749325202,749325203,749325204,749325205,749325206,749325207,749325208,749325209,749325210,pull_request
749061766,b0ca4d7c6f1c2c4b9be72c37840b4d1aa0ad22fe,,master,failed,4816,2020-12-11 18:37:16 UTC,749061767,749061768,749061770,749061771,749061772,749061773,749061774,749061775,749061776,749061777,749061778,749061779,749061780,push
749000895,3d8e3045368cb5868d910c5881e027ce73fe04b1,6695,master,failed,4788,2020-12-11 16:13:36 UTC,749000896,749000897,749000898,749000899,749000900,749000901,749000902,749000903,749000904,749000905,749000906,749000907,749000908,pull_request
