build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
573459188,4e84780a8a741d6a90f2752edc4502ab2cf89ecb,,master,passed,442,2019-08-18 16:23:33 UTC,573459189,573459190,push
570382761,b634cb56f44b35f57ae4cf4f5d1cadf924060da1,,master,passed,596,2019-08-11 03:06:57 UTC,570382762,570382763,push
565615256,b75eae0646879261d02b4e8ff82da0cd164b2a85,,master,passed,543,2019-07-30 18:15:47 UTC,565615257,565615258,push
564738520,838c2714072ea86de83f430bf91bb918d60d997f,,master,errored,1108,2019-07-28 22:13:32 UTC,564738521,564738522,push
564716073,a643ad94f74f04563e77cd81dbb4b5d646dc5eb1,,master,errored,1140,2019-07-28 20:26:49 UTC,564716074,564716075,push
564535275,73952280b129177be8c0f49ec8da60cdc589e91a,,master,failed,451,2019-07-28 03:21:26 UTC,564535276,564535277,push
560670943,40645e5325e8656c17cf1b1675aa74f5be5096fe,,master,errored,1115,2019-07-28 03:08:00 UTC,560670944,560670945,push
558067988,09c0acd38a1ca06536b497bca1010946c80d0df5,,master,passed,544,2019-07-12 22:22:43 UTC,558067989,558067990,push
558066316,b75ca135857e1d7d5f8c64d1e6a0a8b2ad51a322,76,master,passed,561,2019-07-12 22:17:00 UTC,558066317,558066318,pull_request
558066252,f57af13a85f7b21dccc1fa798520f569929e3251,,master,passed,564,2019-07-12 22:16:42 UTC,558066253,558066254,push
558039175,8966b4e97f5838da10f5050d6fd14c10220b1e67,79,master,passed,584,2019-07-12 21:10:15 UTC,558039176,558039177,pull_request
558039162,cbfca9b8adcc2990f6591475b114c1d23fe5bdf7,,fix_enforce_reversible,passed,558,2019-07-12 21:10:07 UTC,558039163,558039164,push
558036035,c5e424eca4244b072e64bb63f7a73f42f90782f4,79,master,passed,844,2019-07-12 21:01:59 UTC,558036036,558036037,pull_request
558035981,ae90ffb88638a43ab9d23611ab7098e982cf5cb4,,fix_enforce_reversible,passed,695,2019-07-12 21:01:57 UTC,558035982,558035983,push
558030374,8bb3d20d203862ad542b210303da821b0191ae20,79,master,passed,805,2019-07-12 20:47:31 UTC,558030375,558030376,pull_request
558030371,326e3e53da1f306d94069f71862fb4a9b12d1154,,fix_enforce_reversible,passed,805,2019-07-12 20:47:24 UTC,558030372,558030373,push
558028579,924c591f41cd9ef805c87d128ca50e26345e6921,79,master,errored,694,2019-07-12 20:43:03 UTC,558028580,558028581,pull_request
558028565,2ea5c0284c400d662922f01f81ad543e3e8d72b1,,fix_enforce_reversible,errored,328,2019-07-12 20:43:08 UTC,558028566,558028567,push
558023018,95740574459f0b2d216b5163235abc7da9e757f3,79,master,errored,959,2019-07-12 20:30:35 UTC,558023019,558023020,pull_request
558022581,5f3cea3a8fa00722a99668b8a96e497b52a4515f,,fix_enforce_reversible,errored,1084,2019-07-12 20:29:17 UTC,558022582,558022583,push
558022307,19e50012fe44fae84df4953e89b07544e8ad58f1,,fix_enforce_reversible,errored,881,2019-07-12 20:28:42 UTC,558022308,558022309,push
542739557,47ca5f15416cc805472e7dd85a89970e93e1614e,76,master,errored,400,2019-06-07 12:41:17 UTC,542739558,542739559,pull_request
542738801,d0ae7d884d6a28e2db76889c0863fbce09b44825,76,master,errored,398,2019-06-07 12:38:11 UTC,542738802,542738803,pull_request
533914844,19e50012fe44fae84df4953e89b07544e8ad58f1,,master,passed,338,2019-05-17 17:29:43 UTC,533914845,533914846,push
533623109,a8cc526acc0d8c7cfac557ce3fd0b249782fceab,74,master,passed,346,2019-05-17 03:43:55 UTC,533623110,533623111,pull_request
533551136,eb61fee854576c8a57fd9a20ee03b6fcb89c493a,,master,passed,350,2019-05-16 22:26:18 UTC,533551137,533551138,push
528493191,4753e4f64484016b3bfd6ec54a759b6ceb2e31ab,,master,passed,331,2019-05-16 02:08:15 UTC,528493192,528493193,push
526103416,4521cac0ee8ec5413294968983aaca6eff672670,73,master,passed,385,2019-04-29 18:34:14 UTC,526103417,526103418,pull_request
526103248,5f7320da5c8d781df072fab3f7e421c6347e5bfa,,master,passed,339,2019-04-29 18:34:05 UTC,526103249,526103250,push
525778483,cfe838f91124aee168f8fa505977dd9d2966e976,73,master,passed,343,2019-04-29 02:10:18 UTC,525778484,525778485,pull_request
525770599,e31a8e8c124b96113f4ecd0d284579e239ecc5dd,72,master,passed,390,2019-04-29 01:22:16 UTC,525770600,525770601,pull_request
525754963,9820c3c2bee88a5ee9fee28125aaca4b0426b1d8,72,master,failed,312,2019-04-28 23:38:32 UTC,525754964,525754965,pull_request
518017463,c432c3e6991352443927da06a59c404e8ea44826,,master,passed,341,2019-04-09 22:14:53 UTC,518017464,518017465,push
518015328,a70f7cc7995e78f0846b1893fc089516bb777283,69,master,passed,332,2019-04-09 22:09:29 UTC,518015329,518015330,pull_request
518015305,8ffd4978b8109369b6f7c38bf282a71e09621e8d,,encoders,passed,351,2019-04-09 22:09:28 UTC,518015306,518015307,push
518013285,069fc0c12f017952dda0f0c044aed74e3beaf68f,69,master,passed,329,2019-04-09 22:03:40 UTC,518013286,518013287,pull_request
518013206,0cc8e164657ee03046b37bda4081be762901f135,,encoders,passed,316,2019-04-09 22:03:35 UTC,518013210,518013212,push
518012515,718a9a06f2a976e0daed45bd41f2ec4c1b2140b7,69,master,passed,371,2019-04-09 22:01:40 UTC,518012516,518012517,pull_request
518003996,0e52a77af80ef1aefb4958564d67ffbcdd24cc84,,encoders,passed,334,2019-04-09 21:39:33 UTC,518003997,518003998,push
518003860,d524a25f893350f1484a24905c71bfe8e951d8a7,,encoders,canceled,0,,518003861,518003862,push
516741602,d524a25f893350f1484a24905c71bfe8e951d8a7,,master,passed,303,2019-04-07 02:32:02 UTC,516741603,516741604,push
516734935,fca395e606d8e8b3295762a447a107fd8352b25a,,master,failed,303,2019-04-07 01:48:31 UTC,516734936,516734937,push
516732730,da1c664e6112a572496fcc3d22f9e7a8f9242150,,master,passed,347,2019-04-07 01:34:28 UTC,516732731,516732732,push
516732337,5aca518d507617bafdc19630756fbbbd5ea2f014,,master,passed,343,2019-04-07 01:30:27 UTC,516732338,516732339,push
515009126,cecb1df11b58e903fdc5da3dae05220eb0735a2f,,master,passed,315,2019-04-03 04:41:00 UTC,515009127,515009128,push
514976881,2f977af88859ca19d2a102d1e3de1a60a14a8e79,,master,passed,342,2019-04-03 02:20:32 UTC,514976882,514976883,push
514975536,47fd0d71dd7b0741b7c80f91796ce6b38d2601f7,,master,passed,343,2019-04-03 02:13:56 UTC,514975537,514975538,push
514974622,e852daececefc5dd089d0aa0ce39d0efb07f4537,,0.4.0,passed,377,2019-04-03 02:09:21 UTC,514974623,514974624,push
514974263,e852daececefc5dd089d0aa0ce39d0efb07f4537,,master,passed,518,2019-04-03 02:07:10 UTC,514974264,514974265,push
514971669,22299cd3cd1cf5672abb7e2d1e986f5aa3182ce9,68,master,passed,328,2019-04-03 01:51:55 UTC,514971670,514971671,pull_request
514971652,d94408364c57d7b9ecebbc2cf376437e148dbc19,,update,passed,315,2019-04-03 01:51:52 UTC,514971653,514971654,push
514968564,839918a4fef4ef024eb71715f75315aa73254deb,68,master,failed,245,2019-04-03 01:35:46 UTC,514968565,514968566,pull_request
514968558,128227cc472ae0095c4def9d2db7b0087ac4dfbf,,update,failed,382,2019-04-03 01:35:29 UTC,514968559,514968560,push
514968211,bda0c9de378216fa3d002865399f4aa59e698c0c,68,master,failed,243,2019-04-03 01:33:16 UTC,514968212,514968213,pull_request
514968208,9ebe22b7137e4ca14740641b5b3d28c6d57c952f,,update,failed,245,2019-04-03 01:33:08 UTC,514968209,514968210,push
514940092,c75f9f461858f64e9c818f2a555135c3f7978a7c,68,master,passed,344,2019-04-02 23:41:41 UTC,514940093,514940094,pull_request
514940080,38b122daa19b2d2e618adcb4e19cbb7e916cb4a9,,update,passed,347,2019-04-02 23:41:38 UTC,514940081,514940082,push
514937667,e8d8f1d2aeb93c2aa46a127c9f34a31a7af48f5e,68,master,passed,349,2019-04-02 23:32:40 UTC,514937668,514937669,pull_request
514937662,9e98b21b03c12a57b3397e88b1770536931b0412,,update,passed,319,2019-04-02 23:32:36 UTC,514937663,514937664,push
514935203,b77d7af396bb930562bdf707bb4813e9b3c26b7c,68,master,failed,319,2019-04-02 23:23:27 UTC,514935204,514935205,pull_request
514935149,2e8b912b4f524df05707599fdd67ba9469f87b41,,update,failed,324,2019-04-02 23:23:00 UTC,514935150,514935151,push
514933204,005d57f34605467a98c28352758434e72deff31d,68,master,errored,276,2019-04-02 23:14:53 UTC,514933205,514933206,pull_request
514933201,04a95101e74a91148904f1ee9cf3314ea858702f,,update,errored,289,2019-04-02 23:14:49 UTC,514933202,514933203,push
514932251,1f61762e5ac047778b186a0c2c67b8e91df228e7,68,master,errored,250,2019-04-02 23:11:08 UTC,514932252,514932253,pull_request
514932248,d55376b445cbf4d9ba7102571ecff23136e68c6e,,update,errored,249,2019-04-02 23:11:04 UTC,514932249,514932250,push
514930200,fb1303bad823921851d432f9cb110885fc1952bd,68,master,failed,141,2019-04-02 23:04:28 UTC,514930201,514930202,pull_request
514930193,ad12c3866646cce9bb3ece234a6b69768a8debef,,update,failed,176,2019-04-02 23:04:22 UTC,514930194,514930195,push
514921962,a0550101593313d66642dc9558f50d0b5ba16492,68,master,errored,291,2019-04-02 22:37:23 UTC,514921963,514921964,pull_request
514921933,3d296f65b4b95bfd849584b4108410c809217eb2,,update,errored,292,2019-04-02 23:00:36 UTC,514921934,514921935,push
514921254,75df48e99bbd28fd1e70f1acb5ddf1fb9e656516,68,master,errored,259,2019-04-02 22:35:36 UTC,514921255,514921256,pull_request
514920971,7eec04ffd0716e42e7e2e8ac1b571864f0199212,,update,errored,265,2019-04-02 22:34:31 UTC,514920972,514920973,push
514920762,62cee8cd8d8ea208b574cc112133ad9e7a6e089d,,update,errored,300,2019-04-02 22:33:39 UTC,514920763,514920764,push
514902242,d4070c762a7f8b438e207c1d1d448463004eb25c,,update,errored,303,2019-04-02 21:46:58 UTC,514902243,514902244,push
514887853,ae820cc1ce1e45d358468334604c6d9f6437350f,,update,errored,291,2019-04-02 21:12:07 UTC,514887854,514887855,push
514261990,3a584502ed5441db4bc33615bf264416973a4301,,update,failed,277,2019-04-01 17:21:12 UTC,514261991,514261992,push
500607214,1f127e690090cf363e2fc5061b8a0bcc56b423df,66,master,failed,337,2019-03-01 23:48:08 UTC,500607215,500607216,pull_request
