build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
655985502,ee1f4839786014e76829ceb48d79ac013cc97852,356,master,failed,528,2020-02-27 21:48:48 UTC,655985503,655985504,655985505,655985506,655985507,655985508,655985509,655985510,655985511,655985512,655985513,655985514,655985515,655985516,655985517,655985518,pull_request
655983040,5a4a8d6df9b2882ed6e12d14b7095cb9e92ab22d,356,master,failed,548,2020-02-27 21:42:02 UTC,655983041,655983042,655983043,655983044,655983045,655983046,655983047,655983048,655983049,655983050,655983051,655983052,655983053,655983054,655983055,655983056,pull_request
655982610,f6322c5446cb371cee5d167ee712328e51dd5775,356,master,failed,516,2020-02-27 21:39:27 UTC,655982611,655982612,655982613,655982614,655982615,655982616,655982617,655982618,655982619,655982620,655982621,655982622,655982623,655982624,655982625,655982626,pull_request
655979996,183204e0c1cb38edbbed6a48009a4c4f04d7fb7f,356,master,failed,555,2020-02-27 21:32:58 UTC,655979997,655979998,655979999,655980000,655980001,655980002,655980003,655980004,655980005,655980006,655980007,655980008,655980009,655980010,655980011,655980012,pull_request
655977912,bb01bcdde21d1582a847ec83d5f4950984d57c31,356,master,failed,566,2020-02-27 21:26:45 UTC,655977913,655977914,655977915,655977916,655977917,655977918,655977919,655977920,655977921,655977922,655977923,655977924,655977925,655977926,655977927,655977928,pull_request
655975348,4f779c00bb04bb4c1843cce8a0e2fa5fdf154d0b,356,master,failed,586,2020-02-27 21:19:10 UTC,655975349,655975350,655975351,655975352,655975353,655975354,655975355,655975356,655975357,655975358,655975359,655975360,655975361,655975362,655975363,655975364,pull_request
655970284,d3f3e16ba89fa13b9352e95fab265434057d56cb,356,master,failed,573,2020-02-27 21:04:51 UTC,655970285,655970286,655970287,655970288,655970289,655970290,655970291,655970293,655970294,655970295,655970296,655970297,655970299,655970301,655970304,655970306,pull_request
655970266,d3f3e16ba89fa13b9352e95fab265434057d56cb,356,master,canceled,0,,655970267,655970268,655970269,655970270,655970271,655970272,655970273,655970274,655970275,655970276,655970277,655970278,655970279,655970280,655970281,655970282,pull_request
655964934,2323e7f94e4e9bca94399fe8f20a1c4747cd6e62,356,master,failed,551,2020-02-27 20:51:08 UTC,655964938,655964939,655964940,655964941,655964942,655964943,655964944,655964945,655964946,655964947,655964948,655964949,655964950,655964951,655964952,655964953,pull_request
655581283,d9b53c67df7d84c9ed65f1b9fbb26654f211d35d,,v0.75.2,errored,695,2020-02-26 23:04:39 UTC,655581284,655581285,655581286,655581287,655581288,655581289,655581290,655581291,655581292,655581293,655581294,655581295,655581296,655581297,655581298,655581299,push
655580962,ce320e0663c9bbf483f36e20429c567ea09e08f5,,v0.75.1,canceled,0,,655580963,655580964,655580965,655580966,655580967,655580968,655580969,655580970,655580971,655580972,655580973,655580974,655580975,655580976,655580977,655580978,api
655579719,d9b53c67df7d84c9ed65f1b9fbb26654f211d35d,,master,passed,566,2020-02-26 23:00:02 UTC,655579720,655579721,655579722,655579723,655579724,655579725,655579726,655579727,655579728,655579729,655579730,655579731,655579732,655579733,655579734,655579735,push
655575907,ce320e0663c9bbf483f36e20429c567ea09e08f5,,v0.75.1,canceled,-3,,655575908,655575909,655575910,655575911,655575912,655575913,655575914,655575915,655575916,655575917,655575918,655575919,655575920,655575921,655575922,655575923,push
