build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
736577578,6fc345833f148762bb8783896d1b1059b146886f,,master,passed,576,2020-10-17 07:08:41 UTC,736577579,736577580,736577581,736577582,736577583,736577584,736577585,736577586,736577587,736577588,push
736359201,8036f63eb5b3f966ab1291e2b40bc645f16aed96,278,master,passed,604,2020-10-16 13:11:28 UTC,736359202,736359204,736359205,736359206,736359207,736359208,736359209,736359210,736359211,736359212,pull_request
736184126,4265e496489e21967a053bfc639046d2c3182e05,278,master,failed,588,2020-10-15 21:33:09 UTC,736184127,736184128,736184129,736184130,736184131,736184132,736184133,736184134,736184135,736184136,pull_request
729758960,7b172fe24830bb8fd8cd943b73570e8cd6515ba1,,master,passed,536,2020-09-23 21:10:59 UTC,729758961,729758962,729758963,729758964,729758965,729758966,729758967,729758968,729758969,push
726723505,3c131e0cb316e163667d2c77d32944984e875098,277,master,passed,508,2020-09-13 08:20:33 UTC,726723506,726723507,726723508,726723509,726723510,726723511,726723512,726723513,726723514,pull_request
724620808,6ca2e2ab399c7e41be276bc830f21af3092f5d28,,master,passed,514,2020-09-06 10:08:08 UTC,724620809,724620810,724620811,724620812,724620813,724620814,724620815,724620816,724620817,push
724620709,2fa45a12af96c7de3dd88aed845162048978213a,275,master,errored,339,2020-09-06 10:06:37 UTC,724620710,724620711,724620712,724620713,724620714,724620715,724620716,724620717,724620718,pull_request
724564413,31805d9113a182ab7e91178899bca6eb21437f1a,270,master,passed,550,2020-09-06 00:43:06 UTC,724564414,724564415,724564416,724564417,724564418,724564419,724564420,724564421,724564422,pull_request
723631708,9c4f75f79bde0bb4d74d8bccdc3eea0a31ddc7ec,270,master,passed,543,2020-09-03 00:31:39 UTC,723631709,723631710,723631711,723631712,723631713,723631714,723631715,723631716,723631717,pull_request
723625376,8c5b1a722fa663cd0656e7d21ed1287924d0358d,270,master,failed,519,2020-09-02 23:52:32 UTC,723625377,723625378,723625379,723625380,723625381,723625382,723625383,723625384,723625385,pull_request
721888112,dd0f8c48f05d4817017a59b47666efe5742e90ed,270,master,failed,522,2020-08-28 02:23:13 UTC,721888113,721888114,721888115,721888116,721888117,721888118,721888119,721888120,721888121,pull_request
721840283,90f494ac9dd735f64153619446628b613420e0be,270,master,failed,483,2020-08-27 22:01:05 UTC,721840284,721840285,721840286,721840287,721840288,721840289,721840290,721840291,721840292,pull_request
721798297,bb30f81d2e654c78a79b1e0ff72ff140ed4aa279,270,master,failed,503,2020-08-27 19:15:22 UTC,721798298,721798299,721798301,721798302,721798303,721798305,721798307,721798309,721798310,pull_request
715001106,dc66cc1428dccf9b72d27c8fca338b9f072feec0,270,master,failed,534,2020-08-05 00:50:13 UTC,715001107,715001108,715001109,715001110,715001111,715001112,715001113,715001114,715001115,pull_request
713767037,97c6b504a9938f64d7556db5048a321eec47cecd,269,master,failed,527,2020-07-31 17:09:34 UTC,713767038,713767039,713767040,713767041,713767042,713767043,713767044,713767045,713767046,pull_request
709063835,92ec3b280db6e9f946994a3bf5815d6b6447892c,,master,passed,503,2020-07-17 07:00:06 UTC,709063836,709063837,709063838,709063839,709063840,709063841,709063842,709063843,709063844,push
709063252,78be0f865d34c34120456ff0b6b9d34a95ac6879,,master,passed,480,2020-07-17 06:57:19 UTC,709063253,709063254,709063255,709063256,709063257,709063258,709063259,709063260,709063261,push
708899457,b3b2b272a73ce0a83dfbfa0d8d17c63e2f52c341,267,master,passed,521,2020-07-16 20:03:16 UTC,708899458,708899459,708899460,708899461,708899462,708899463,708899464,708899465,708899466,pull_request
708899214,26a3d8569d5047b5ef91814638f2e3cf09eeaccd,267,master,passed,514,2020-07-16 20:01:44 UTC,708899215,708899216,708899217,708899218,708899219,708899220,708899221,708899222,708899223,pull_request
708893354,4b434362e1832771fd08c14b8af67a8fd562b854,,master,passed,530,2020-07-16 19:46:00 UTC,708893355,708893356,708893357,708893358,708893359,708893360,708893361,708893362,708893363,push
