build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
756612415,134089e4cad7bd3b76fb0f70c423082cb7d2b34a,,master,passed,3335,2021-01-30 12:49:08 UTC,756612419,756612421,756612423,756612425,756612427,756612429,756612430,756612431,756612434,756612435,756612436,756612438,756612439,756612440,756612441,756612443,756612444,756612445,756612448,756612449,756612452,756612454,756612455,756612457,756612458,756612459,756612460,756612461,756612462,756612463,756612464,756612465,756612466,756612467,756612468,756612469,756612470,756612471,756612472,756612473,cron
756554568,1a58d3c1c959a5f526be4cb4b4e76f77b99f89be,459,master,errored,1366,2021-01-29 13:13:58 UTC,756554569,756554570,756554571,756554572,756554573,756554574,756554575,756554576,756554577,756554578,756554579,756554580,756554581,756554582,756554583,756554584,756554585,756554586,756554587,756554588,756554589,756554590,756554591,756554592,756554593,756554594,756554595,756554596,756554597,756554598,756554599,756554600,756554601,756554602,756554603,756554604,756554605,756554606,756554607,756554608,pull_request
756554501,45532edf21817021ae2c25e51d18ef3166653da4,458,master,passed,3052,2021-01-28 13:23:58 UTC,756554502,756554503,756554504,756554505,756554506,756554507,756554508,756554509,756554510,756554511,756554512,756554513,756554514,756554515,756554516,756554517,756554518,756554519,756554520,756554521,756554522,756554523,756554524,756554525,756554526,756554527,756554528,756554529,756554530,756554531,756554532,756554533,756554534,756554535,756554536,756554537,756554538,756554539,756554540,756554541,pull_request
756554038,5d24b41b06a994dc08cf4c6a2223ed09aaa77fb7,458,master,canceled,0,,756554039,756554040,756554041,756554042,756554043,756554044,756554045,756554046,756554047,756554048,756554049,756554050,756554051,756554052,756554053,756554054,756554055,756554056,756554057,756554058,756554059,756554060,756554061,756554062,756554063,756554064,756554065,756554066,756554067,756554068,756554069,756554070,756554071,756554072,756554073,756554074,756554075,756554076,756554077,756554078,pull_request
756443790,82eb8e82eaa8cd5eb22ee1b0f977d63b3757b32e,458,master,passed,3407,2021-01-27 19:05:01 UTC,756443791,756443792,756443793,756443794,756443795,756443796,756443797,756443798,756443799,756443800,756443801,756443802,756443803,756443804,756443805,756443806,756443807,756443808,756443809,756443810,756443811,756443812,756443813,756443814,756443815,756443816,756443817,756443818,756443819,756443820,756443821,756443822,756443823,756443824,756443825,756443826,756443827,756443828,756443829,756443830,pull_request
755177298,1813490fd6a32cbf2e0141bf04cb5cdf99385875,445,master,passed,3152,2021-01-19 13:17:42 UTC,755177299,755177300,755177301,755177302,755177303,755177304,755177305,755177306,755177307,755177308,755177309,755177310,755177311,755177312,755177313,755177314,755177315,755177316,755177317,755177318,755177319,755177320,755177321,755177322,755177323,755177324,755177325,755177326,755177327,755177328,755177329,755177330,755177331,755177332,755177333,755177334,755177335,755177336,755177337,755177340,pull_request
751854616,134089e4cad7bd3b76fb0f70c423082cb7d2b34a,,master,passed,3106,2020-12-28 18:33:54 UTC,751854620,751854622,751854623,751854624,751854625,751854626,751854627,751854628,751854629,751854630,751854631,751854632,751854633,751854634,751854635,751854636,751854637,751854638,751854639,751854640,751854641,751854642,751854643,751854644,751854645,751854646,751854647,751854648,751854649,751854650,751854651,751854653,751854654,751854655,751854656,751854657,751854658,751854659,751854660,751854665,cron
747792991,134089e4cad7bd3b76fb0f70c423082cb7d2b34a,,master,passed,2856,2020-12-05 11:45:56 UTC,747792992,747792993,747792994,747792995,747792996,747792997,747792998,747792999,747793000,747793001,747793002,747793003,747793004,747793005,747793006,747793007,747793008,747793009,747793010,747793011,747793012,747793013,747793014,747793015,747793016,747793017,747793018,747793019,747793020,747793021,747793022,747793023,747793024,747793025,747793026,747793027,747793028,747793029,747793030,747793031,push
747792906,bfa7c5a04da5d6d3a197b5c4ef1d9b9283af9287,,master,canceled,0,,747792907,747792908,747792909,747792910,747792911,747792912,747792913,747792914,747792915,747792916,747792917,747792918,747792919,747792920,747792921,747792922,747792923,747792924,747792925,747792926,747792927,747792928,747792929,747792930,747792931,747792932,747792933,747792934,747792935,747792936,747792937,push
747792774,7982c9298c57cb3fd23e9b5a99406263ca0f5a49,,master,canceled,0,,747792775,747792776,747792777,747792778,747792779,747792780,747792781,747792782,747792783,747792784,747792785,747792786,747792787,747792788,747792789,747792790,747792791,747792792,747792793,747792794,747792795,747792796,747792797,747792798,747792799,747792800,747792801,747792802,747792803,747792804,747792805,push
747792678,9619613a03aa52757d29f955491e39441f091719,,master,canceled,0,,747792679,747792680,747792681,747792682,747792683,747792684,747792685,747792686,747792687,747792688,747792689,747792690,747792691,747792692,747792693,747792694,747792695,747792696,747792697,747792698,747792699,747792700,747792701,747792702,747792703,747792704,747792705,747792706,747792707,747792708,747792709,push
746466228,913699aec50772733449a40a993b1955c8024e0c,,master,passed,2473,2020-11-28 18:28:40 UTC,746466229,746466230,746466231,746466232,746466233,746466234,746466235,746466236,746466237,746466238,746466239,746466240,746466241,746466242,746466243,746466244,746466245,746466246,746466247,746466248,746466249,746466250,746466251,746466252,746466253,746466254,746466255,746466256,746466257,746466258,746466261,cron
746416650,123dab80f9eafe399a25f74d283b09e4ac0fac21,453,master,passed,2450,2020-11-28 12:29:45 UTC,746416651,746416652,746416653,746416654,746416655,746416656,746416657,746416658,746416659,746416660,746416661,746416662,746416663,746416664,746416665,746416666,746416667,746416668,746416669,746416670,746416671,746416672,746416673,746416674,746416675,746416676,746416677,746416678,746416679,746416680,746416681,pull_request
746413575,571688a937ab8a9242420bd50f3418c3e95f1262,453,master,failed,2424,2020-11-28 11:50:25 UTC,746413576,746413577,746413578,746413579,746413580,746413581,746413582,746413583,746413584,746413585,746413586,746413587,746413588,746413589,746413590,746413591,746413592,746413593,746413594,746413595,746413596,746413597,746413598,746413599,746413600,746413601,746413602,746413603,746413604,746413605,746413606,pull_request
746251869,3e2fd054377c6f8a96da9f0e0b131c13ec59ca8a,452,master,passed,2448,2020-11-28 05:24:26 UTC,746251870,746251871,746251872,746251873,746251874,746251875,746251876,746251877,746251878,746251879,746251880,746251881,746251882,746251883,746251884,746251885,746251886,746251887,746251888,746251889,746251890,746251891,746251892,746251893,746251894,746251895,746251896,746251897,746251898,746251899,746251900,pull_request
745882886,9c54ade88082a8a030c7cd2ca9f16ee60b17a8ca,451,master,passed,2472,2020-11-27 15:04:14 UTC,745882887,745882888,745882889,745882890,745882891,745882892,745882894,745882895,745882897,745882898,745882899,745882900,745882901,745882902,745882903,745882904,745882905,745882906,745882907,745882908,745882909,745882910,745882911,745882912,745882913,745882914,745882915,745882916,745882917,745882918,745882919,pull_request
741387054,7971c604ef643fcb9ff4f5fb28af6a36e138d91e,404,master,passed,2967,2020-11-04 19:30:49 UTC,741387055,741387056,741387057,741387058,741387059,741387060,741387061,741387062,741387063,741387064,741387065,741387066,741387067,741387068,741387069,741387070,741387071,741387072,741387073,741387074,741387075,741387076,741387077,741387078,741387079,741387080,741387081,741387082,741387083,741387084,741387085,741387086,741387087,741387088,741387089,741387090,741387091,741387092,741387093,741387094,pull_request
741035540,913699aec50772733449a40a993b1955c8024e0c,,master,passed,2437,2020-11-03 06:55:26 UTC,741035541,741035542,741035543,741035544,741035545,741035546,741035547,741035548,741035549,741035550,741035551,741035552,741035553,741035554,741035555,741035556,741035557,741035558,741035559,741035560,741035561,741035562,741035563,741035564,741035565,741035566,741035567,741035568,741035569,741035570,741035571,push
