build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761603076,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,errored,9862,2021-03-05 17:12:31 UTC,761603089,761603095,761603101,761603104,761603107,761603108,761603109,761603111,761603112,761603113,761603115,761603116,761603117,761603118,761603119,761603120,cron
761469668,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,10442,2021-03-04 17:27:18 UTC,761469678,761469680,761469683,761469693,761469698,761469702,761469708,761469714,761469719,761469721,761469734,761469756,761469767,761469768,761469769,761469771,cron
761314092,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,11065,2021-03-03 17:26:17 UTC,761314097,761314099,761314102,761314103,761314104,761314105,761314107,761314110,761314111,761314112,761314113,761314116,761314119,761314126,761314129,761314131,cron
761157495,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,10800,2021-03-02 17:34:30 UTC,761157505,761157508,761157511,761157514,761157518,761157520,761157527,761157530,761157533,761157536,761157538,761157546,761157551,761157552,761157554,761157560,cron
760977666,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,10443,2021-03-01 17:35:05 UTC,760977671,760977675,760977677,760977680,760977681,760977690,760977692,760977718,760977726,760977732,760977736,760977755,760977759,760977766,760977768,760977771,cron
760818333,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,9421,2021-02-28 17:11:37 UTC,760818336,760818348,760818349,760818353,760818356,760818364,760818365,760818367,760818368,760818373,760818376,760818377,760818384,760818386,760818393,760818394,cron
760720594,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,errored,7827,2021-02-27 17:10:03 UTC,760720600,760720604,760720624,760720625,760720627,760720633,760720634,760720648,760720655,760720656,760720670,760720676,760720685,760720688,760720697,760720700,cron
760613588,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,errored,11250,2021-02-26 17:22:15 UTC,760613595,760613600,760613602,760613611,760613615,760613616,760613617,760613631,760613633,760613634,760613635,760613640,760613641,760613643,760613646,760613659,cron
760477101,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,11372,2021-02-25 17:26:40 UTC,760477103,760477107,760477112,760477126,760477132,760477141,760477142,760477145,760477155,760477156,760477160,760477161,760477165,760477167,760477172,760477179,cron
760337084,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,11491,2021-02-24 17:21:21 UTC,760337085,760337087,760337088,760337089,760337092,760337093,760337094,760337100,760337110,760337111,760337121,760337127,760337128,760337129,760337130,760337142,cron
760189679,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,11271,2021-02-23 17:25:02 UTC,760189686,760189689,760189690,760189692,760189694,760189695,760189697,760189698,760189700,760189701,760189703,760189704,760189705,760189706,760189707,760189708,cron
760024184,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,11103,2021-02-22 17:21:56 UTC,760024189,760024190,760024192,760024193,760024194,760024195,760024196,760024197,760024198,760024199,760024201,760024202,760024210,760024211,760024212,760024222,cron
759881488,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,errored,10435,2021-02-21 17:10:18 UTC,759881496,759881500,759881510,759881514,759881515,759881517,759881518,759881526,759881531,759881532,759881533,759881547,759881553,759881555,759881556,759881572,cron
759781298,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,11237,2021-02-20 17:07:23 UTC,759781299,759781300,759781301,759781302,759781303,759781306,759781307,759781308,759781309,759781310,759781314,759781315,759781316,759781317,759781319,759781320,cron
759663505,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,11156,2021-02-19 18:05:26 UTC,759663510,759663512,759663514,759663516,759663518,759663519,759663522,759663524,759663527,759663531,759663532,759663534,759663536,759663539,759663542,759663547,cron
759512394,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,12220,2021-02-18 17:25:53 UTC,759512397,759512399,759512401,759512405,759512406,759512411,759512412,759512414,759512420,759512422,759512425,759512427,759512432,759512434,759512437,759512439,cron
759366530,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,12304,2021-02-17 17:20:26 UTC,759366538,759366543,759366551,759366553,759366559,759366561,759366562,759366563,759366564,759366565,759366566,759366568,759366571,759366573,759366574,759366575,cron
759217749,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,errored,11149,2021-02-16 17:27:10 UTC,759217759,759217763,759217764,759217770,759217774,759217775,759217777,759217780,759217784,759217787,759217788,759217789,759217790,759217791,759217795,759217796,cron
759082905,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,failed,13468,2021-02-15 17:21:49 UTC,759082910,759082911,759082913,759082914,759082915,759082916,759082917,759082918,759082919,759082920,759082921,759082922,759082923,759082929,759082931,759082940,cron
758937788,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,,master,passed,13226,2021-02-14 17:05:34 UTC,758937799,758937802,758937803,758937810,758937814,758937815,758937819,758937822,758937823,758937829,758937831,758937833,758937834,758937835,758937836,758937843,cron
