build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
727236076,51055132ee5d9fd08bfdb861ff01de11a4a83539,273,master,passed,567,2020-09-15 02:26:52 UTC,727236077,727236078,727236079,727236080,727236081,727236082,727236083,727236084,727236085,727236086,727236087,727236088,727236089,727236090,727236091,727236092,727236093,727236094,727236095,727236096,727236097,727236098,727236099,pull_request
727204872,a86a7473fa0a3b7352b65a5f1d6c699ea5378d27,273,master,passed,593,2020-09-14 23:27:12 UTC,727204873,727204874,727204875,727204876,727204877,727204878,727204879,727204880,727204881,727204882,727204883,727204884,727204885,727204886,727204887,727204888,727204889,727204890,727204891,727204892,727204893,727204894,727204895,pull_request
718063362,cab681fd77f8f9c70b549b929016b3dd5a62cfdd,,master,passed,1901,2020-08-14 22:21:28 UTC,718063363,718063364,718063365,718063366,718063367,718063368,718063369,718063370,718063371,718063372,718063373,718063374,718063375,718063376,718063377,718063378,718063379,718063380,718063381,718063382,718063383,718063384,718063385,push
718063255,24e99cc34b8fccccd8237e7f7bbf3ca4510781fe,266,master,errored,448,2020-08-14 22:15:57 UTC,718063256,718063257,718063258,718063259,718063260,718063261,718063263,718063264,718063265,718063266,718063268,718063269,718063270,718063271,718063272,718063273,718063276,718063277,718063278,718063281,718063283,718063284,718063285,pull_request
715331207,dc2e38e6790be5c9ff61b9d1d056d941f3a96195,,master,passed,1377,2020-08-05 23:35:26 UTC,715331208,715331209,715331210,715331211,715331212,715331213,715331214,715331215,715331216,715331217,715331218,715331219,715331220,715331221,715331222,715331223,715331224,715331225,715331226,715331227,715331228,715331229,715331230,push
715331183,851a220717bcbecd7c0084ce7524db898751155b,262,master,errored,448,2020-08-05 23:32:22 UTC,715331184,715331185,715331186,715331187,715331188,715331189,715331190,715331191,715331192,715331193,715331194,715331195,715331196,715331197,715331198,715331199,715331200,715331201,715331202,715331203,715331204,715331205,715331206,pull_request
715330799,51b9033cf664528bdbc40ee5330c9c490b26acac,262,master,errored,810,2020-08-05 23:27:53 UTC,715330800,715330801,715330802,715330803,715330804,715330805,715330806,715330807,715330808,715330809,715330810,715330811,715330812,715330813,715330814,715330815,715330816,715330817,715330818,715330819,715330820,715330821,715330822,pull_request
715294112,8d2787dadf9c1ac6eed0c50a0ba4194bab076078,266,master,passed,2908,2020-08-05 21:00:54 UTC,715294113,715294114,715294115,715294116,715294117,715294118,715294119,715294120,715294121,715294122,715294123,715294124,715294125,715294126,715294127,715294128,715294129,715294130,715294131,715294132,715294133,715294134,715294135,pull_request
714659773,aa175a83aef247f47e34f6f9489a46b5c8b9df0a,,master,passed,490,2020-08-04 00:33:31 UTC,714659774,714659775,714659776,714659777,714659778,714659779,714659780,714659781,714659782,714659783,714659784,714659785,714659786,714659787,714659788,714659789,714659790,714659791,714659792,714659793,714659795,714659796,714659799,push
714659726,61ad254ce4ca59970c2bfd914f59e721b7ca4048,260,master,errored,441,2020-08-04 00:30:15 UTC,714659727,714659728,714659729,714659730,714659731,714659732,714659733,714659734,714659735,714659736,714659737,714659738,714659739,714659740,714659741,714659742,714659743,714659744,714659745,714659746,714659747,714659748,714659749,pull_request
