build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
734509955,8a052b7a210f17745fd24783a594fe4442218412,208,master,passed,712,2020-10-10 08:41:04 UTC,734509956,734509957,734509958,734509959,734509960,734509961,734509962,734509963,734509964,734509965,734509966,734509967,734509968,734509969,pull_request
734508344,dfaeec456e1d013b59972128ddbc40d86a88b4b1,208,master,passed,709,2020-10-10 08:27:20 UTC,734508345,734508346,734508347,734508348,734508349,734508350,734508351,734508352,734508353,734508354,734508355,734508356,734508357,734508358,pull_request
734507431,57ca837e2b24e93f53a8d1895f4242bd00a3e709,208,master,failed,520,2020-10-10 08:17:46 UTC,734507432,734507433,734507434,734507435,734507436,734507437,734507438,734507439,734507440,734507441,734507442,734507443,734507444,734507445,pull_request
734504506,3e72a599b748128bfa9a476576ec51dcfbe1784e,208,master,passed,699,2020-10-10 07:47:48 UTC,734504507,734504508,734504509,734504510,734504511,734504512,734504513,734504514,734504515,734504516,734504517,734504518,734504519,734504520,pull_request
733652159,7827977507e556c25505e672271b3912caddd086,197,master,passed,303,2020-10-07 12:58:51 UTC,733652160,733652161,733652162,733652163,pull_request
718875145,70ebdbe7ee6e9bdf10012a7d03924067a7ed15e5,,master,passed,610,2020-08-18 07:46:03 UTC,718875146,718875147,718875148,718875149,718875150,718875151,718875152,718875153,718875154,718875155,718875156,718875157,718875158,718875159,push
657222283,288807f0b7caf8142a68779d14e1bbf8e0d7eac6,201,master,passed,618,2020-03-02 10:05:01 UTC,657222284,657222285,657222286,657222287,657222288,657222289,657222290,657222291,657222292,657222293,657222294,657222295,657222296,657222297,pull_request
631900170,7c33703c2dc56e049c848ab2c29020290d89d9a8,198,master,failed,537,2020-01-02 14:57:27 UTC,631900171,631900173,631900175,631900176,631900177,631900178,631900179,631900180,631900181,631900182,631900183,631900184,631900185,631900186,pull_request
629976487,26717c7498438744c09d2f1fca3066f6259f5fe5,197,master,passed,277,2019-12-27 11:48:21 UTC,629976488,629976489,629976490,629976491,pull_request
624027306,1d42f7ecc6801a46efd886dd8a007461a1084fd0,,master,passed,630,2019-12-12 07:40:11 UTC,624027307,624027308,624027309,624027310,624027311,624027312,624027313,624027314,624027315,624027316,624027317,624027318,624027319,624027320,push
624027065,352e8d405f08899f92404382105b798052b4c48f,,master,passed,639,2019-12-12 07:37:44 UTC,624027066,624027067,624027068,624027069,624027070,624027071,624027072,624027073,624027074,624027075,624027076,624027077,624027078,624027079,push
576270194,bb153cddf9807ba4e28482f3b208a38df8e70cb8,191,master,passed,654,2019-08-24 19:16:32 UTC,576270195,576270196,576270197,576270198,576270199,576270200,576270201,576270202,576270203,576270204,576270205,576270206,576270207,576270208,pull_request
543427272,4f7d93809df9aac948a5570f94b38c4865e629e2,191,master,passed,694,2019-06-09 16:23:44 UTC,543427273,543427274,543427275,543427276,543427277,543427278,543427279,543427280,543427281,543427282,543427283,543427284,543427285,543427286,pull_request
506345332,4238bc78f28343a4fb9fee5902b3c36ef8c57d81,190,master,passed,923,2019-03-14 15:38:14 UTC,506345333,506345334,506345335,506345336,506345337,506345338,506345339,506345340,506345341,506345342,506345343,506345344,506345345,506345346,pull_request
