build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
724532131,294142a96b7bd46369df900f4861f558115adb44,103,develop,passed,91,2020-09-05 20:26:09 UTC,724532136,pull_request
724086990,e9b0dbd429daacdc957575a800bdd42bb1c22879,102,develop,failed,75,2020-09-04 09:16:05 UTC,724086991,pull_request
724079674,63541ddba8641e575e3bda7d672b98262d89d00a,101,develop,passed,85,2020-09-04 08:50:57 UTC,724079675,pull_request
693295455,3f39735506d07d1167e42e9346cffe39d6b8c3db,,develop,passed,83,2020-06-01 02:29:46 UTC,693295456,push
678016263,7e8ceff4cc6fa791858078a2f005f12ec09ea9c5,100,develop,passed,78,2020-04-22 05:01:12 UTC,678016264,pull_request
449679192,1bc0d714e902e06b73b952e76ae37f3f6b5412e9,97,develop,passed,83,2018-11-02 04:44:08 UTC,449679193,pull_request
441376107,0d2a7c101a40e5758c098effc3d2263b7f7ef59a,,develop,passed,75,2018-10-14 19:41:20 UTC,441376108,push
440778509,1a8f38838b4589ed20be444a3ed09a1a2464158f,96,develop,passed,92,2018-10-12 19:16:47 UTC,440778510,pull_request
436796517,f6dfd66dc5edf83b0546649ceb20200cd1045a03,94,master,passed,90,2018-10-03 19:06:57 UTC,436796518,pull_request
400539037,bfed674fae3919623410877bbef106587180b073,,develop,passed,94,2018-07-05 17:27:04 UTC,400539038,push
400533872,cba1554189aafe9ebb7c00309d159c75a578f35d,92,develop,passed,109,2018-07-05 17:12:17 UTC,400533873,pull_request
400524339,b3eba1cf03f2b60223eadcd29ce1ba8ce7f99fed,,develop,passed,191,2018-07-05 16:47:36 UTC,400524340,push
400524132,9cf66679c5505bc5f1fb10ea7987e4c54efcac57,91,develop,errored,24,2018-07-05 16:47:05 UTC,400524133,pull_request
346398885,d56f2fcc923bd4e17badb97bc5db9c5300952753,,develop,passed,109,2018-02-26 17:44:43 UTC,346398886,push
346220123,0d2dd543db37e1babe54bf8b79d5058fe9341923,89,develop,passed,91,2018-02-26 10:28:55 UTC,346220124,pull_request
329267895,47377c5a6c8bb55a0edbcda93ac548dd6152283f,,develop,passed,98,2018-01-15 23:52:00 UTC,329267896,push
329265920,644a57c4a5a133dafea12c83a287f04fe71753c4,86,develop,passed,86,2018-01-15 23:44:54 UTC,329265921,pull_request
322580088,82d1cbff2a57c39647bd6987feb09bcff8228315,,develop,passed,89,2017-12-28 15:40:54 UTC,322580089,push
319386731,7864cb18087debe2777710db5252efe447ae4586,85,develop,passed,85,2017-12-20 21:22:46 UTC,319386732,pull_request
312065325,d43ce54595eaaa0d7778fbb9fb58af7252177754,,develop,passed,131,2017-12-05 20:43:18 UTC,312065326,push
312063391,fbcc9fce10ff67cb9d189e1a03953a28ebbe7394,82,develop,passed,100,2017-12-05 20:38:56 UTC,312063392,pull_request
310681086,c53e42b16bf11d8f9b1afffd616380e5559ee984,,develop,passed,110,2017-12-03 00:47:26 UTC,310681087,push
309672165,2957f0cc0fa015fff7175e8ccfcca553a9c362b0,80,develop,passed,123,2017-11-30 19:19:41 UTC,309672166,pull_request
308139791,c3516ae199101207a3e7a582475b05682e28c169,,develop,passed,86,2017-11-27 22:20:27 UTC,308139792,push
308135398,4d991e656092120950ba48fb44585a17fac374a2,79,develop,passed,100,2017-11-27 22:09:32 UTC,308135399,pull_request
308132912,86d5fada937fece0a1578caeedb6e33d760e292d,79,develop,passed,103,2017-11-27 22:03:37 UTC,308132913,pull_request
308131338,5c7d4dce62648cf379631bf0cb111e0a787db464,79,develop,passed,47,2017-11-27 22:00:09 UTC,308131339,pull_request
308127154,5840098ca87d83eecd1a651cb6b8a11002c221ce,79,develop,errored,122,2017-11-27 21:50:48 UTC,308127156,308127157,pull_request
308125989,31a293606260a56dbbaaea791cd04c73163da407,79,develop,passed,130,2017-11-27 21:48:23 UTC,308125990,308125991,pull_request
308117184,804f84a21a592acb1372fa6b0f6273e774087715,79,develop,errored,83,2017-11-27 21:28:43 UTC,308117185,308117186,pull_request
305933141,1eebda1bb6327490ad3162b774c7a05210296df3,,develop,passed,159,2017-11-22 17:53:03 UTC,305933142,305933144,push
305685736,d932ca71b3e497c4b9ddecbc4a57536dc0444276,78,develop,passed,132,2017-11-22 08:31:06 UTC,305685739,305685740,pull_request
305436941,7f544bf62e6ca3bd9e8ffcbaa20313e204618409,78,develop,passed,143,2017-11-21 19:19:45 UTC,305436942,305436943,pull_request
305435195,74894572c6e49a286953251d1e555bc561276fb7,78,develop,passed,146,2017-11-21 19:15:34 UTC,305435198,305435199,pull_request
299668372,49da83cb8688fb82e27e69e9cb3c9eadfddfc6ae,78,develop,passed,141,2017-11-09 14:37:01 UTC,299668373,299668374,pull_request
296905451,ad7b43b3d16edc73c427795bdbc518dddc63875f,,1.1,passed,204,2017-11-03 17:43:58 UTC,296905454,296905455,push
296899745,ad7b43b3d16edc73c427795bdbc518dddc63875f,,master,passed,143,2017-11-03 17:29:40 UTC,296899746,296899747,push
296898028,ad7b43b3d16edc73c427795bdbc518dddc63875f,,develop,passed,156,2017-11-03 17:25:43 UTC,296898030,296898032,push
295144197,6272d0b5375ae62ce922c22969d9964e17fbd6b3,75,develop,passed,156,2017-10-31 03:39:43 UTC,295144198,295144199,pull_request
294951221,ffe6ea6a50ce8c18c626737f2a71a99000bcce94,,develop,passed,145,2017-10-30 16:50:32 UTC,294951222,294951223,push
294945808,62b514c9615b769f0e1892f2bc3542cba0405698,74,develop,passed,145,2017-10-30 16:37:39 UTC,294945809,294945810,pull_request
294590566,202751c819fd92e480e6b21febcdced1d0d7f10d,,develop,passed,120,2017-10-29 21:37:11 UTC,294590567,294590568,push
294589383,73c050e7a9df98218281c3a2e3566880531f4e70,72,develop,passed,218,2017-10-29 21:32:40 UTC,294589384,294589385,pull_request
294580918,d7d3f1154bb1b9106c1abfcf0d9a9e2ecb94e18b,,develop,passed,127,2017-10-29 21:04:35 UTC,294580919,294580920,push
294579236,229b7573e8efcf9a3fa65ebe2e33c227c3e7c04c,70,develop,passed,126,2017-10-29 20:58:46 UTC,294579237,294579238,pull_request
294564213,0123a99db985b5a65ddd796b83e6c3e3ee03e172,,develop,passed,150,2017-10-29 20:08:14 UTC,294564214,294564215,push
294559137,7437b455327a18bf1602a6af06439033fce89c5b,69,develop,passed,228,2017-10-29 19:52:44 UTC,294559138,294559139,pull_request
294546959,1d495d2f56e6021496a27e0388f2eae72fbc7e49,,develop,passed,126,2017-10-29 19:12:46 UTC,294546960,294546961,push
294546254,7c25124572740432f40d83851afb67dbec389f94,68,develop,passed,147,2017-10-29 19:09:50 UTC,294546255,294546258,pull_request
294542845,6095d0071e49ef8c3c30eeecbfa13c84c8ff547e,,develop,passed,165,2017-10-29 18:57:44 UTC,294542846,294542847,push
294541618,8d7ad4c87eb58302634b607a14f5d1587cb0e583,65,develop,passed,123,2017-10-29 18:53:29 UTC,294541619,294541620,pull_request
294531478,802f501c19f07c1261189afe19dce8b3fa05b9e8,,develop,passed,166,2017-10-29 18:19:37 UTC,294531479,294531480,push
294530552,e8876abcc6658169eb15efd3dd9e98a7187ff275,67,develop,passed,148,2017-10-29 18:17:10 UTC,294530553,294530554,pull_request
294524101,887d498246f8887e3deb53a726d7af393e3b9773,,develop,errored,79,2017-10-29 17:55:20 UTC,294524102,294524103,push
291341209,dd0dbd3be9f36f6863643bfdd12d0677b6fc614e,65,develop,passed,127,2017-10-23 03:01:31 UTC,291341210,291341211,pull_request
291001421,41a94e7553baa550d6267df9b4b2c81123159297,65,develop,passed,139,2017-10-22 02:04:15 UTC,291001422,291001423,pull_request
289625891,7d63f4d4ba67cc2d50c388698837884c737a57a8,62,master,passed,135,2017-10-18 18:08:37 UTC,289625892,289625895,pull_request
289625872,6702f6d2b810dcd9ad45f30491fe113280f1b297,,develop,passed,138,2017-10-18 18:07:59 UTC,289625873,289625874,push
289591755,3cdafeb3ce9021cee3c5235bf31b1bd8570f2d73,64,develop,passed,134,2017-10-18 16:36:41 UTC,289591756,289591757,pull_request
289591441,bf74ab9d0fbd7bcabded6a71e21067a2528b9b02,64,develop,canceled,0,,289591442,289591443,pull_request
288028589,72b8a28d8994a721008f9b055ba02682c89d7de8,63,develop,passed,145,2017-10-14 20:49:56 UTC,288028590,288028591,pull_request
286563937,38af126b023823840aabdf6658e46513168e338c,62,master,passed,126,2017-10-11 15:02:54 UTC,286563940,286563941,pull_request
280051968,385d17db108804fe53ab4bb5b7250bb69fb6050f,,develop,passed,124,2017-09-26 16:52:56 UTC,280051969,280051970,push
279125229,d6312f93682d78a35e9101e75266599c1fe53827,61,develop,passed,129,2017-09-24 06:12:53 UTC,279125230,279125231,pull_request
279125098,21374c3375839731ee1abc3bc157d9783065048d,61,develop,passed,150,2017-09-24 06:11:12 UTC,279125099,279125100,pull_request
279123622,53f9e29fe2460d144861395b4e3dd603eaac3252,61,develop,passed,126,2017-09-24 06:00:00 UTC,279123623,279123624,pull_request
279123326,ca690549c13434ad898e391521abc03bd619db1b,61,develop,passed,122,2017-09-24 05:57:44 UTC,279123327,279123328,pull_request
279122950,6a456e128ebef3714432661d5707803f777e0f76,61,develop,passed,122,2017-09-24 05:53:37 UTC,279122951,279122952,pull_request
279094202,695fc7029cb887380d4b8a528d137ba0dd1c0f8e,61,develop,passed,126,2017-09-24 02:11:12 UTC,279094203,279094204,pull_request
