build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
759331797,17da3ae01cb3ae098663b98df5e8eae9a204880a,893,main,failed,345,2021-02-17 13:01:01 UTC,759331798,759331799,759331800,759331801,759331802,759331803,759331804,759331805,759331806,pull_request
759255867,ecb717284d0f32871651d34104b3a973dc034881,893,main,failed,355,2021-02-16 22:32:43 UTC,759255868,759255869,759255870,759255871,759255872,759255873,759255874,759255875,759255876,pull_request
757977573,5ae295d1e63b986d7a409ddd3c0c36eb5efce768,893,main,errored,270,2021-02-07 23:02:37 UTC,757977574,757977575,757977576,757977577,757977578,757977579,757977580,757977581,757977582,pull_request
757903943,923c075e3aedd358a37a056d4b6a65886e84b4ab,893,main,errored,260,2021-02-07 09:18:26 UTC,757903944,757903945,757903946,757903947,757903948,757903949,757903950,757903951,757903952,pull_request
757902576,c359654d98d4be5e749e59eb1a7fdf92fc044a3f,893,main,errored,263,2021-02-07 08:45:42 UTC,757902577,757902578,757902579,757902580,757902581,757902582,757902583,757902584,757902585,pull_request
757899234,5361c8e5f490a6e5ad9449191da6b0bcd2e1208c,893,main,errored,256,2021-02-07 07:16:48 UTC,757899235,757899236,757899237,757899238,757899239,757899240,757899241,757899242,757899243,pull_request
757747931,a53e340c2ff24b36c98945c6f0374c6e21899afe,,main,passed,353,2021-02-05 20:54:53 UTC,757747932,757747933,757747934,757747935,757747936,757747937,757747938,757747939,757747940,push
757714416,a4926991960ea3c5d8576bfdb25809b6eb4fb8b9,898,main,passed,367,2021-02-05 16:28:26 UTC,757714417,757714418,757714419,757714420,757714421,757714422,757714423,757714424,757714425,pull_request
757461466,f68bac6820a41ac811a648fc470fba2056aa5ff2,896,main,passed,355,2021-02-03 21:55:00 UTC,757461467,757461468,757461469,757461470,757461471,757461472,757461473,757461474,757461475,pull_request
756639557,16c6a5d2a3f86e68a89783b40e42dff890bc2e89,893,main,errored,271,2021-02-03 16:01:26 UTC,756639558,756639559,756639560,756639561,756639562,756639563,756639564,756639565,756639566,pull_request
756480880,ff32bd2b7624494d5e4baf91ef1a352426c064bd,893,main,canceled,0,,756480881,756480882,756480883,756480884,756480885,756480886,756480887,756480888,756480889,pull_request
755797130,503bc40d60dac91a484acb406358c492be7c59e7,,main,passed,351,2021-01-23 06:15:39 UTC,755797131,755797132,755797133,755797134,755797135,755797136,755797137,755797138,755797139,push
755796810,c578dc4a8866020cf96af59b7651a37c718a2ee5,,main,failed,347,2021-01-23 06:09:27 UTC,755796811,755796812,755796813,755796814,755796815,755796816,755796817,755796818,755796819,push
750763810,c578dc4a8866020cf96af59b7651a37c718a2ee5,,master,failed,374,2020-12-21 02:00:26 UTC,750763811,750763812,750763813,750763814,750763815,750763816,750763817,750763818,750763819,push
750763579,eaacaeebc489c8ec205dc3de0fa9f506dc0bf136,,master,failed,359,2020-12-21 01:59:20 UTC,750763580,750763581,750763582,750763583,750763584,750763585,750763586,750763587,750763588,push
750763509,c4ce158a69b5594b826d7f9ffe9ef696af4f6739,,master,failed,366,2020-12-21 01:58:32 UTC,750763510,750763511,750763512,750763513,750763514,750763515,750763516,750763517,750763518,push
750707373,fdea4a4037c3375cd3ed407706a21ad7144060f3,886,master,failed,377,2020-12-20 17:42:56 UTC,750707374,750707375,750707376,750707377,750707378,750707379,750707380,750707381,750707382,pull_request
750326891,cab8a8c972ed681c214f63588f1834ca28949ac0,886,master,failed,370,2020-12-18 01:43:30 UTC,750326892,750326893,750326894,750326895,750326896,750326897,750326898,750326899,750326900,pull_request
749143081,bbfebc2411d6a3218b183d68a92f694e65dbfcd6,,master,passed,358,2020-12-11 20:41:27 UTC,749143082,749143083,749143084,749143085,749143086,749143087,749143088,749143089,749143090,push
