build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
740952982,a24fe6a3f2347d6fd9716754bfbe67d9aa845839,3621,master,errored,1263,2020-11-03 00:41:39 UTC,740952983,740952984,740952986,740952988,740952989,740952990,740952991,740952992,740952993,740952994,740952995,740952996,740952997,740952998,740952999,740953000,740953001,740953002,740953003,740953004,740953005,740953006,740953007,740953008,740953009,740953010,740953011,pull_request
740952954,014f804f358aaf9a3d7afee7d21bcea9c5fbd7fd,,master,passed,14108,2020-11-02 23:46:47 UTC,740952955,740952956,740952957,740952958,740952959,740952960,740952961,740952962,740952963,740952964,740952965,740952966,740952967,740952968,740952969,740952970,740952971,740952972,740952973,740952974,740952975,740952976,740952977,740952978,740952979,740952980,740952981,push
740265291,bc3e3fcb2b5c7255bc514257d129bba84b2ebfd8,,master,passed,14905,2020-10-31 02:27:41 UTC,740265292,740265293,740265294,740265295,740265296,740265297,740265298,740265299,740265300,740265301,740265302,740265303,740265304,740265305,740265306,740265307,740265308,740265309,740265310,740265311,740265312,740265313,740265314,740265315,740265316,740265317,740265318,push
740265261,d6082ec7d3e7a0505c0c314aaaae9f57f01a41e6,3620,master,errored,1241,2020-10-31 01:41:43 UTC,740265262,740265263,740265264,740265265,740265266,740265267,740265268,740265269,740265270,740265271,740265272,740265273,740265274,740265275,740265276,740265277,740265278,740265279,740265280,740265281,740265282,740265283,740265284,740265285,740265286,740265287,740265288,pull_request
739995680,44a31152a4e0b2fdf572366d70c38b0a978002c3,,master,passed,14796,2020-10-30 05:28:15 UTC,739995681,739995682,739995683,739995684,739995685,739995686,739995687,739995688,739995689,739995690,739995691,739995692,739995693,739995694,739995695,739995696,739995697,739995698,739995699,739995700,739995701,739995702,739995703,739995704,739995705,739995706,739995707,push
739694182,afb700865867ce1cbb3909c48ae7e7737e20cd46,,master,passed,14987,2020-10-29 04:14:13 UTC,739694183,739694184,739694185,739694186,739694187,739694188,739694189,739694190,739694191,739694192,739694193,739694194,739694195,739694196,739694197,739694198,739694199,739694200,739694201,739694202,739694203,739694204,739694205,739694206,739694207,739694208,739694209,push
739694152,e2e657dfe7f682b145ab29ab0554a5e007df3a4b,3615,master,errored,1367,2020-10-29 03:37:02 UTC,739694153,739694154,739694155,739694156,739694157,739694158,739694159,739694160,739694161,739694162,739694163,739694164,739694165,739694166,739694167,739694168,739694169,739694170,739694171,739694172,739694173,739694174,739694175,739694176,739694177,739694178,739694179,pull_request
739377613,0de8e4842f9affe2709100f150370b617cca4e1d,,master,passed,15775,2020-10-28 02:23:13 UTC,739377617,739377618,739377619,739377620,739377621,739377622,739377623,739377624,739377625,739377626,739377627,739377628,739377629,739377630,739377631,739377632,739377633,739377634,739377635,739377636,739377637,739377638,739377639,739377640,739377641,739377642,739377643,push
739059435,1587d737f0ec279daa6c81eb1d5500982635acc4,,master,passed,14965,2020-10-27 00:39:26 UTC,739059436,739059437,739059438,739059439,739059440,739059441,739059442,739059443,739059444,739059445,739059446,739059447,739059448,739059449,739059450,739059451,739059452,739059453,739059454,739059455,739059457,739059458,739059460,739059462,739059464,739059465,739059466,push
739059400,1c197ec1dddcaea85cc8a716e951dbcabe54c560,3613,master,errored,1247,2020-10-26 23:46:36 UTC,739059403,739059404,739059405,739059406,739059407,739059408,739059409,739059410,739059411,739059412,739059413,739059414,739059415,739059416,739059417,739059418,739059419,739059420,739059421,739059422,739059423,739059424,739059425,739059426,739059427,739059428,739059429,pull_request
