build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761026816,c3903dda515d4f7efcb8c55250fd8b75c8446034,,master,errored,4437,2021-03-01 22:35:43 UTC,761026817,761026818,761026819,761026820,761026821,761026822,761026823,761026824,761026825,761026826,761026827,761026828,761026829,761026830,761026831,761026832,761026833,761026834,761026835,761026836,761026837,761026838,761026839,761026840,761026841,761026842,761026843,761026844,761026845,761026846,761026847,761026848,761026849,761026850,761026851,761026852,761026853,761026854,761026855,761026856,761026857,cron
760065536,c3903dda515d4f7efcb8c55250fd8b75c8446034,,master,errored,4449,2021-02-22 22:14:33 UTC,760065537,760065538,760065539,760065541,760065546,760065548,760065549,760065550,760065551,760065552,760065553,760065555,760065556,760065557,760065558,760065559,760065561,760065562,760065563,760065564,760065565,760065566,760065567,760065568,760065569,760065570,760065571,760065572,760065573,760065574,760065575,760065576,760065577,760065578,760065579,760065580,760065581,760065582,760065583,760065584,760065585,cron
759119322,c3903dda515d4f7efcb8c55250fd8b75c8446034,,master,errored,4474,2021-02-15 22:09:50 UTC,759119324,759119327,759119328,759119330,759119332,759119333,759119334,759119335,759119336,759119337,759119338,759119339,759119340,759119341,759119342,759119343,759119344,759119345,759119346,759119347,759119348,759119349,759119351,759119352,759119353,759119354,759119356,759119357,759119359,759119360,759119362,759119363,759119364,759119365,759119366,759119367,759119368,759119369,759119370,759119371,759119372,cron
758138201,c3903dda515d4f7efcb8c55250fd8b75c8446034,,master,errored,4585,2021-02-08 23:06:51 UTC,758138202,758138203,758138204,758138205,758138206,758138207,758138208,758138209,758138210,758138211,758138212,758138213,758138214,758138215,758138216,758138217,758138218,758138219,758138220,758138221,758138222,758138223,758138224,758138225,758138226,758138227,758138228,758138229,758138230,758138231,758138232,758138233,758138234,758138235,758138236,758138237,758138238,758138239,758138240,758138241,758138242,cron
757152209,c3903dda515d4f7efcb8c55250fd8b75c8446034,,master,errored,4558,2021-02-01 23:45:44 UTC,757152210,757152211,757152212,757152213,757152214,757152215,757152216,757152217,757152218,757152219,757152220,757152221,757152222,757152223,757152224,757152225,757152226,757152227,757152228,757152229,757152230,757152231,757152232,757152234,757152235,757152236,757152240,757152241,757152242,757152247,757152248,757152249,757152250,757152251,757152252,757152253,757152254,757152256,757152258,757152260,757152262,cron
756166458,c3903dda515d4f7efcb8c55250fd8b75c8446034,,master,errored,4494,2021-01-25 23:52:02 UTC,756166460,756166461,756166462,756166464,756166465,756166466,756166467,756166468,756166469,756166470,756166471,756166472,756166473,756166474,756166475,756166476,756166477,756166478,756166479,756166480,756166481,756166482,756166483,756166484,756166485,756166486,756166487,756166488,756166489,756166490,756166491,756166492,756166493,756166494,756166495,756166496,756166497,756166498,756166499,756166500,756166501,cron
755094660,c3903dda515d4f7efcb8c55250fd8b75c8446034,,master,errored,4523,2021-01-18 22:21:48 UTC,755094661,755094662,755094663,755094664,755094665,755094666,755094667,755094668,755094669,755094670,755094671,755094672,755094673,755094674,755094675,755094676,755094677,755094678,755094679,755094680,755094681,755094682,755094683,755094684,755094685,755094686,755094687,755094688,755094689,755094690,755094691,755094692,755094693,755094694,755094695,755094696,755094697,755094698,755094699,755094700,755094701,cron
754024295,c3903dda515d4f7efcb8c55250fd8b75c8446034,,master,errored,4460,2021-01-11 22:29:26 UTC,754024296,754024297,754024298,754024299,754024300,754024301,754024302,754024303,754024304,754024305,754024306,754024307,754024308,754024309,754024310,754024311,754024312,754024313,754024314,754024315,754024316,754024317,754024318,754024319,754024320,754024321,754024322,754024323,754024324,754024325,754024326,754024327,754024328,754024329,754024330,754024331,754024332,754024333,754024334,754024335,754024336,cron
752882274,c3903dda515d4f7efcb8c55250fd8b75c8446034,,master,errored,4409,2021-01-04 22:35:12 UTC,752882275,752882276,752882277,752882278,752882279,752882280,752882281,752882282,752882283,752882284,752882285,752882286,752882287,752882288,752882289,752882290,752882291,752882292,752882293,752882294,752882295,752882296,752882297,752882298,752882299,752882301,752882302,752882303,752882304,752882305,752882307,752882308,752882310,752882312,752882313,752882314,752882315,752882316,752882317,752882318,752882319,cron
752315657,c3903dda515d4f7efcb8c55250fd8b75c8446034,,master,errored,4392,2020-12-31 19:10:23 UTC,752315658,752315659,752315660,752315661,752315662,752315663,752315664,752315665,752315666,752315667,752315668,752315669,752315670,752315671,752315672,752315673,752315674,752315675,752315676,752315677,752315678,752315679,752315680,752315681,752315682,752315683,752315684,752315685,752315686,752315687,752315688,752315689,752315690,752315691,752315692,752315693,752315694,752315695,752315696,752315697,752315698,push
