build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761098513,1a849484913fa612351f437639d9cf85dc840337,,devel,passed,3114,2021-03-02 09:05:42 UTC,761098514,761098515,761098516,761098517,761098518,761098519,761098520,761098521,761098522,761098523,761098524,761098525,761098526,761098527,761098528,761098529,761098530,761098531,761098532,761098533,761098534,761098535,761098536,761098537,761098538,761098539,761098540,761098541,761098542,761098543,761098544,761098545,761098546,761098547,761098548,761098549,761098550,761098551,761098552,push
760957305,2b975683a5c935a09dd4099edce5b1e97f53f639,733,devel,passed,3140,2021-03-01 15:54:17 UTC,760957306,760957307,760957308,760957309,760957310,760957312,760957314,760957315,760957316,760957317,760957318,760957319,760957320,760957321,760957322,760957323,760957324,760957325,760957326,760957327,760957328,760957329,760957330,760957331,760957332,760957333,760957334,760957335,760957336,760957337,760957338,760957339,760957340,760957341,760957342,760957343,760957344,760957345,760957346,pull_request
760954280,135265316e3457e2e075ebd63c36d92bcbb21f16,733,devel,passed,3162,2021-03-01 15:11:28 UTC,760954281,760954282,760954283,760954284,760954285,760954286,760954287,760954288,760954289,760954290,760954291,760954292,760954293,760954294,760954295,760954296,760954297,760954298,760954299,760954300,760954301,760954302,760954303,760954304,760954305,760954306,760954307,760954308,760954309,760954310,760954311,760954312,760954313,760954314,760954315,760954316,760954317,760954318,760954319,pull_request
760948416,60b4cbcebf6d3eae4c8a32b748655ba39447af19,732,devel,passed,3342,2021-03-01 14:28:08 UTC,760948417,760948418,760948419,760948420,760948421,760948422,760948423,760948424,760948425,760948426,760948427,760948428,760948429,760948430,760948431,760948432,760948433,760948434,760948435,760948436,760948437,760948438,760948439,760948440,760948441,760948442,760948443,760948444,760948445,760948446,760948447,760948448,760948449,760948450,760948451,760948452,760948453,760948454,760948455,760948456,760948457,760948458,760948459,760948460,760948461,pull_request
760947817,f14c88813b7dd65e8c236db6c781b4dd810c02be,732,devel,canceled,0,,760947818,760947819,760947820,760947821,760947822,760947823,760947824,760947825,760947826,760947827,760947828,760947829,760947830,760947831,760947832,760947833,760947834,760947835,760947836,760947837,760947838,760947839,760947840,760947841,760947842,760947843,760947844,760947845,760947846,760947847,760947848,760947849,760947850,760947851,760947852,760947853,760947854,760947855,760947856,760947857,760947858,760947859,760947860,760947861,760947862,pull_request
760946670,851f091fa653ef5ff91265593ed8009be8b83107,732,devel,failed,2743,2021-03-01 14:10:25 UTC,760946671,760946672,760946673,760946674,760946675,760946676,760946677,760946678,760946679,760946680,760946681,760946682,760946683,760946684,760946685,760946686,760946689,760946690,760946691,760946692,760946693,760946694,760946695,760946696,760946697,760946698,760946699,760946700,760946701,760946702,760946703,760946704,760946705,760946706,760946707,760946708,760946709,760946710,760946711,760946712,760946713,760946714,760946715,760946716,760946717,pull_request
760906067,0b8e6b4056887961eeaaf111153bad1f3ad43cad,731,devel,passed,3379,2021-03-01 08:19:08 UTC,760906068,760906069,760906070,760906071,760906072,760906073,760906074,760906075,760906076,760906077,760906078,760906079,760906080,760906081,760906082,760906083,760906084,760906085,760906086,760906087,760906088,760906089,760906090,760906091,760906092,760906093,760906094,760906095,760906096,760906097,760906098,760906099,760906100,760906101,760906102,760906103,760906104,760906105,760906106,760906107,760906108,760906109,760906110,760906111,760906112,pull_request
752841192,2765696ad2ffe24283c986da6f90ecedb353cc90,728,devel,passed,3643,2021-01-04 18:12:58 UTC,752841193,752841194,752841195,752841196,752841197,752841198,752841199,752841200,752841201,752841202,752841203,752841204,752841205,752841206,752841207,752841208,752841209,752841210,752841211,752841212,752841213,752841214,752841215,752841216,752841217,752841218,752841219,752841220,752841221,752841222,752841223,752841224,752841225,752841226,752841227,752841228,752841229,752841230,752841231,752841232,752841233,752841234,752841235,752841236,752841237,pull_request
750454156,f7e36c5b9c1725afbbc1a3d7777d7053f039b963,728,devel,passed,3700,2020-12-18 19:38:39 UTC,750454157,750454158,750454159,750454160,750454161,750454162,750454163,750454164,750454165,750454166,750454167,750454168,750454169,750454170,750454171,750454172,750454173,750454174,750454175,750454176,750454177,750454178,750454179,750454180,750454181,750454182,750454183,750454184,750454185,750454186,750454187,750454188,750454189,750454190,750454191,750454192,750454193,750454194,750454195,750454196,750454197,750454198,750454199,750454200,750454201,pull_request
744662681,fe374ca745ff6e72b8c4e31f884766dac0029943,725,master,errored,3274,2020-11-19 15:12:01 UTC,744662682,744662683,744662684,744662685,744662686,744662687,744662688,744662689,744662690,744662691,744662692,744662693,744662694,744662695,744662696,744662697,744662698,744662699,744662700,744662701,744662702,744662703,744662704,744662705,744662706,744662707,744662708,744662709,744662710,744662711,744662712,744662713,744662714,744662715,744662716,744662717,744662718,744662719,744662720,744662721,744662722,744662723,744662724,744662725,744662726,744662727,744662728,744662729,744662730,744662731,744662732,pull_request
