build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
759797313,243740b5db1200e84e5b28d7509d803e70168dd3,,master,failed,133,2021-02-20 20:08:35 UTC,759797314,759797315,759797316,759797317,759797318,push
759767917,01e7940441248bcc804efbf646be6b1347bde4cd,848,master,failed,149,2021-02-20 15:33:29 UTC,759767918,759767919,759767920,759767921,759767922,pull_request
759745251,907f171df6f3cc787624a8370e220a96f1251932,847,master,failed,144,2021-02-20 08:45:42 UTC,759745252,759745253,759745254,759745255,759745256,pull_request
759458184,a7550aec834696877580d91695cf7d04327c3b87,,v3.7.0,failed,134,2021-02-18 09:11:13 UTC,759458185,759458186,759458187,759458188,759458189,push
759458088,a7550aec834696877580d91695cf7d04327c3b87,,master,failed,136,2021-02-18 09:09:54 UTC,759458089,759458090,759458091,759458092,759458093,push
759377945,415e18b38918c3b24652c6e4fd9dde512a161fa0,,master,failed,164,2021-02-17 18:39:22 UTC,759377946,759377947,759377948,759377949,759377950,push
759339884,ced63fe5299adde2e2249b01731ca94b95989630,,master,failed,138,2021-02-17 14:18:36 UTC,759339885,759339886,759339887,759339888,759339889,push
759339170,689214d15396ab56f3cb9b671c0e8018c0d93369,,master,failed,142,2021-02-17 14:11:41 UTC,759339171,759339172,759339173,759339174,759339175,push
759337570,7d9e762d5605a43103e031b180965f2209215b7d,,master,failed,135,2021-02-17 13:57:21 UTC,759337571,759337572,759337573,759337574,759337575,push
758036195,ef175fd89333343f7fcd8915825f34b007aeb860,,master,failed,133,2021-02-08 09:23:57 UTC,758036196,758036197,758036198,758036199,758036200,push
758005031,962743bfa5d7ad9d76b2fbeff8581924adbd2faf,845,master,failed,139,2021-02-08 04:27:18 UTC,758005032,758005033,758005034,758005035,758005036,pull_request
755255200,624b9fc0d08a2bc5a7cb1bab21913f2f9e9b7e0f,844,master,failed,137,2021-01-19 22:41:06 UTC,755255201,755255202,755255203,755255204,755255205,pull_request
753352120,ab06f04137cfa2b0a8646056dd4ca6ea72aff6d5,838,master,failed,135,2021-01-07 13:00:56 UTC,753352121,753352122,753352123,753352124,753352125,pull_request
752756638,a8beb9be515858efd9619ece806ba0448c1b4ef7,836,master,failed,138,2021-01-04 07:37:40 UTC,752756639,752756640,752756641,752756642,752756643,pull_request
752756018,47a689480b7b99d861a814c521c346a4b46b37a3,836,master,failed,136,2021-01-04 07:32:47 UTC,752756019,752756020,752756021,752756022,752756023,pull_request
751943354,12cb5b39fd886b19cc453134c325474ccea5539a,835,master,failed,138,2020-12-29 08:17:54 UTC,751943355,751943356,751943357,751943358,751943359,pull_request
737343861,52eef450910046a4fdac641aed456dbe986defe3,,master,failed,137,2020-10-20 08:56:55 UTC,737343862,737343863,737343864,737343865,737343866,push
732342013,635f3c64602b6d9aeaf2159f30534531b9d4c90c,818,master,errored,155,2020-10-02 18:08:56 UTC,732342014,732342015,732342016,732342017,732342018,pull_request
730227190,db2a424e7c306e36d1e0649c9a31f11dce457296,,master,failed,136,2020-09-25 11:31:48 UTC,730227191,730227192,730227193,730227194,730227195,push
729780055,8626fd5b506653befe77ed2699329c49ec479ab1,814,master,failed,136,2020-09-23 22:38:36 UTC,729780056,729780057,729780058,729780059,729780060,pull_request
725159712,56d595b2cf05d2b6dc9070dbdc46596e8e69e681,,master,failed,136,2020-09-08 07:54:26 UTC,725159713,725159714,725159715,725159716,725159717,push
724712058,8bfbed388d8f26452cf68d16a51538ef7e570c5e,811,master,failed,143,2020-09-06 19:00:20 UTC,724712059,724712060,724712061,724712062,724712063,pull_request
721818372,a9158eb47b857911322ec8e2aea0b1240fcc7de5,809,master,failed,138,2020-08-27 20:35:51 UTC,721818373,721818374,721818375,721818376,721818377,pull_request
717230208,d21e80a49cbc19e60bb4c9f00f410075a56cdfad,,master,failed,135,2020-08-12 12:05:11 UTC,717230209,717230210,717230211,717230212,717230213,push
717198526,8c32371ff632db615dbbddca2efb0bc5b1e3af1d,807,master,failed,143,2020-08-12 09:42:05 UTC,717198527,717198528,717198529,717198530,717198531,pull_request
713202541,959613d320ed60502eb7db15ee2934bfd0c51933,,master,failed,127,2020-07-30 07:56:45 UTC,713202542,713202543,713202544,713202545,713202546,push
712865172,c96ffae86e4186920500898f5eace57f777f8165,802,master,failed,135,2020-07-29 10:09:15 UTC,712865173,712865174,712865175,712865176,712865177,pull_request
712679270,b3a8e023d50f570ad37d6a21d3c6128be6df2069,,master,failed,134,2020-07-28 19:12:31 UTC,712679271,712679272,712679273,712679274,712679275,push
712679141,e8e3a294bd155935e18649c90e11ab71ba122682,801,master,errored,134,2020-07-28 19:11:36 UTC,712679142,712679143,712679144,712679145,712679146,pull_request
712679131,8acbfb868a6d9d2d4d3153fb939a67c3638dfe50,,enh/fix_deps,failed,136,2020-07-28 19:10:57 UTC,712679132,712679133,712679134,712679135,712679136,push
712678755,b49c35ca771c4f81894a5beb054b6602d462532b,801,master,errored,198,2020-07-28 19:09:52 UTC,712678756,712678757,712678758,712678759,712678760,712678761,712678762,pull_request
712678497,de1db3209f4d3df25e68defbade728506a65efa5,,enh/fix_deps,failed,202,2020-07-28 19:09:01 UTC,712678498,712678499,712678500,712678501,712678502,712678503,712678504,push
712676741,7288cd6fb437f1adf95fd66c82483dcd7a2f4402,,master,failed,197,2020-07-28 19:03:10 UTC,712676742,712676743,712676744,712676745,712676746,712676747,712676748,push
712667398,5d6516d2128aa98d5dd88a6d14653f1ff296d2c3,,master,failed,204,2020-07-28 18:35:37 UTC,712667399,712667400,712667401,712667402,712667403,712667404,712667405,push
712543576,c43a1793551c39a46208e1cc175a61511aab90ff,799,master,failed,207,2020-07-28 12:44:33 UTC,712543577,712543578,712543579,712543580,712543581,712543582,712543583,pull_request
712341553,fb870b8472a44542527c6f4c2e2845846e38a603,797,master,failed,200,2020-07-27 20:48:31 UTC,712341554,712341555,712341556,712341557,712341558,712341559,712341560,pull_request
707576953,50c9edb6880e05face99ed2d30f8f73afdfd5ad8,,master,failed,189,2020-07-13 10:20:43 UTC,707576954,707576955,707576956,707576957,707576958,707576959,707576960,push
707557537,aa119dba20ebaed4d7c247a45700826a899991e8,,master,failed,189,2020-07-13 09:05:13 UTC,707557538,707557539,707557540,707557541,707557542,707557543,707557544,push
707404492,ee563f4f43e150320d57be6ad4fbf97967898d78,791,master,failed,199,2020-07-12 16:33:36 UTC,707404498,707404502,707404505,707404506,707404507,707404508,707404509,pull_request
706443340,4c31a3c4bf4dcf830b3fbf63920f62c4322c0d02,,master,failed,190,2020-07-09 08:20:26 UTC,706443341,706443342,706443343,706443344,706443345,706443346,706443347,push
706344464,fe89cdcf4cbcc09fd140942308bc764f5c8c9ccf,794,master,failed,196,2020-07-08 22:57:55 UTC,706344465,706344466,706344467,706344468,706344469,706344470,706344471,pull_request
703772049,d9aff86c2ff70dd72736ece9f9673b92d781a2ad,791,master,failed,195,2020-07-01 03:53:09 UTC,703772050,703772051,703772052,703772053,703772054,703772055,703772056,pull_request
701436779,353a6d3fd2d159963ab14709b484d1e6852aee1e,790,master,failed,192,2020-06-23 21:46:54 UTC,701436780,701436781,701436782,701436783,701436784,701436785,701436786,pull_request
701209597,b3a7fd758ad6598779a5fcdabdf57b2d31b60e6d,,master,failed,207,2020-06-23 09:55:15 UTC,701209598,701209599,701209600,701209601,701209602,701209603,701209604,push
701178749,f0df4b6c9462852a3e4b54a693f934f8c1dbc2f3,789,master,failed,186,2020-06-23 07:59:34 UTC,701178750,701178751,701178752,701178753,701178754,701178755,701178756,pull_request
696389319,0af02cfe79f6844a09c56831d2dbef362e50b731,785,master,failed,198,2020-06-09 09:35:02 UTC,696389320,696389321,696389322,696389323,696389324,696389325,696389326,pull_request
693402992,7ca9117d54f2978edf419fbfb443a3ea62f207cd,783,master,failed,188,2020-06-01 10:51:28 UTC,693402993,693402994,693402995,693402996,693402997,693402998,693402999,pull_request
689023136,d6ddb9f352f093d5319f17625b3bf567e4cacdf3,776,master,failed,199,2020-05-19 22:21:30 UTC,689023137,689023138,689023139,689023140,689023141,689023142,689023143,pull_request
688768329,09a973c57f7cb41579f6932d8f597a5b7a9483a4,775,master,failed,190,2020-05-19 11:12:28 UTC,688768330,688768331,688768332,688768333,688768334,688768335,688768336,pull_request
688768270,ac2c3982ccb3582a1cb79f35328027c7d628b58a,,enh/get_values,failed,192,2020-05-19 11:11:45 UTC,688768271,688768272,688768273,688768274,688768275,688768276,688768277,push
688748934,acaea4869d99d312bc3a89d46a092c561f56fadf,,master,failed,186,2020-05-19 10:05:11 UTC,688748935,688748936,688748937,688748938,688748939,688748940,688748941,push
688732427,22b76a752a85611f2e5eb9c162b2cb7718fc04ac,,master,failed,193,2020-05-19 09:09:50 UTC,688732429,688732431,688732432,688732433,688732434,688732435,688732436,push
688703241,27f3f81b0976249a5a152c7052371672ea476fc9,774,master,failed,193,2020-05-19 07:23:28 UTC,688703242,688703243,688703244,688703245,688703246,688703247,688703248,pull_request
688235269,bc08293585c04752e5a584e69b93b3c5c4ac5469,774,master,failed,189,2020-05-18 05:27:45 UTC,688235270,688235271,688235272,688235273,688235274,688235275,688235276,pull_request
685551406,ad607bcdc098c3a889f370c98433882905b0a893,,master,failed,187,2020-05-11 08:21:07 UTC,685551407,685551408,685551409,685551410,685551411,685551412,685551413,push
685542977,35e0bc5a02773a0a787b37b20df4f37ee951e5ef,,master,failed,187,2020-05-11 07:50:44 UTC,685542978,685542979,685542980,685542981,685542982,685542983,685542984,push
684164689,e2a23dc2c46956f80ab31eee5ad4ed704f374800,,master,failed,189,2020-05-07 08:21:16 UTC,684164690,684164691,684164692,684164693,684164694,684164695,684164696,push
