build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
760697920,f28e79e931bd71cf7620919c756fcd6419c1569d,,v0.0.8,passed,44,2021-02-27 12:46:48 UTC,760697921,push
753895878,dc6c1f3df92250563c5c207464811472ee8a4f38,193,master,passed,40,2021-01-11 06:44:22 UTC,753895879,pull_request
752134644,4f073a9d86063acbab6cc156c455ee22e81a2fbe,174,master,passed,40,2020-12-30 15:01:13 UTC,752134645,pull_request
746874311,f28e79e931bd71cf7620919c756fcd6419c1569d,,master,passed,40,2020-12-01 01:52:07 UTC,746874312,push
744625898,ca01591fff72d55e04122ebe5727c976afc09c05,192,master,passed,42,2020-11-19 10:59:32 UTC,744625899,pull_request
743772531,10ed676309ffee4f3f605775817cc8b328aae3cb,192,master,passed,41,2020-11-15 16:59:39 UTC,743772532,pull_request
743772485,c60c92d0d65cb27fc366c7d4ae27bfbcb3eb79f3,192,master,canceled,0,,743772486,pull_request
743737982,9cabae2ed13619384c257441ef6b55c9ba870a58,192,master,passed,41,2020-11-15 13:19:27 UTC,743737983,pull_request
743737362,74f1668b7bbd0df7da211480260fa2406c774441,192,master,passed,44,2020-11-15 13:13:38 UTC,743737363,pull_request
743699527,7428fd2e889b898029c3300f3ef865a89b379c3e,192,master,passed,43,2020-11-15 04:33:58 UTC,743699528,pull_request
743699187,35e5f9fa7e114dbbe72c7b779813baa1e6cc4332,192,master,errored,28,2020-11-15 04:28:55 UTC,743699188,pull_request
743233346,f5d0b5847da50bb2b02b90cf63a10400f4ef071d,192,master,passed,42,2020-11-12 18:35:10 UTC,743233347,pull_request
742077792,f1c5f0d0b942f8004110c429b4104a7e924fdcd3,,master,passed,43,2020-11-07 14:39:15 UTC,742077793,push
741496586,ffb22a4c91e71f9c909be1b5dca38fe045796b1a,190,master,passed,42,2020-11-04 22:37:19 UTC,741496587,pull_request
741496420,a35d1a6c78f527581a7e636da93085fa458297a1,,more/jenkins-vars,passed,42,2020-11-04 22:37:16 UTC,741496421,push
741494544,c9edce93af1db48ee9663707b69b3f17ea34a93e,,master,passed,43,2020-11-04 22:04:30 UTC,741494545,push
741493964,5d1b395c7f08e0def76a6c30426c6cc32f7d9433,189,master,errored,26,2020-11-04 22:01:10 UTC,741493965,pull_request
741493955,1e0c9fb3138d476bed7c93cd4ab162bf65303b56,,fix/parallel-tests,errored,29,2020-11-04 22:01:04 UTC,741493956,push
741493006,10283f242cb34b9f8cbf58bb394d304f07bfde2b,189,master,canceled,0,,741493007,pull_request
741492995,54bdcdf47b9e1c9df0037989ee953baf086b7638,,fix/parallel-tests,canceled,0,,741492997,push
741492022,02dc680a99a76c2b117aa0113fb1a18476048c29,189,master,canceled,0,,741492023,pull_request
741492008,515475f419296f157e96d65fb391fabbfe5163bb,,fix/parallel-tests,canceled,0,,741492009,push
741490618,50ffb11009ecd3e451bf5e2088c1b917be9f076e,,master,canceled,0,,741490619,push
741490314,ee9f88a99addfda4d201c762effd612c79b31c68,189,master,canceled,0,,741490315,pull_request
741490312,20b42c0535529df88400f16c10c064554873f447,,fix/parallel-tests,canceled,0,,741490313,push
741488922,d015dcd60e5d9fd204dfa821e47f1f1beaa9c277,189,master,canceled,0,,741488923,pull_request
741488912,6202172bb337ab7b6f17baf639d1d8c6aaf44393,,fix/parallel-tests,canceled,0,,741488913,push
741342234,6e3a67b09bd51ee3e7ed2c184e4cfe84e4ded9d8,189,master,passed,42,2020-11-04 09:26:09 UTC,741342235,pull_request
741342223,e9f79a46710766cb519e41d7f3574af0bd2d814b,,fix/parallel-tests,passed,41,2020-11-04 09:26:29 UTC,741342224,push
741223046,e3cff6b1ab8ddebfc69fe435ba800e0af22fdd25,189,master,failed,34,2020-11-03 21:52:00 UTC,741223047,pull_request
741222726,3641ca1d11cbb380f0062fc233f7dc8893a91f04,,fix/parallel-tests,failed,33,2020-11-03 21:52:01 UTC,741222727,push
741217384,0bf055057bc602eabf439fadd501087891ed7dce,188,master,passed,47,2020-11-03 21:47:21 UTC,741217385,pull_request
741217370,bfda67bb5af88f08165766fbfc5aef37009a77ac,,fix/git-fetch-and-env,passed,319,2020-11-03 20:04:25 UTC,741217371,741217372,741217373,741217374,741217375,741217376,741217377,push
741215872,c07d3f3423f32778de32f18b640676e9896e77b2,188,master,canceled,0,,741215873,pull_request
741215835,9cf77b17a2251ec07b38dd2ff6a7eb9ad7ecb028,,fix/git-fetch-and-env,canceled,0,,741215836,741215837,741215838,741215839,741215840,741215841,741215842,push
741215151,8e24735084d6110246eebcac87f8baaa400f70b4,,fix/git-fetch-and-env,canceled,0,,741215152,741215153,741215154,741215155,741215156,741215157,741215158,push
741213183,28a623e7269a716dbdbae2a73b483795143a23ec,,master,passed,46,2020-11-03 19:47:42 UTC,741213184,push
741120002,540b5255747e0e5dc0d18c3559fabccabb6d130e,,master,passed,312,2020-11-03 12:45:30 UTC,741120003,741120004,741120005,741120006,741120007,741120008,741120009,push
741086240,538a9c0fe19fe228a29d290f311a3c2ea9341607,184,master,passed,316,2020-11-03 09:57:01 UTC,741086241,741086242,741086243,741086244,741086245,741086246,741086247,pull_request
741086232,22573688c84ff0267e670e2ee81554f84c49cf9d,,docs-teamcity,passed,318,2020-11-03 09:36:43 UTC,741086233,741086234,741086235,741086236,741086237,741086238,741086239,push
741070380,7c76dce48fdffd437f162b2b6c02f673fe6963d4,187,master,passed,317,2020-11-03 08:15:52 UTC,741070381,741070382,741070383,741070384,741070385,741070390,741070392,pull_request
741070000,9ac8430079e092b33d3dd2eb9c22c16b8fc430ae,,docs/env-variables,passed,317,2020-11-03 08:02:49 UTC,741070001,741070002,741070003,741070004,741070005,741070006,741070007,push
741064131,89cc3046655753d51c8f8f76352942e2cbec36d3,186,master,passed,46,2020-11-03 07:23:55 UTC,741064132,pull_request
741064038,2521a5c006692c197d2848089705e1793ee0234f,,ci/reduce-travis-build-time,passed,44,2020-11-03 07:23:36 UTC,741064039,push
740974388,42234b8d3e2c7d63d1c466f00c5f52b7775232af,184,master,passed,319,2020-11-03 00:01:42 UTC,740974389,740974390,740974391,740974392,740974393,740974394,740974395,pull_request
740974377,12b859db64d34442f513c9388126bfb620c267ea,,docs-teamcity,passed,316,2020-11-02 22:18:53 UTC,740974378,740974379,740974380,740974381,740974382,740974383,740974384,push
740829532,d977028551eae1de5e041fcd298693530bbe596b,185,master,errored,1914,2020-11-02 23:12:31 UTC,740829533,740829534,740829535,740829536,740829537,740829538,740829539,740829540,740829541,740829542,740829543,740829544,740829545,740829546,740829547,740829548,740829549,740829550,740829551,740829552,740829553,740829554,740829555,740829556,740829557,740829558,740829559,pull_request
740829463,bf8f20dbf6e2748658ecefc7f706cdf1c30389a4,,test-matrix,passed,1878,2020-11-02 13:51:25 UTC,740829464,740829465,740829466,740829467,740829468,740829469,740829470,740829471,740829472,740829473,740829474,740829475,740829476,740829477,740829478,740829479,740829480,740829481,740829482,740829483,740829484,740829485,740829486,740829487,740829488,740829489,740829490,push
740825343,8817bc86b9de8e7ea11505c38e09ed6bffc83402,184,master,passed,324,2020-11-02 13:10:15 UTC,740825344,740825346,740825348,740825350,740825351,740825352,740825353,pull_request
740825319,88d07ead84b9226792f3c4c8157c5e1a568ac636,,docs-teamcity,passed,312,2020-11-02 12:37:01 UTC,740825320,740825321,740825322,740825323,740825324,740825325,740825326,push
740814530,bd79fa527cd18070667d0958b4f5b95b001f0ea3,184,master,passed,321,2020-11-02 11:56:02 UTC,740814531,740814532,740814533,740814534,740814535,740814536,740814537,pull_request
740814407,13830755dcb3b41c2760c887d3f47d730f75feaa,,docs-teamcity,passed,317,2020-11-02 11:38:20 UTC,740814408,740814409,740814410,740814411,740814412,740814413,740814414,push
740666339,51bf80db2bc731b5de5a7d7d944290fb53428abc,,master,passed,317,2020-11-01 19:36:54 UTC,740666340,740666341,740666342,740666343,740666344,740666345,740666346,push
