build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
372002354,885677b6b5db341d3ccee0249431f3e6c6fb19d3,,docker,passed,2705,2018-04-27 12:10:11 UTC,372002355,372002356,372002357,372002358,372002359,push
371975315,6eaf2001673e26babfc113c18ebb3c8978373e6e,,master,passed,2644,2018-04-27 10:58:08 UTC,371975316,371975317,371975318,371975319,371975320,push
371963314,156c2ba7632763b2f2152907748f7c9f04a3af87,417,master,errored,2489,2018-04-27 10:33:41 UTC,371963315,371963316,371963317,371963318,371963319,pull_request
371962970,e4c88ed51467f49c97c62b56722d53c1e84dd1ad,,fix_link,passed,2695,2018-04-27 10:21:11 UTC,371962971,371962972,371962973,371962974,371962975,push
371952950,81d33351eeba01079bf268cdba5c58c2622fcfda,301,master,passed,2308,2018-04-27 09:51:54 UTC,371952951,371952952,371952953,371952954,371952955,pull_request
371952921,b3819525e625a3deec0bbda86d636f42cee4b2de,,simpler_generator,passed,1422,2018-04-27 09:51:36 UTC,371952922,371952923,371952924,371952925,371952926,push
371941722,cab84a59011f98a41ea94f94668932186ffb1258,400,master,passed,2810,2018-04-27 09:24:15 UTC,371941723,371941724,371941725,371941726,371941727,pull_request
371941697,2a9f62058c5e32feba44d467dfe8112063cdd374,,remote-core,canceled,1767,2018-04-27 09:34:52 UTC,371941698,371941699,371941700,371941706,371941707,push
371939492,5cfd315f12826ad0fd5a352cfddc491748d44836,,remote-core,passed,2888,2018-04-27 09:14:23 UTC,371939493,371939494,371939495,371939496,371939497,push
371929958,06065670215afc95fe432bcdb8228a7438924eb1,,master,passed,2723,2018-04-27 08:47:38 UTC,371929959,371929960,371929961,371929962,371929963,push
371928057,3288a71c707fc2e3ac2ce40e2e3310e4c02667e6,410,master,errored,1413,2018-04-27 08:39:46 UTC,371928058,371928059,371928060,371928061,371928062,pull_request
371928047,65515b335d415977f544b5701cb73185bb8d5484,,form_fill,failed,1615,2018-04-27 08:39:43 UTC,371928048,371928049,371928050,371928051,371928052,push
371911823,cd4e1a7581cdd8ddc4d8e6018968587296326ad1,301,master,failed,2850,2018-04-27 07:56:26 UTC,371911824,371911825,371911826,371911827,371911828,pull_request
371911815,b5da44c27e180d44434f317e418e84b28879d9b8,,simpler_generator,failed,2834,2018-04-27 07:50:05 UTC,371911816,371911817,371911818,371911819,371911820,push
371908133,397912d339368b374537f3d4f2e80eb0462cfa30,301,master,failed,2857,2018-04-27 07:35:54 UTC,371908134,371908135,371908136,371908137,371908138,pull_request
371908127,5a41ed89065b0010d2d58f56080a5ee8121b89b5,,simpler_generator,failed,2580,2018-04-27 07:35:58 UTC,371908128,371908129,371908130,371908131,371908132,push
371700682,f76a657cc2cfd03412da0d2cbf3ca04ad21e6178,301,master,passed,4335,2018-04-26 18:37:25 UTC,371700683,371700684,371700685,371700686,371700687,pull_request
371700661,11d99c11e65ee6a3b84ee9244206ee00bcb701c0,,simpler_generator,passed,2993,2018-04-26 18:37:11 UTC,371700662,371700663,371700664,371700665,371700666,push
371651722,a36ba6133d5ef9f0670557d5d2a94d4f8b4cda02,301,master,passed,4089,2018-04-26 16:35:51 UTC,371651723,371651724,371651725,371651726,371651727,pull_request
371651680,539f52e55904fedba5d7509035fd4fab048c14b1,,simpler_generator,passed,3055,2018-04-26 16:35:43 UTC,371651681,371651682,371651683,371651684,371651685,push
371620928,28790973d72624e65ec4f70db85633ae67679e54,301,master,passed,3801,2018-04-26 15:43:53 UTC,371620929,371620930,371620931,371620932,371620933,pull_request
371620842,11b700a4c99a80f77b41c3777fb68e225c3ec0a7,,simpler_generator,passed,2914,2018-04-26 15:38:03 UTC,371620843,371620844,371620845,371620846,371620848,push
371618858,62d5fa6897378c1ba3ccb1fe348b2a0eac534e80,301,master,canceled,0,,371618859,371618860,371618861,371618862,371618863,pull_request
371618832,fdbca8b12a9c08ec33916acfa4597732d12c7556,,simpler_generator,canceled,0,,371618833,371618834,371618835,371618836,371618837,push
