build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
760458961,0eb17a6ffb99b76f5bf9a430081ed87ec4151ff1,1428,master,errored,2573,2021-02-25 15:26:07 UTC,760458962,760458963,760458964,760458965,760458966,760458967,760458968,760458969,760458970,760458971,760458972,760458973,760458974,760458975,760458976,760458977,760458978,760458979,760458980,760458981,760458982,760458983,760458984,760458985,760458986,760458987,760458988,760458989,760458990,760458991,760458992,pull_request
757470671,d8e08413461317c573056462fad544c8d5618cf4,1427,master,errored,3030,2021-02-04 00:16:00 UTC,757470672,757470673,757470674,757470675,757470676,757470677,757470678,757470679,757470680,757470681,757470682,757470683,757470684,757470685,757470686,757470687,757470688,757470689,757470690,757470691,757470692,757470693,757470694,757470695,757470696,757470697,757470698,757470699,757470700,757470701,757470702,pull_request
756197441,7b3e100f42f2d7738c3af7bf1909777568270b67,,master,errored,3004,2021-01-26 05:00:28 UTC,756197442,756197443,756197444,756197445,756197446,756197447,756197448,756197449,756197450,756197451,756197452,756197453,756197454,756197455,756197456,756197457,756197458,756197459,756197460,756197461,756197462,756197463,756197464,756197465,756197466,756197467,756197468,756197469,756197470,756197471,756197472,push
750791120,01a21652276d511b14612dfab8879130e2bea716,1425,master,errored,2747,2020-12-21 06:19:09 UTC,750791121,750791122,750791123,750791124,750791125,750791126,750791127,750791128,750791130,750791131,750791133,750791134,750791135,750791136,750791137,750791138,750791139,750791140,750791141,750791142,750791143,750791144,750791145,750791146,750791147,750791148,750791149,750791150,750791151,750791152,750791153,pull_request
747302975,01ab3d9589267f68d3530668232934747c8f1758,1409,master,passed,4721,2020-12-03 00:08:05 UTC,747302976,747302977,747302978,747302979,747302980,747302981,747302982,747302983,747302984,747302985,747302986,747302987,747302988,747302989,747302990,747302991,747302992,747302993,747302994,747302995,747302996,747302997,747302998,747302999,747303000,747303001,747303002,747303003,747303004,747303005,747303006,pull_request
741389128,f24924f395410fde0a47cda91c24d8ac91001222,1419,master,failed,3272,2020-11-04 14:12:46 UTC,741389129,741389130,741389131,741389132,741389133,741389134,741389135,741389136,741389137,741389138,741389139,741389140,741389141,741389142,741389143,741389144,741389145,741389146,741389147,741389148,741389149,741389150,741389151,741389152,741389153,741389154,741389155,741389156,741389157,741389158,741389159,pull_request
735909040,209422236169e21dcebece5db653661d11a589e9,1417,master,passed,3757,2020-10-15 01:55:14 UTC,735909041,735909042,735909043,735909044,735909045,735909046,735909047,735909048,735909049,735909050,735909051,735909052,735909053,735909054,735909055,735909056,735909057,735909058,735909059,735909060,735909061,735909062,735909063,735909064,735909065,735909066,735909067,735909068,735909069,735909070,735909071,pull_request
727810631,0d787b9ee55fd6b0a90bfd7baaaaea715116f719,1412,master,passed,3909,2020-09-16 19:27:28 UTC,727810632,727810633,727810634,727810635,727810636,727810637,727810638,727810639,727810640,727810641,727810642,727810643,727810644,727810645,727810646,727810647,727810648,727810649,727810650,727810651,727810652,727810653,727810654,727810655,727810656,727810657,727810658,727810659,727810660,727810661,727810662,pull_request
727571549,9cbce83c173b5fa5ff1dd1dd3e8e676ce60770e4,1412,master,errored,2420,2020-09-16 02:38:10 UTC,727571550,727571551,727571552,727571553,727571554,727571555,727571556,727571557,727571558,727571559,727571560,727571561,727571562,727571563,727571564,727571565,727571566,727571567,727571568,727571569,727571570,727571571,727571572,727571573,727571574,727571575,727571576,727571577,727571578,727571579,727571580,pull_request
727511164,a77f5ed427a248cd480ada8a5c069599eecfde7b,1411,master,errored,1436,2020-09-15 21:21:08 UTC,727511165,727511166,727511167,727511168,727511169,727511170,727511171,727511172,727511173,727511174,727511175,727511176,727511177,727511178,727511179,727511180,727511181,727511182,727511183,727511184,727511185,727511186,727511187,727511188,727511189,727511190,727511191,727511192,727511193,727511194,727511195,pull_request
725713380,07474595671ca9f6342d17b2cfc194f7dfe4ba4f,1409,master,passed,3860,2020-09-09 20:22:19 UTC,725713381,725713382,725713383,725713384,725713385,725713386,725713387,725713388,725713389,725713390,725713391,725713392,725713393,725713394,725713395,725713396,725713397,725713398,725713399,725713400,725713401,725713402,725713403,725713404,725713405,725713406,725713407,725713408,725713409,725713410,725713411,pull_request
724539034,a8bfe1fdf3ffa68a2880d943324a074da5364a02,1408,master,errored,2687,2020-09-05 21:19:34 UTC,724539035,724539036,724539037,724539038,724539039,724539040,724539041,724539042,724539043,724539044,724539045,724539046,724539047,724539048,724539049,724539050,724539051,724539052,724539053,724539054,724539055,724539056,724539057,724539058,724539059,724539060,724539061,724539062,724539063,724539064,724539065,pull_request
723231899,fadfcd3763d7fb394f063b84fb64faebf774bb23,1343,master,passed,3885,2020-09-01 20:56:12 UTC,723231900,723231901,723231902,723231903,723231904,723231905,723231906,723231907,723231908,723231909,723231910,723231911,723231912,723231913,723231914,723231915,723231916,723231917,723231918,723231919,723231920,723231921,723231922,723231923,723231924,723231925,723231926,723231927,723231928,723231929,723231930,pull_request
