build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
592103757,d155ddf341e40a8c26fe81977091db076028e026,4160,master,passed,455,2019-10-01 21:42:58 UTC,592103758,592103759,592103760,592103761,592103762,592103763,pull_request
592102568,86ea74abc5356e843120d17a8644c3b8f415d4e7,4160,master,canceled,0,,592102569,592102570,592102571,592102572,592102573,592102574,pull_request
504757785,6874abc05a840056fc63c0d3febe9b370445f30b,1936,master,failed,57,2019-03-11 18:03:24 UTC,504757786,pull_request
504753882,01d76f1b0af595bce2fa0c7b853c1ad0900aa8be,2256,master,failed,54,2019-03-14 08:22:52 UTC,504753883,pull_request
504749532,df7f76acad416bc08f6ea765d03469cb5b84e023,2562,master,failed,52,2019-03-11 18:03:12 UTC,504749533,pull_request
458385150,146ea29f285bc89fbd88dd7affbe8ee0baa03293,1854,master,passed,485,2018-11-22 12:27:46 UTC,458385151,458385152,pull_request
437682390,78342ceaebd49ce3185351f7a54800e9f1495bab,1597,master,passed,2785,2018-10-05 16:54:19 UTC,437682391,437682392,pull_request
437681057,14158e5c03817eba1805bb731f7e4dce118c5b2e,1594,master,passed,2647,2018-10-05 16:52:56 UTC,437681058,437681059,pull_request
437679888,aa7136739b1205fa06f2a3ccc12a9150f4eac38d,1594,master,canceled,0,,437679891,437679892,pull_request
437679273,a97707c235e24de08ebceb8146a3f575e479f577,1598,master,passed,2525,2018-10-05 16:52:15 UTC,437679276,437679278,pull_request
437673628,70aeb52e4db73046afaccdc88dc759a168c2ac4d,1594,master,canceled,0,,437673629,437673630,pull_request
437670938,6606856af9b19538583b91f182284eef241a62b9,1598,master,canceled,0,,437670940,437670942,pull_request
437665892,d021dff950d8693d98b0529fa52ed1b2d0f18eb8,1598,master,canceled,0,,437665893,437665894,pull_request
437662431,9e5cff05600f1ee9b6547ad1db471d7ce0e023e0,1598,master,canceled,0,,437662432,437662433,pull_request
437656006,ad9fb06a3ea5c5dd266785fc344a2b4f8a09b5f8,1597,master,canceled,0,,437656007,437656008,pull_request
437652244,016924b62f66d2fa33b45d40b1ebaca1bdd2fa72,1596,master,failed,2676,2018-10-05 16:24:10 UTC,437652245,437652246,pull_request
437647802,f5df6f4a61472ec627f83916fbed8f53e8eef9ba,,master,passed,2507,2018-10-05 16:21:51 UTC,437647803,437647805,push
437637115,879a2a8c38408501aef13bfe8dc2c4b3972e4b53,,master,canceled,0,,437637116,437637117,push
437634307,627482a5accc7fb58221f8e9890933a69164a08d,1590,master,passed,2589,2018-10-05 15:04:22 UTC,437634308,437634309,pull_request
437625229,561e1b4fe78bc63eaf3d31393f448187d8d47835,1590,master,canceled,0,,437625230,437625231,pull_request
437620237,a4a6f7dac2364fc4215a9b0b12d54fccac623903,,master,canceled,0,,437620241,437620245,push
437605459,7605100647a82c80de9a40c61c27a198dfea3d4f,1594,master,failed,565,2018-10-05 12:58:13 UTC,437605460,437605461,pull_request
437601268,ca7bbf0c0008e027ca84559ffa591aa346974b5c,1585,master,errored,634,2018-10-05 12:33:27 UTC,437601269,437601270,pull_request
437517573,68f173d21682a2ae00a0373dda63cb9d54f64ca7,1593,master,passed,2670,2018-10-05 09:01:27 UTC,437517574,437517575,pull_request
437490821,022ccbd5261da2b31c4b80887e57b4d426c42836,1593,master,passed,2531,2018-10-05 07:41:42 UTC,437490822,437490823,pull_request
437349887,78878f8529e983742b81ebb892747fdc562e614d,1537,master,passed,2773,2018-10-04 22:22:30 UTC,437349901,437349912,pull_request
437343145,0514ddd8d688690e42d9879fb23918a1dbc2eb04,1592,master,failed,1304,2018-10-04 22:13:02 UTC,437343146,437343147,pull_request
437336592,82213bb06d40eba396a54a4fb053cb2ec1f61768,1592,master,canceled,0,,437336593,437336594,pull_request
437327755,5c466f02e1526f09ac90993a05a7087a0c475122,1592,master,canceled,0,,437327758,437327759,pull_request
437326843,c4b178c043ce0dcab7440b77ff4ff582d5ff915d,1590,master,failed,1279,2018-10-04 22:03:02 UTC,437326844,437326845,pull_request
437324240,d6e2f508f44d6ba9e9d879e3982fb12c9a3754a5,1518,master,passed,2547,2018-10-04 23:15:13 UTC,437324241,437324242,pull_request
437321250,094b8b73505cb084d632ebb08e2a014e68f5e1b1,,master,passed,2677,2018-10-04 21:54:29 UTC,437321251,437321252,push
437303506,05c98ad0caaa9eaac40c979ba5657c4fa8513a52,1590,master,canceled,0,,437303507,437303508,pull_request
437301004,391393911269db64e616d2716e325b174fc2621f,1518,master,canceled,0,,437301005,437301006,pull_request
437300853,06a959f74ab4f23d5a789d03de4b2b73a3d53dc6,,master,canceled,0,,437300854,437300855,push
437287780,5e50f6a4fc72656535102f0b68e98befe45adb3b,1518,master,canceled,0,,437287788,437287789,pull_request
437248623,26d90c1044c11c82a3063eaac1201f77ed208337,1518,master,passed,2511,2018-10-04 17:34:55 UTC,437248624,437248625,pull_request
437232189,3c31e176c7dfce3c86a45ff4750f740a5f8f9321,,master,failed,1135,2018-10-04 16:55:25 UTC,437232191,437232192,push
437226844,86f0955e7c8ac340134fefbfa35ee16dfdcc2c74,1518,master,passed,2475,2018-10-04 16:42:58 UTC,437226845,437226846,pull_request
437219446,7213ac81b0387854e4af9f8dcbb55fbe859ec6de,,master,passed,2369,2018-10-04 16:32:16 UTC,437219447,437219448,push
437219173,30705c4b159b96090688977938f822c38541da22,1591,master,errored,40,2018-10-04 16:31:05 UTC,437219174,437219175,pull_request
437218504,20b3378306fe28bcf7a8ad79959c353b9ae36681,1590,master,passed,2565,2018-10-04 16:29:23 UTC,437218506,437218509,pull_request
437213354,74e295454caa49f36e4926728b776108ab305b70,1590,master,canceled,0,,437213355,437213356,pull_request
437201986,352c3ac6dbadf0b9eb5a9339fc192abed67ad5b8,1518,master,failed,1159,2018-10-04 16:06:52 UTC,437201987,437201988,pull_request
437199001,354bc5fd3d8ed6564f891035d0602adcd1180a02,1518,master,passed,2536,2018-10-04 15:39:14 UTC,437199002,437199003,pull_request
437197387,b8924b74ee1ec648d71399988d5fc86d58211266,1518,master,passed,2595,2018-10-04 15:36:29 UTC,437197388,437197389,pull_request
437196123,d87f1db6c96fe95358aae62bca4d20caad7b7948,1518,master,passed,2456,2018-10-04 15:33:58 UTC,437196124,437196125,pull_request
437194657,34e2119a5070d19c78ba757cec3047d20155ced8,1518,master,passed,2480,2018-10-04 15:30:43 UTC,437194658,437194659,pull_request
437190005,6bc41961550bc97942e537ce32919c8c0e40d405,1518,master,passed,2610,2018-10-04 15:21:41 UTC,437190006,437190007,pull_request
437174282,d5e35981d3eff517a9c4dcb2b5b236c77c27b6bd,1573,master,passed,2379,2018-10-04 14:49:27 UTC,437174283,437174284,pull_request
437141302,4ca49c6facf3718245e433880967e2cd7c6c353d,1518,master,passed,2344,2018-10-04 13:42:09 UTC,437141305,437141306,pull_request
437105457,c54917e84fa07efe9fe0b1fe9364728b6a8a7987,1585,master,passed,2389,2018-10-04 12:20:41 UTC,437105458,437105459,pull_request
436865429,a6041a10c81d930a6a056a827e8c194f10849510,1518,master,passed,2791,2018-10-03 21:52:09 UTC,436865430,436865431,pull_request
436846449,0018f0e199d46f1cea381ab39bbd2606aefef0f7,1518,master,failed,1089,2018-10-03 21:01:10 UTC,436846451,436846452,pull_request
436841365,723616d5e1619267361c0fe8993f2a46a041c77b,1518,master,passed,2571,2018-10-03 20:49:58 UTC,436841369,436841372,pull_request
436824768,471cd11837ff1194e758387ef49e4c9b3947676a,1518,master,failed,1105,2018-10-03 20:18:46 UTC,436824769,436824770,pull_request
436819777,39ffd386da5ecda596cda562fe281dd97de30780,1518,master,canceled,0,,436819778,436819779,pull_request
436816458,f74445b3a841318ae8795ae8a7095f6a2f311925,1518,master,canceled,0,,436816459,436816460,pull_request
436812232,6ed07e217e8186cb0689e0f4695b42785acd46a6,469,master,passed,2711,2018-10-03 20:18:50 UTC,436812233,436812234,pull_request
436811511,b119f173f8b0ad6f4d95cc56b18199b2c8e2bf8f,1570,master,passed,2595,2018-10-03 19:51:08 UTC,436811512,436811514,pull_request
436811316,a0f5a569d2567d2d86257e23dfe94b8dcfd7db1b,1518,master,passed,2843,2018-10-03 19:40:12 UTC,436811317,436811318,pull_request
436809651,48e51780ef6e12e185981dee31d8ca1f7e4a6e89,1518,master,passed,2443,2018-10-03 19:36:26 UTC,436809652,436809653,pull_request
436809424,943d04798bc5037e902bee00bd40bee590d5ee04,1587,master,passed,2508,2018-10-03 19:35:47 UTC,436809425,436809426,pull_request
436809265,9e0d5e6b4960d1f0125bacc9476c53ec09b802e3,1572,master,failed,2635,2018-10-03 19:35:29 UTC,436809266,436809267,pull_request
436797730,6f97015fdc20d069ef0e2bfbba5e032dd582e53d,1572,master,failed,449,2018-10-03 19:09:33 UTC,436797731,436797732,pull_request
436782007,d544915a528510c0a2adeb37705575b478aa0419,1518,master,passed,2688,2018-10-03 18:37:46 UTC,436782008,436782009,pull_request
436781229,3750b35ae2a22e7f7bc0070c5c2dadf1ef437074,,master,failed,2773,2018-10-03 18:35:56 UTC,436781230,436781231,push
436758209,9ccf2c4ae7d27210e29b00a7be7242a2ec1514c7,1578,master,passed,2337,2018-10-03 17:46:39 UTC,436758210,436758211,pull_request
433137491,dc0ee0ad954ae1ef4e307171fc268ca2489d0afe,1492,master,passed,157,2018-09-25 20:19:03 UTC,433137492,pull_request
433134654,8f6d5f5bc4e3c8f26f053d46a88a202616f30ffd,1492,master,canceled,0,,433134655,pull_request
433126961,fcfc72355739436d85478dc25eb7aec893542870,1492,master,passed,165,2018-09-25 19:53:02 UTC,433126962,pull_request
433105239,25fc690475d515e069c109d84d59ed676276d747,1492,master,errored,120,2018-09-25 19:14:15 UTC,433105240,pull_request
433099758,6cb91113c97c83445aa26fc21fa68dfccc855670,1492,master,passed,151,2018-09-25 18:49:47 UTC,433099759,pull_request
433098670,9c853644a04c7554a4518b0c1e9da13fcfc7eeee,1492,master,canceled,0,,433098671,pull_request
433015943,f1bf4820b964d6cc6037720a590d59257cee2257,1492,master,passed,169,2018-09-25 15:42:02 UTC,433015944,pull_request
432939003,96f0ddfb491cd4fc7d923bd7ff9f7647d192ae94,1492,master,passed,162,2018-09-25 13:08:38 UTC,432939004,pull_request
432596526,286389328def8b6057a7e50539fa6b9b3db7d8a7,1492,master,passed,176,2018-09-24 18:05:22 UTC,432596527,pull_request
432543958,37525448fc9fd8bb6f7970bad70c456e97f808fb,1532,master,passed,166,2018-09-24 16:05:17 UTC,432543959,pull_request
431594439,2d496f43931bf049cfe50a9b7c31a91554ac7b14,1518,master,passed,167,2018-09-21 17:14:52 UTC,431594440,pull_request
