build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
513120211,4d9e55d9325a178f8095f2290baf7982a63497c7,142,master,passed,722,2019-03-29 16:53:25 UTC,513120212,513120213,513120214,513120215,513120216,513120217,513120218,513120219,pull_request
513120161,fb289bf0413e02a1a153acb9cc53c71997e3cf71,,azure-pipelines,passed,694,2019-03-29 16:53:25 UTC,513120162,513120163,513120164,513120165,513120166,513120167,513120168,513120169,push
513104140,e6f4925858fed22840f6dfb3baee8128598f2778,142,master,passed,825,2019-03-29 16:20:02 UTC,513104141,513104142,513104143,513104144,513104145,513104146,513104147,513104148,pull_request
513104108,9e840df9990a1a1651987b600c0372626736ea26,,azure-pipelines,passed,700,2019-03-29 16:20:03 UTC,513104109,513104110,513104111,513104112,513104113,513104114,513104115,513104116,push
513098333,96fb4f6b25a33db5ec9c31f66ad93a285b08e202,142,master,passed,729,2019-03-29 16:08:08 UTC,513098334,513098335,513098336,513098337,513098338,513098339,513098340,513098341,pull_request
513098300,a205a35f5e1aa11fdb3c82e54c814c86910a5327,,azure-pipelines,errored,250,2019-03-29 16:08:06 UTC,513098301,513098302,513098303,513098305,513098307,513098308,513098309,513098310,push
513094318,db126a3233495b4095a6091f493e962b0dccb211,142,master,passed,751,2019-03-29 16:00:11 UTC,513094319,513094320,513094321,513094322,513094323,513094324,513094325,513094326,pull_request
513094207,29f109bf191d5571f3f06e2cc24cc33f9521ffde,,azure-pipelines,errored,168,2019-03-29 16:00:07 UTC,513094208,513094209,513094210,513094211,513094212,513094213,513094214,513094215,push
513042604,4312876f5da3f72f0e734e7b70787847a67be04b,142,master,passed,736,2019-03-29 14:17:38 UTC,513042605,513042606,513042607,513042608,513042609,513042610,513042611,513042612,pull_request
513042543,a2235c4cf84d07c25635439e0cf3a0b49a3e7ee3,,azure-pipelines,passed,730,2019-03-29 14:17:27 UTC,513042544,513042545,513042546,513042547,513042548,513042549,513042550,513042551,push
513021637,a0808433eec09b8f5d97b306135e33c8d07d5dfc,142,master,passed,704,2019-03-29 13:34:48 UTC,513021638,513021639,513021640,513021641,513021642,513021643,513021644,513021645,pull_request
513021624,6acb3fae307e6c2a72035d5488edbdefa39494b6,,azure-pipelines,passed,712,2019-03-29 13:34:11 UTC,513021625,513021626,513021627,513021628,513021629,513021630,513021631,513021632,push
512761691,7b4381a276ea9831d140af4442bb3bb5fd0ba581,,master,passed,690,2019-03-28 23:28:28 UTC,512761719,512761736,512761737,512761740,512761741,512761742,512761743,512761744,push
512695728,f43405cba6d61a9b1ee5d3b398d55f3abab9510b,138,master,passed,704,2019-03-28 20:47:47 UTC,512695729,512695730,512695731,512695732,512695733,512695734,512695735,512695736,pull_request
512695678,ec2bc3507ef0d8b3a6b550f12e9016fa9f99c7ba,,includes_examples,passed,705,2019-03-28 20:47:37 UTC,512695679,512695680,512695681,512695682,512695683,512695684,512695685,512695686,push
512584818,d08284fa050d71647db55c56f6c9a218494f90bb,,azure-pipelines,passed,693,2019-03-28 17:21:06 UTC,512584819,512584820,512584821,512584822,512584823,512584824,512584825,512584826,push
512524635,1023599415238f8ebaae4e756463b2f61e15a102,138,master,failed,117,2019-03-28 15:54:07 UTC,512524636,512524637,512524638,512524639,512524640,512524641,512524643,512524645,pull_request
512524610,d80f0e78314532ad831727b64f8b7f3ab6e57cee,,includes_examples,failed,116,2019-03-28 14:51:06 UTC,512524611,512524612,512524613,512524614,512524615,512524616,512524617,512524618,push
512502266,79b289fe7a6f9f3e760a7cac5dac5e908ab3a2c6,138,master,failed,141,2019-03-28 13:16:09 UTC,512502267,512502268,512502269,512502270,512502271,512502272,512502273,512502274,pull_request
512502227,26e34db3fa53e392e7c6ea71af5de6f21e75c1ef,,includes_examples,canceled,176,,512502231,512502232,512502233,512502234,512502235,512502236,512502237,512502238,push
512436900,202592ce6ceb967abc8eb7569e284b310ecf5613,138,master,failed,511,2019-03-28 12:04:31 UTC,512436901,512436902,512436903,512436904,512436905,512436906,512436907,512436908,pull_request
512436882,5580aa163e2a99ceef99e4c46af5c173b1c454b8,,includes_examples,failed,502,2019-03-28 11:43:11 UTC,512436883,512436884,512436885,512436886,512436887,512436888,512436889,512436890,push
512230966,5881684f6dd01319dbf66ccce553eb69b0ed5ee6,139,master,passed,731,2019-03-28 00:45:53 UTC,512230967,512230968,512230969,512230970,512230971,512230972,512230973,512230974,pull_request
512230376,8995bac574e68a57f71c01778c85b9c60c1d39f2,,dynaconf_merge,passed,671,2019-03-27 23:56:20 UTC,512230377,512230378,512230379,512230380,512230381,512230382,512230383,512230384,push
512072562,a66097daa2d3104e8081d20009957cf43a00ac1f,138,master,failed,593,2019-03-28 00:51:05 UTC,512072563,512072564,512072565,512072566,512072567,512072568,512072569,512072570,pull_request
512071819,34259d6477916dbf8183c0bb79222312846aaa99,,includes_examples,failed,471,2019-03-27 23:09:44 UTC,512071820,512071821,512071822,512071823,512071825,512071827,512071828,512071829,push
512048836,d08284fa050d71647db55c56f6c9a218494f90bb,,master,passed,666,2019-03-27 19:36:00 UTC,512048837,512048838,512048840,512048842,512048843,512048844,512048848,512048851,push
512037502,90c88fc455f9c559b8f8b6db5f772efbb4bf6639,137,master,errored,172,2019-03-27 14:44:32 UTC,512037503,512037504,512037505,512037506,512037507,512037508,512037509,512037510,pull_request
512037445,cfef46cd7a50b1e9f49e663628bade76ddc6632a,,fix110,failed,439,2019-03-27 16:20:49 UTC,512037446,512037447,512037448,512037449,512037450,512037451,512037452,512037453,push
511967700,232b61b608a1557408dd52a0550f326a9ab97384,135,master,passed,705,2019-03-27 11:12:24 UTC,511967701,511967702,511967703,511967704,511967705,511967706,511967707,511967708,pull_request
511967677,c67e5f4ab418bbd4ff48378aed7037ffae8695c2,,merge_cast,passed,707,2019-03-27 11:12:16 UTC,511967678,511967679,511967680,511967681,511967682,511967683,511967684,511967685,push
511738921,49e4b31604d203c032aeca8a84ff51542749d49a,135,master,passed,698,2019-03-26 22:18:31 UTC,511738922,511738923,511738924,511738925,511738926,511738927,511738928,511738929,pull_request
511738905,27be779c16b87d986c3f579df57af3636666452b,,merge_cast,passed,721,2019-03-26 22:17:51 UTC,511738906,511738907,511738908,511738909,511738910,511738911,511738912,511738913,push
