build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
721173967,c3b976964ac37b4b23beac41272d3db8d61f3188,138,master,passed,417,2020-08-25 23:41:41 UTC,721173968,721173969,721173970,721173971,721173972,721173973,pull_request
689337896,80e723ebf2d9e73d35ae5de31a73268eb6c46ecc,,master,passed,435,2020-05-20 17:09:51 UTC,689337897,689337898,689337899,689337900,689337901,689337902,push
689189987,d25033e3ebad39b01898a14330091f3f20e841ff,135,master,passed,444,2020-05-20 10:42:01 UTC,689189989,689189990,689189991,689189992,689189993,689189994,pull_request
658499904,4c5c279af729f06bf150e4190b6915142f2ada7e,,master,passed,541,2020-03-05 02:26:40 UTC,658499905,658499906,658499907,658499908,658499909,658499910,push
658468137,979c63702f21b27a22a3aeee7b054af0bccf89da,134,master,passed,534,2020-03-05 00:10:15 UTC,658468138,658468139,658468140,658468141,658468142,658468143,pull_request
656074271,8b74fee725affc2466469d17a78e527fd7836475,,v2.5.0,passed,531,2020-02-28 02:56:39 UTC,656074272,656074273,656074274,656074275,656074276,656074277,push
656074262,8b74fee725affc2466469d17a78e527fd7836475,,master,passed,547,2020-02-28 02:55:44 UTC,656074263,656074264,656074265,656074266,656074267,656074268,push
656072914,09aa013137ad55b1e24b8d7e924222a89cc8d435,,master,passed,546,2020-02-28 02:49:01 UTC,656072915,656072916,656072917,656072918,656072919,656072920,push
656070154,23e7165b4dc7c3c28406fd6f83517d8b56bffec9,,master,passed,536,2020-02-28 02:36:34 UTC,656070155,656070156,656070157,656070158,656070159,656070160,push
655851428,294127c69c21104090d1a46d3d89539f0f9262b4,,master,passed,550,2020-02-27 15:54:03 UTC,655851429,655851430,655851431,655851432,655851433,655851435,push
655682056,44453ccda22943b516940475f9e538fb20a781bd,,master,passed,551,2020-02-27 07:07:35 UTC,655682057,655682058,655682059,655682060,655682062,655682063,push
655679601,88eb40232b7fc95d57e73a4bf500627c36621b5d,,master,passed,532,2020-02-27 06:55:33 UTC,655679602,655679603,655679604,655679605,655679606,655679607,push
655675951,ab65990dcf0a9e6b3eb97c4de3a9afce677a9f7b,132,master,passed,534,2020-02-27 06:43:59 UTC,655675952,655675953,655675954,655675955,655675956,655675957,pull_request
655675940,ac4dbc2261704e1110752d4d3c1d191724151b55,,ensure-2.4-and-greater-support,passed,534,2020-02-27 06:43:00 UTC,655675942,655675943,655675944,655675945,655675947,655675948,push
655674259,18ddf7382bfbbc65ede00cca60113a6ac7996aaa,132,master,passed,544,2020-02-27 06:36:43 UTC,655674260,655674261,655674262,655674263,655674264,655674265,pull_request
655674247,392e141ecb923af395a6754238fe5ba00c86f5d5,,ensure-2.4-and-greater-support,passed,531,2020-02-27 06:35:46 UTC,655674248,655674249,655674250,655674251,655674252,655674253,push
655672565,ac31e79ca5418d190a77ddaa74f618b428647cd5,132,master,errored,717,2020-02-27 06:28:49 UTC,655672566,655672567,655672568,655672569,655672570,655672571,655672572,pull_request
655672554,94dfcefb363919ac9dd68fce3acdd57f1d81b49b,,ensure-2.4-and-greater-support,errored,683,2020-02-27 06:26:58 UTC,655672555,655672556,655672557,655672558,655672559,655672560,655672561,push
655666366,adf9f25e365dcedd21c9eecfdef9a1ba64226bce,132,master,errored,772,2020-02-27 05:54:09 UTC,655666367,655666368,655666369,655666370,655666371,655666372,655666373,pull_request
655666352,8ecf3e71e86d8f05013f70bb97a617bb3f463a5e,,ensure-2.4-and-greater-support,errored,729,2020-02-27 05:54:08 UTC,655666353,655666354,655666355,655666356,655666357,655666358,655666359,push
655662126,e297716ba83f21744a8179b1c4013dd62b81d698,132,master,errored,768,2020-02-27 05:32:24 UTC,655662127,655662128,655662129,655662130,655662131,655662132,655662133,pull_request
655662110,a63c855b8ffc81ebc2305761753d6a5e09cf8bc6,,ensure-2.4-and-greater-support,errored,771,2020-02-27 05:31:22 UTC,655662111,655662112,655662113,655662114,655662115,655662116,655662117,push
655657214,dd02091af53a80883a9c8d149232e538fd30897e,132,master,errored,754,2020-02-27 05:08:07 UTC,655657215,655657216,655657217,655657218,655657219,655657220,655657221,pull_request
655657182,306dbf400f0a8d63799b29bc35db94ae3f0136e4,,ensure-2.4-and-greater-support,canceled,13,2020-02-27 05:07:34 UTC,655657183,655657184,655657185,655657186,655657187,655657188,655657189,push
655656625,937c3f6b1e035f6a4e3d36df4d92bd8fd8977d0f,132,master,errored,769,2020-02-27 05:04:46 UTC,655656626,655656627,655656628,655656629,655656630,655656631,655656632,pull_request
655656543,f3e28b6b676872e754e56532ad11f70fdd3cc5d1,,ensure-2.4-and-greater-support,errored,781,2020-02-27 05:03:47 UTC,655656544,655656545,655656546,655656547,655656548,655656549,655656550,push
655647225,28a81e2ab34ab9f6f1389374c005769c2589fee1,,master,errored,498,2020-02-27 04:16:14 UTC,655647226,655647227,655647228,655647229,655647230,655647231,655647232,push
655542316,ae6ec5d59fdae9d3dffa1e4e5b7f8b0f80ca2671,131,master,errored,524,2020-02-26 21:17:04 UTC,655542317,655542318,655542319,655542320,655542321,655542322,655542323,pull_request
650210335,dd7550fc597d4c037d8fd9405943e1a3302f5ebd,130,master,errored,513,2020-02-13 23:47:26 UTC,650210336,650210337,650210338,650210339,650210340,650210341,650210342,pull_request
519043475,be10b807869a71b56f1417fabf22590e62f06ab4,125,master,errored,584,2019-04-12 01:13:46 UTC,519043476,519043477,519043478,519043479,519043480,519043481,519043482,pull_request
