build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
760823943,13d9a77aff7eede74a5f363c1d540e005d88dbcd,,master,passed,831,2021-02-28 18:05:47 UTC,760823944,760823945,760823946,760823947,760823948,760823949,760823950,760823951,760823952,push
760802731,5807a51c4260a452d7ff62514b093f90fbe64a22,848,master,passed,809,2021-02-28 15:16:03 UTC,760802732,760802733,760802734,760802735,760802736,760802737,760802738,760802739,760802740,pull_request
757295870,c9ef66e3376df09f741a1010b67e1b0f2f5d37cb,,1.2.4,passed,876,2021-02-02 23:50:00 UTC,757295871,757295872,757295873,757295874,757295875,757295876,757295877,757295878,757295879,push
757295860,c9ef66e3376df09f741a1010b67e1b0f2f5d37cb,,master,passed,842,2021-02-02 21:59:31 UTC,757295861,757295862,757295863,757295864,757295865,757295866,757295867,757295868,757295869,push
757295392,58ca66342f5566ab9642357476f31e5bc1662797,,master,canceled,0,,757295393,757295394,757295395,757295396,757295397,757295398,757295399,757295400,757295401,push
757282483,7f3b366e2a8a4dfaf7f6fda252e8b67ac9c0ae52,843,master,errored,771,2021-02-02 20:03:24 UTC,757282484,757282485,757282486,757282487,757282488,757282489,757282490,757282491,757282492,pull_request
755934927,aa4148c65144cbc3e0f109f70b9ef78847d0342c,829,master,passed,837,2021-01-24 11:53:43 UTC,755934929,755934930,755934932,755934933,755934934,755934935,755934936,755934937,755934938,pull_request
755934900,ecdc57b4b832af72190f7fd971281afdbe1af566,836,master,passed,826,2021-01-24 11:50:23 UTC,755934901,755934902,755934903,755934904,755934905,755934906,755934907,755934908,755934909,pull_request
753545730,6d3da01b41750a60f75c351248422c61acdcdfdc,,master,passed,832,2021-01-08 15:06:40 UTC,753545731,753545732,753545733,753545734,753545735,753545736,753545737,753545738,753545739,push
753041318,8e86cf8726d28cee0ac1dffbc73093f1b0068417,840,master,passed,830,2021-01-05 18:29:13 UTC,753041319,753041320,753041321,753041322,753041323,753041324,753041325,753041326,753041327,pull_request
751734661,a6ebe34b97f5b3326567486d7276bf748a7b2974,,master,passed,809,2020-12-27 23:05:10 UTC,751734662,751734663,751734664,751734665,751734666,751734667,751734668,751734669,751734670,push
751455971,dc0d5166c91b996b38d9235acf4926168444f998,841,master,passed,812,2020-12-25 11:34:45 UTC,751455972,751455973,751455974,751455975,751455976,751455977,751455978,751455979,751455980,pull_request
751454718,ec1e727bae71fc77321f37cf92692e7bbdef7c33,841,master,passed,797,2020-12-25 11:09:13 UTC,751454719,751454720,751454721,751454722,751454723,751454724,751454725,751454726,751454727,pull_request
748740699,f6e41495997e4cbd723ce537cfbe0b834a3d789c,840,master,passed,802,2020-12-10 11:47:24 UTC,748740700,748740701,748740702,748740703,748740704,748740705,748740706,748740707,748740708,pull_request
748739434,2839bf1dd5cdeaff5d4bf536cc9ebae470d4a1d4,840,master,canceled,0,,748739435,748739436,748739437,748739438,748739439,748739440,748739441,748739442,748739443,pull_request
748010926,66a6612aa52d5c0c128e5602afa9a030668159db,,master,passed,785,2020-12-06 23:09:55 UTC,748010927,748010928,748010929,748010930,748010931,748010932,748010933,748010934,748010935,push
747985849,4d2ca015fe89d43aba40968ef43dca93e5ee503b,839,master,passed,788,2020-12-06 19:38:03 UTC,747985850,747985851,747985852,747985853,747985854,747985855,747985856,747985857,747985858,pull_request
743647276,6db785e86833bf3c326448d7fad98139badf415b,,master,passed,782,2020-11-14 20:04:35 UTC,743647277,743647278,743647279,743647280,743647281,743647282,743647283,743647284,743647285,push
