build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
756904128,2edb2c0d4b608654e64aef71564ef0963faca283,68,master,passed,398,2021-01-31 04:53:33 UTC,756904129,756904130,756904131,756904132,756904133,pull_request
756904122,6479c6936d742f020279a81d972866cb496bbb19,,fix_goos_add_testcase,passed,381,2021-01-31 04:25:29 UTC,756904123,756904124,756904125,756904126,756904127,push
756903313,c6caa717bbce282c6cd720ff2b208612030a80e3,68,master,canceled,0,,756903314,756903315,756903316,756903317,756903318,pull_request
756903294,f4c39e66da70b9de1598d327661a657f2f356fa3,,fix_goos_add_testcase,canceled,0,,756903295,756903296,756903297,756903298,756903299,push
756900483,39b1cec68aa3bf645707a1dd00c886db4b138d37,68,master,canceled,69,2021-01-31 04:17:08 UTC,756900484,756900485,756900486,756900487,756900488,pull_request
756900477,8ee8d1c9ab2a14ba63a7084bee165c7a934ed40a,,fix_goos_add_testcase,errored,220,2021-01-31 04:13:09 UTC,756900478,756900479,756900480,756900481,756900482,push
756900287,ce4f8b3962cc0fb616c2ddf712cb63fe983f42a8,68,master,canceled,0,,756900288,756900289,756900290,756900291,756900292,pull_request
756900281,610ab69e8a49f9de5b223feb16990d42d35b0648,,fix_goos_add_testcase,errored,163,2021-01-31 03:34:10 UTC,756900282,756900283,756900284,756900285,756900286,push
756900194,853f5bb80354347f878a7105b3f4431e4c844c06,68,master,canceled,0,,756900195,756900196,756900197,756900198,756900199,pull_request
756900188,57ec49eaf8d84fce522346a4564c561de68237f5,,fix_goos_add_testcase,canceled,0,,756900189,756900190,756900191,756900192,756900193,push
756897224,a184e3782c727254bccb1e205faf13772454bd55,68,master,passed,382,2021-01-31 02:50:04 UTC,756897225,756897226,756897227,756897228,756897229,pull_request
756897184,a901e2b8049cc3e24263d00c7e30bf03dfd64bcb,,fix_goos_add_testcase,errored,360,2021-01-31 02:46:13 UTC,756897185,756897186,756897187,756897188,756897189,push
751563837,f5e7ee5273834c7d4e1c436edf8b0e4249e51d1f,,master,passed,407,2020-12-26 14:12:44 UTC,751563838,751563839,751563840,751563841,751563842,push
751535683,4e9604b473cf9b70ba5db6097f6675c21bb4a65a,67,master,passed,401,2020-12-26 04:43:23 UTC,751535684,751535685,751535686,751535687,751535688,pull_request
751535535,ffeb2158bb3b68d20ab69cfc9c138772bc1587b7,,dockerfile_optimize,passed,405,2020-12-26 04:41:55 UTC,751535536,751535537,751535538,751535539,751535540,push
751535387,456ef6665a4902920b0ed2acaf1d3a1c8d3c84de,,dockerfile_optimize,errored,362,2020-12-26 04:39:29 UTC,751535388,751535389,751535390,751535391,751535392,push
751535223,c4ec6f27ab207bc74e481a88cd56355f694322dc,,dockerfile_optimize,errored,413,2020-12-26 04:36:49 UTC,751535224,751535225,751535226,751535227,751535228,push
751534505,4f1896d6b26eb5a5b021c973645f513e4fabb612,,dockerfile_optimize,passed,403,2020-12-26 04:24:02 UTC,751534506,751534507,751534508,751534509,751534510,push
747903389,0c08f65be14584d3d034d8b953e783f04a758d3b,,0.3.1,passed,480,2020-12-06 06:06:26 UTC,747903390,747903391,747903392,747903393,747903394,push
747903024,0c08f65be14584d3d034d8b953e783f04a758d3b,,master,passed,407,2020-12-06 06:02:30 UTC,747903025,747903026,747903027,747903028,747903029,push
747802263,2bccba8e04b06bb18b52f15feb93b16e36828ce8,64,master,passed,391,2020-12-05 13:30:04 UTC,747802264,747802265,747802266,747802267,747802268,pull_request
747802257,0638bf2fe40644603fac7f87c97ee357710b109f,,remote_origin_fix,passed,381,2020-12-05 13:26:12 UTC,747802258,747802259,747802260,747802261,747802262,push
747799937,a656f713c7054c4aeaf4ecfa72580a45cfdcc66e,64,master,passed,392,2020-12-05 13:15:24 UTC,747799938,747799939,747799940,747799941,747799942,pull_request
747799929,0cc5456f925c7b0edc353e2d3f44c3f42c825102,,remote_origin_fix,passed,407,2020-12-05 13:12:19 UTC,747799930,747799931,747799932,747799933,747799934,push
747799789,42ce53b07a02a3d7e9f188c282ae5319ec6f9c90,64,master,canceled,0,,747799790,747799791,747799792,747799793,747799794,pull_request
747799783,d6822bbedbd00ac125c25fc02f598253981b6674,,remote_origin_fix,errored,199,2020-12-05 13:09:27 UTC,747799784,747799785,747799786,747799787,747799788,push
747798788,74556e99a53540f4d7c1dca281c5eda630cddc7c,64,master,failed,398,2020-12-05 12:53:10 UTC,747798789,747798790,747798791,747798792,747798793,pull_request
747798782,ddddd8596059880ad87c5aed049a55bcfc5bcfd7,,remote_origin_fix,failed,379,2020-12-05 12:56:31 UTC,747798783,747798784,747798785,747798786,747798787,push
747795854,c9d7b90daf0b0633533812ffbee9365d53c08131,64,master,failed,427,2020-12-05 12:23:41 UTC,747795855,747795856,747795857,747795858,747795859,pull_request
747795698,6a6556f4065d49787b9673648c0e8d3598fab157,,remote_origin_fix,failed,392,2020-12-05 12:20:18 UTC,747795699,747795700,747795701,747795702,747795704,push
747781013,37d8d8ba13373163e84700ead76d34b7f058a3b7,,master,passed,410,2020-12-05 08:42:31 UTC,747781014,747781015,747781016,747781017,747781018,push
747772416,edd2f06a94adf200e8c0a470b33afac7390ef65b,63,master,passed,419,2020-12-05 06:54:59 UTC,747772417,747772418,747772419,747772420,747772421,pull_request
747772402,9f988fd0cf7ba6fbc4c907e7e8cb90ff3681b8f2,,accept_header,passed,385,2020-12-05 06:30:46 UTC,747772403,747772404,747772405,747772406,747772407,push
747771995,7d8b1384b30088ae17625771afff835a4c3f248f,63,master,passed,425,2020-12-05 06:05:54 UTC,747771996,747771997,747771998,747771999,747772000,pull_request
747771950,f031de7e52b1e609274c64a6fdadecf3a7abaae1,,accept_header,errored,215,2020-12-05 06:02:30 UTC,747771951,747771952,747771953,747771954,747771955,push
747341821,9136beb3070f18efaded75fd8a3337eddd59e33c,,master,passed,389,2020-12-03 04:25:32 UTC,747341822,747341823,747341824,747341825,747341826,push
