build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
732281246,5d44de920c91de89965fcb3d5fcd4f8265dd6c13,,master,passed,1256,2020-10-02 15:04:22 UTC,732281247,732281248,732281249,732281250,732281251,732281252,732281253,732281254,732281255,732281256,732281257,push
732281087,61d438fb42e95c83ff1456a0d9f8e9bc19fa1132,,master,canceled,0,,732281088,732281089,732281090,732281091,732281092,732281093,732281094,732281095,732281096,732281097,732281098,push
732280672,2c50515b01cf9c4d8566d52cb5b8a52697e16ba5,,master,canceled,0,,732280673,732280674,732280675,732280676,732280677,732280678,732280679,732280680,732280681,732280682,732280683,push
732160942,69db6ec2c7dd6f93a32dd78e00102d1a82c4f662,223,master,passed,1208,2020-10-02 06:17:01 UTC,732160943,732160944,732160945,732160946,732160947,732160948,732160949,732160950,732160951,732160952,732160953,pull_request
732160930,bff901c1839d0b73eb1f4677ee0b180510b255e2,,dependabot/maven/com.fasterxml.jackson.core-jackson-core-2.11.3,passed,1186,2020-10-02 06:11:31 UTC,732160931,732160932,732160933,732160934,732160935,732160936,732160937,732160938,732160939,732160940,732160941,push
732160854,4ba3dbae6dfc3f754da36c0de1e83ad88b8370a3,222,master,passed,1216,2020-10-02 06:05:59 UTC,732160855,732160856,732160857,732160858,732160859,732160860,732160861,732160862,732160863,732160864,732160865,pull_request
732160836,2ab7708ce6b3bd9c4166a72a8a83f6b0951f52e1,,dependabot/maven/com.fasterxml.jackson.core-jackson-annotations-2.11.3,passed,1204,2020-10-02 05:59:26 UTC,732160837,732160838,732160839,732160840,732160841,732160842,732160843,732160844,732160845,732160846,732160847,push
732160802,d05eafc7791f5e44b463b79d2589112fa30e7eb8,221,master,passed,1239,2020-10-02 05:53:00 UTC,732160803,732160804,732160805,732160806,732160807,732160808,732160809,732160810,732160811,732160812,732160813,pull_request
732160790,7405b1734931a283fda36eb87b84cbb09286ca1c,,dependabot/maven/com.fasterxml.jackson.jr-jackson-jr-objects-2.11.3,passed,1384,2020-10-02 05:47:45 UTC,732160791,732160792,732160793,732160794,732160795,732160796,732160797,732160798,732160799,732160800,732160801,push
731672269,4d27db3e8feb7cc2717397be40627a3bc39df085,,master,passed,1316,2020-09-30 17:12:12 UTC,731672270,731672271,731672273,731672275,731672277,731672278,731672280,731672282,731672286,731672288,731672290,cron
731421214,4d27db3e8feb7cc2717397be40627a3bc39df085,,master,passed,1270,2020-09-29 21:55:42 UTC,731421215,731421216,731421217,731421218,731421219,731421220,731421221,731421222,731421223,731421224,731421225,push
731421202,915e550bcafeff57292c89b1ae1a5df559bc7a58,,v2.15.0-rc1,passed,1236,2020-09-29 21:50:25 UTC,731421203,731421204,731421205,731421206,731421207,731421208,731421209,731421210,731421211,731421212,731421213,push
731421182,915e550bcafeff57292c89b1ae1a5df559bc7a58,,master,canceled,0,2020-09-29 21:50:09 UTC,731421183,731421184,731421185,731421186,731421187,731421188,731421189,731421190,731421191,731421192,731421193,push
731419663,cf215c4eb1154231a50349ee26d2e109c49169c3,,master,passed,1321,2020-09-29 21:43:57 UTC,731419664,731419665,731419666,731419667,731419668,731419669,731419670,731419671,731419672,731419673,731419674,push
731413298,4ad0bdce10413f8adf2f758ed6ddc19da4b42f7a,220,master,passed,1230,2020-09-29 21:21:19 UTC,731413299,731413300,731413301,731413302,731413303,731413304,731413305,731413306,731413307,731413308,731413309,pull_request
731413199,baf4e43733177efa80e272c0a9297d09092d73e5,,horgh/release,passed,1347,2020-09-29 21:16:09 UTC,731413200,731413201,731413202,731413203,731413204,731413205,731413206,731413207,731413208,731413209,731413210,push
731382789,aaa9efada9bf09f0402dcbd2d3dbdfbcd0f2b91a,,horgh/release,passed,1325,2020-09-29 19:19:46 UTC,731382790,731382791,731382792,731382793,731382794,731382798,731382799,731382800,731382801,731382802,731382803,push
731377320,94e195e007c4b7249a8b778c87c8a1143272466c,,master,passed,1368,2020-09-29 18:59:25 UTC,731377321,731377322,731377323,731377324,731377325,731377326,731377327,731377328,731377329,731377330,731377331,push
731346834,579f23c9a70d91c0243c95e6a631003dfef12871,,horgh/development,passed,1282,2020-09-29 17:03:33 UTC,731346835,731346836,731346837,731346838,731346839,731346840,731346841,731346842,731346843,731346844,731346845,push
731346819,0785da727261044e01ea5628d74d828d80437ef0,219,master,passed,1297,2020-09-29 16:57:47 UTC,731346820,731346821,731346822,731346823,731346824,731346825,731346826,731346827,731346828,731346829,731346830,pull_request
