build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
624982915,1251a5ff6ba9907006b1cd699c7b213926f80e2c,,master,errored,11112,2019-12-14 12:49:14 UTC,624982916,624982917,624982918,624982919,624982920,624982921,624982922,624982923,624982924,624982925,624982926,624982927,624982928,624982929,push
624225517,339161633e6ae2d535930fbb58f7fa5673d0b608,,master,passed,12407,2019-12-12 16:21:49 UTC,624225518,624225519,624225520,624225521,624225522,624225523,624225524,624225525,624225526,624225527,624225528,624225529,624225530,624225531,push
624000245,beaf2373d9874719d42e890b790954aa6cf02bee,2788,master,passed,12817,2019-12-12 05:49:26 UTC,624000246,624000247,624000248,624000249,624000250,624000251,624000252,624000253,624000254,624000255,624000256,624000257,624000258,624000259,pull_request
623248159,24ce817dcfbb37acdde709e1eb7cc755e024f988,2782,master,passed,12800,2019-12-10 16:05:08 UTC,623248160,623248161,623248162,623248163,623248164,623248165,623248166,623248167,623248168,623248169,623248170,623248171,623248172,623248173,pull_request
621072230,3b56b9e18fb728a40140157357b685f311905733,,20191203,passed,12930,2019-12-05 20:50:56 UTC,621072231,621072232,621072233,621072234,621072235,621072236,621072237,621072238,621072239,621072240,621072241,621072242,621072243,621072244,push
621071746,3b56b9e18fb728a40140157357b685f311905733,,master,failed,14452,2019-12-05 20:51:16 UTC,621071747,621071748,621071749,621071750,621071751,621071752,621071753,621071755,621071756,621071757,621071759,621071760,621071761,621071762,push
621071599,049481505fff9a0734f176a79dd18b6e60f75608,2786,master,errored,443,2019-12-05 11:25:08 UTC,621071600,621071601,621071602,621071603,621071604,621071605,621071606,621071607,621071608,621071609,621071610,621071611,621071612,621071613,pull_request
620160196,0723731eee00537482dd88bf6226f78705df7ea2,,master,passed,13593,2019-12-03 14:54:32 UTC,620160197,620160198,620160199,620160200,620160201,620160202,620160203,620160204,620160205,620160206,620160207,620160208,620160209,620160210,push
620160062,ecbc9635ab350930380c9cb4706264a41598b691,2783,master,errored,497,2019-12-03 14:52:36 UTC,620160063,620160064,620160065,620160066,620160067,620160068,620160069,620160070,620160071,620160072,620160073,620160074,620160075,620160076,pull_request
619637268,eddaef4df4546f445ec68a851bc5fa03eca52b82,2782,master,failed,11174,2019-12-02 14:16:39 UTC,619637269,619637270,619637271,619637272,619637273,619637274,619637275,619637276,619637277,619637278,619637279,619637280,619637281,619637282,pull_request
