build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
668406045,9417d12446fd849f82c9e88a1460fc60705881a6,577,master,errored,44026,2020-03-29 15:57:34 UTC,668406046,668406047,668406048,668406049,668406050,668406051,668406052,668406053,668406054,668406055,668406056,668406057,668406058,668406059,668406060,668406061,668406062,668406063,668406064,pull_request
668165854,1a467b2c37a9cd382d7df39af1395a60e6bc036c,,master,failed,41514,2020-03-28 19:57:11 UTC,668165855,668165856,668165857,668165858,668165859,668165860,668165861,668165862,668165863,668165864,668165865,668165866,668165867,668165868,668165869,668165870,668165871,668165872,668165873,668165874,668165875,668165876,668165877,668165878,668165879,668165880,668165881,668165882,668165883,668165884,668165885,668165886,push
668164707,a27b7958a2de75f0fa6f70dff48519b51bb79854,,master,canceled,0,,668164708,668164709,668164710,668164711,668164712,668164713,668164714,668164715,668164716,668164717,668164718,668164719,668164720,668164721,668164722,668164723,668164724,668164725,668164726,668164727,668164728,668164729,668164730,668164731,668164732,668164733,668164734,668164735,668164736,668164737,668164738,668164739,push
668154760,ba2880053a599c0aadc8f1d3305a352d206a3c17,571,master,errored,1350,2020-03-28 19:39:22 UTC,668154761,668154762,668154763,668154764,668154765,668154766,668154767,668154768,668154769,668154770,668154771,668154773,668154774,668154775,668154776,668154778,668154781,668154782,668154784,668154785,668154786,668154787,668154788,668154790,668154792,668154793,668154794,668154796,668154798,668154800,668154802,668154804,pull_request
668135327,90997afca8b2278c0ecc3304a0a39ecb5343ec81,571,master,canceled,0,,668135328,668135329,668135330,668135331,668135332,668135333,668135334,668135335,668135336,668135337,668135338,668135339,668135340,668135341,668135342,668135343,668135344,668135345,668135346,668135347,668135348,668135349,668135350,668135351,668135352,668135353,668135354,668135355,668135356,668135357,668135358,668135359,pull_request
668134676,52fbf38a0051b71d32bfd12c4161ed30c6fdb358,571,master,failed,37610,2020-03-28 17:41:35 UTC,668134677,668134678,668134679,668134680,668134681,668134682,668134683,668134684,668134685,668134686,668134687,668134688,668134689,668134690,668134691,668134692,668134693,668134694,668134695,668134696,668134697,668134698,668134699,668134700,668134701,668134702,668134703,668134704,668134705,668134706,668134707,668134708,pull_request
668086322,e2f244ac7cd1da0c24967c16f75ddc9eb5d8692e,,master,failed,43434,2020-03-28 14:50:49 UTC,668086323,668086324,668086325,668086326,668086327,668086328,668086329,668086330,668086331,668086332,668086333,668086334,668086335,668086336,668086337,668086338,668086339,668086340,668086341,668086342,668086343,668086344,668086345,668086346,668086347,668086348,668086349,668086350,668086351,668086352,668086353,668086354,push
668070948,ff8753280d966669fca5be1ef6ad8f66645247af,575,master,errored,3767,2020-03-28 14:26:32 UTC,668070949,668070950,668070951,668070952,668070953,668070954,668070955,668070956,668070957,668070958,668070959,668070960,668070961,668070962,668070963,668070964,668070965,668070966,668070967,668070968,668070969,668070970,668070971,668070972,668070973,668070974,668070975,668070976,668070977,668070978,668070979,668070980,pull_request
668061871,edc6e714c69ef54a7a0ab365d0517cd3c22abf81,575,master,canceled,0,,668061872,668061873,668061874,668061875,668061876,668061877,668061878,668061879,668061880,668061881,668061882,668061883,668061884,668061885,668061886,668061887,668061888,668061889,668061890,668061891,668061892,668061893,668061894,668061895,668061896,668061897,668061898,668061899,668061900,668061901,668061902,668061903,pull_request
668014640,63dd172bdb73856d6d859d1b67f1a55ff5e81b1c,575,master,failed,49661,2020-03-28 11:39:24 UTC,668014641,668014642,668014643,668014644,668014645,668014646,668014647,668014648,668014649,668014650,668014651,668014652,668014653,668014654,668014655,668014656,668014657,668014658,668014659,668014660,668014661,668014662,668014663,668014664,668014665,668014666,668014667,668014669,668014670,668014671,668014672,668014673,pull_request
668001261,7b5a72ffde33bf0c58c5728900cd1fb36238e27a,575,master,failed,55605,2020-03-28 08:38:13 UTC,668001262,668001263,668001264,668001265,668001266,668001267,668001268,668001269,668001270,668001271,668001272,668001273,668001274,668001275,668001276,668001277,668001278,668001279,668001280,668001281,668001282,668001283,668001284,668001285,668001286,668001287,668001288,668001289,668001290,668001291,668001292,668001293,pull_request
