build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761599164,1a7995ba8807d7ac20b966154bff522ab084a49c,,master,passed,1848,2021-03-05 16:46:13 UTC,761599165,761599166,761599167,761599168,761599169,761599170,761599171,761599172,761599173,761599174,761599175,761599176,761599177,761599178,761599179,761599180,761599181,761599182,761599183,761599184,761599185,push
761599061,f40ea7eb40ad517f7268ba78ff1c4e3b9f62fbde,,master,canceled,0,2021-03-05 16:39:27 UTC,761599062,761599063,761599064,761599065,761599066,761599067,761599068,761599069,761599070,761599071,761599072,761599073,761599074,761599075,761599077,761599078,761599094,761599095,761599097,761599099,761599105,push
761598992,34fa9a603ffd31bf84202117df64b3859ba9dbfe,,master,canceled,0,2021-03-05 16:39:16 UTC,761598993,761598994,761598995,761598996,761598997,761598998,761598999,761599000,761599001,761599002,761599003,761599004,761599005,761599006,761599007,761599008,761599009,761599010,761599011,761599012,761599013,push
761544646,ee72cb116b3d5362e0d0676df50af4a987e4ca51,991,master,passed,2074,2021-03-05 09:45:07 UTC,761544647,761544648,761544649,761544650,761544651,761544652,761544653,761544654,761544655,761544656,761544657,761544658,761544659,761544660,761544661,761544662,761544663,761544664,761544665,761544666,761544667,pull_request
761539090,e6c43c9c6ceea5bf64e7f1877fd058b49abe0b0a,990,master,passed,2035,2021-03-05 05:26:46 UTC,761539091,761539092,761539093,761539094,761539095,761539096,761539097,761539098,761539099,761539100,761539101,761539102,761539103,761539104,761539105,761539106,761539107,761539108,761539109,761539110,761539111,pull_request
761504991,aa545339f3ce7b73c5edd7e4bb46ede75d27a913,989,master,passed,1803,2021-03-04 22:42:02 UTC,761504992,761504993,761504994,761504995,761504996,761504997,761504998,761504999,761505000,761505001,761505002,761505003,761505004,761505005,761505006,761505007,761505008,761505009,761505010,761505011,761505012,pull_request
760918374,4637395dd7bcf16ad812036bb465fbc34d2697a0,,v1.22.0,passed,1840,2021-03-01 09:54:22 UTC,760918375,760918376,760918377,760918378,760918379,760918380,760918381,760918382,760918383,760918384,760918385,760918386,760918387,760918388,760918389,760918390,760918391,760918392,760918393,760918394,760918395,push
760573419,4637395dd7bcf16ad812036bb465fbc34d2697a0,,master,passed,1872,2021-02-26 11:09:38 UTC,760573420,760573421,760573422,760573423,760573424,760573425,760573426,760573427,760573428,760573429,760573430,760573431,760573432,760573433,760573434,760573435,760573436,760573437,760573438,760573439,760573440,push
760443872,c3cd5e15545a0ba0f4cd4eb692a73274a099ea3c,,master,passed,1694,2021-02-25 13:10:06 UTC,760443873,760443874,760443875,760443876,760443877,760443878,760443879,760443880,760443881,760443882,760443883,760443884,760443885,760443886,760443887,760443888,760443889,760443890,760443891,760443892,760443893,push
760391783,8e168dfba553372d70bb5bba6d0c8d46f679006f,981,master,failed,1264,2021-02-25 02:15:47 UTC,760391784,760391785,760391786,760391787,760391788,760391789,760391790,760391791,760391792,760391793,760391794,760391795,760391796,760391797,760391798,760391799,760391800,760391801,760391802,760391803,760391804,pull_request
