build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
693288454,400d559e4e388ecc59dfe21ce9abe83ee04da979,,master,errored,2279,2020-06-01 01:43:59 UTC,693288455,693288456,693288457,693288458,693288459,693288460,693288461,693288462,push
693218692,68b928c87e5b175b9afc81bcd931185019aa8339,167,master,errored,2277,2020-05-31 19:33:35 UTC,693218693,693218694,693218695,693218696,693218697,693218698,693218699,693218700,pull_request
693211915,4fec54692a124297ae78bffb7ef83fbebebf4783,167,master,errored,2045,2020-05-31 19:02:01 UTC,693211916,693211917,693211918,693211919,693211920,693211921,693211922,693211923,pull_request
686507061,45fd9d6fe3ec81991ed905bff828008c50c1e9f9,168,master,errored,2231,2020-05-13 10:14:42 UTC,686507062,686507063,686507064,686507065,686507066,686507067,686507068,686507069,pull_request
686117338,7aa2511387b757e5ffa98ec58c7ebdf73fea2ced,167,master,errored,2338,2020-05-12 13:42:35 UTC,686117339,686117340,686117341,686117342,686117343,686117344,686117345,686117346,pull_request
685043837,4681b3cec21e09c54be50b2ee835115bcbc1d298,,master,errored,4082,2020-05-09 13:37:26 UTC,685043838,685043839,685043840,685043841,685043842,685043843,685043844,685043845,push
684957277,94d20608211a3e3a7adf7856b934ec277c7294c3,165,master,errored,2288,2020-05-09 05:38:26 UTC,684957278,684957279,684957280,684957281,684957282,684957283,684957284,684957285,pull_request
684956290,6b1e1ed470fdce955b8e61a61aecd9cf17fcc89c,,master,errored,2331,2020-05-09 05:29:35 UTC,684956291,684956292,684956293,684956294,684956295,684956296,684956297,684956298,push
684955496,3978d435fe8ef7119a5db6ca2c855829e240d13a,,bugfix/project_file,errored,2287,2020-05-09 05:21:06 UTC,684955497,684955498,684955499,684955500,684955501,684955502,684955503,684955504,push
684953167,45c4a37608735c103a82ef723f323134b12d28fb,,bugfix/project_file,errored,2296,2020-05-09 05:00:54 UTC,684953171,684953174,684953177,684953178,684953179,684953180,684953181,684953182,push
684765698,60518bf2158b0430b1b20ff6bc76c9906eef3f53,164,master,errored,2383,2020-05-09 05:04:02 UTC,684765699,684765700,684765701,684765702,684765703,684765704,684765705,684765706,pull_request
681324514,66215e416c9214deeb0ed5ae5e1b22f1a78e407c,,bugfix_issue_162,errored,2299,2020-04-30 04:30:55 UTC,681324515,681324516,681324517,681324518,681324519,681324520,681324521,681324522,push
680872974,ff1a7826942811c686d0350072b5c0a784bacfcc,160,master,errored,1616,2020-04-29 06:04:44 UTC,680872975,680872976,680872977,680872979,680872980,680872982,680872983,680872985,pull_request
670859084,45c4a37608735c103a82ef723f323134b12d28fb,,master,passed,2587,2020-04-04 06:16:43 UTC,670859085,670859086,670859087,670859088,670859089,670859090,670859091,670859092,push
670819550,c87281bb25f522ccfc23044cdfde95deecfb2d1f,,master,passed,3649,2020-04-04 01:17:50 UTC,670819558,670819559,670819560,670819561,670819562,670819563,670819564,670819565,push
656766143,4040bee9a961cd195107fb2c439a9cd521e7cf0a,,master,passed,2781,2020-02-29 21:37:08 UTC,656766146,656766148,656766149,656766150,656766151,656766152,656766153,656766154,push
654247570,dff68011c148d9528cf800b80632b3789de82592,151,master,passed,2667,2020-02-24 04:15:31 UTC,654247571,654247572,654247573,654247574,654247575,654247576,654247577,654247578,pull_request
652801782,dea9f822fbb191324a873573c26c62247bbd219e,151,master,passed,3754,2020-02-20 02:49:09 UTC,652801783,652801784,652801785,652801786,652801787,652801788,652801789,652801790,pull_request
648199277,e9a8fdedc4093a1fa84c464771738eca081797f4,,master,passed,2674,2020-02-10 01:42:00 UTC,648199278,648199279,648199280,648199282,648199284,648199285,648199286,648199287,push
648191188,edfa1b796bdbcf1e9e2e7feb8fc00fb1a73e7d44,147,master,passed,2785,2020-02-10 01:01:50 UTC,648191189,648191190,648191191,648191192,648191193,648191194,648191195,648191196,pull_request
647678995,f931a86267eb4a68daf6a72557480604f2424468,,master,passed,2624,2020-02-08 11:10:12 UTC,647678996,647678997,647678998,647678999,647679000,647679001,647679002,647679003,push
647653344,0afb04c53d27185400ac93711d5e3cc64e58e364,148,master,passed,2621,2020-02-08 08:34:24 UTC,647653345,647653346,647653347,647653348,647653349,647653350,647653351,647653352,pull_request
647653155,748bf761ea03d48412c92e1a747e015c6a1dda28,,bugfix_doa_tops_division,passed,2569,2020-02-08 08:29:37 UTC,647653161,647653164,647653165,647653166,647653167,647653168,647653169,647653170,push
647261440,2fa6670aa5d2b24af1881ea3325ef0e126301fe7,147,master,failed,2698,2020-02-07 10:17:41 UTC,647261441,647261442,647261443,647261444,647261445,647261446,647261447,647261448,pull_request
647257492,2f6dff00b4b2b65177ff78e20b7f0e269b3b6c3b,,bugfix_doa_tops_division,passed,2790,2020-02-07 10:06:53 UTC,647257493,647257494,647257495,647257496,647257497,647257498,647257499,647257500,push
646843624,84258390469b41bd0901c56057cbadf813d360e1,146,master,failed,2772,2020-02-06 12:35:59 UTC,646843625,646843626,646843627,646843628,646843629,646843630,646843631,646843632,pull_request
639869989,2427fa5b0c9b72309ea0eb463c76085fed89c0e4,,my_test_deploy_5,failed,13,2020-01-21 10:10:06 UTC,639869990,push
639869978,2427fa5b0c9b72309ea0eb463c76085fed89c0e4,,next_gen_simulator_fixtests,failed,13,2020-01-21 10:10:06 UTC,639869979,push
639865359,f02ae924db555773f3f64facd40e629a1c28ec75,,my_test_deploy_4,failed,16,2020-01-21 09:58:21 UTC,639865360,push
