build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
679944885,6be8bfce64ef4ce39fb772973bed0e6f3b592be0,,master,failed,55,2020-04-27 05:44:02 UTC,679944886,push
678675867,14dcc7c32f903c45bf55eebec0443aa35ef79b77,41,master,failed,63,2020-04-23 16:36:40 UTC,678675868,pull_request
605208040,c1f090729a3d09e3db8e36c1017a908aab60d3af,40,master,passed,146,2019-10-30 21:26:12 UTC,605208048,pull_request
605206135,2b72af2cfaecb284043756a8e93406ea1eeaa2de,40,master,failed,101,2019-10-30 21:21:49 UTC,605206136,pull_request
605203372,c06a4cf6a19cd666004ca4543c990b1cfeb3bcac,40,master,errored,77,2019-10-30 21:15:56 UTC,605203373,pull_request
605196612,9f9cd598f1ca9a758525ebf83e16089334088755,40,master,passed,144,2019-10-30 21:01:06 UTC,605196613,pull_request
605182278,334ac6761adee39bf9b3d40067321664b2bc3c5b,40,master,failed,61,2019-10-30 20:28:30 UTC,605182279,pull_request
605181261,bfcd6e33a0da7c6a2612341172fd575e5694e9dc,40,master,failed,68,2019-10-30 20:26:08 UTC,605181262,pull_request
605171793,663ca149cbf17439772b54ee219ef501b57c2a90,,dimitris/android-dep,failed,67,2019-10-30 20:01:54 UTC,605171794,push
605144162,b7e326e80927e43196e8300f81907479730d09da,24,master,failed,65,2019-10-30 18:57:49 UTC,605144163,pull_request
605144151,a876d9b13c43fcdf9fdb33d24fd7e50235c44241,,dimitris/android-dep,failed,63,2019-10-30 18:58:13 UTC,605144153,push
605141852,a6f710e276ea6b1275d14d161e11d2bd4a134125,24,master,failed,68,2019-10-30 18:52:34 UTC,605141854,pull_request
605141812,663ca149cbf17439772b54ee219ef501b57c2a90,,dimitris/android-dep,failed,64,2019-10-30 18:52:54 UTC,605141813,push
605141516,1636a77357df9d0a39cf0b0e64223492a8c1d0c8,24,master,failed,67,2019-10-30 18:51:56 UTC,605141517,pull_request
605141465,ad818caa086d69c4c102935a384c8c13d1f2f273,,dimitris/android-dep,canceled,0,,605141466,push
442898186,9bc79d0dfaebebe9877593e04f479c001b987626,39,master,failed,154,2018-10-17 21:06:58 UTC,442898187,pull_request
292303049,d91f18e80790832db11b811c462f8e5cd492d97e,,master,passed,140,2017-10-24 21:11:08 UTC,292303050,push
292298709,be9575d7487df15abdf21c78e0f6bb2632336d92,37,master,passed,145,2017-10-24 21:01:53 UTC,292298712,pull_request
292293316,82b27bf5588db41c540ce943624a2b36214cfda3,37,master,failed,207,2017-10-24 20:49:44 UTC,292293317,292293318,pull_request
289584781,17f3b6b5b92af5e570276cf7a9144b3b5b3cc948,37,master,failed,219,2017-10-18 16:19:36 UTC,289584782,289584783,pull_request
289143243,66a2dc9f4c63690c76b8d71ea26df6a70b3273fa,,master,failed,90,2017-10-17 17:34:32 UTC,289143244,289143245,push
270445476,51af9360288bb59bb4169da53e78d70a8550cafa,36,master,failed,312,2017-08-31 14:40:02 UTC,270445477,270445478,pull_request
264451270,de1d5dd56facd21aa9929b70e298f7193c1a7f47,35,master,passed,541,2017-08-14 17:44:44 UTC,264451271,264451272,pull_request
264450846,5104dbac122fa54b5ec9032c81a4b99c4816241f,35,master,passed,569,2017-08-14 17:43:10 UTC,264450847,264450848,pull_request
264448961,9485ebb06a098aeb13c4f8a3c9657325076baa77,35,master,passed,550,2017-08-14 17:36:45 UTC,264448962,264448963,pull_request
257795018,040e75107b921001462fb6cefe0f5cb2a8275fd9,35,master,failed,327,2017-07-26 16:14:35 UTC,257795019,257795020,pull_request
255886411,fdeb82934d72d2e8306204fb842d845790fa2153,35,master,failed,432,2017-07-21 01:05:08 UTC,255886412,255886413,pull_request
206892692,871d0dfe1185635dbf63ac16a221e021e99fbee9,33,master,failed,247,2017-03-02 06:46:30 UTC,206892693,206892694,pull_request
204814862,eacee7db7d147b5cb6dfe5fdcf0f6bf266789694,33,master,failed,282,2017-02-24 01:04:11 UTC,204814863,204814864,pull_request
163698108,1c448f948f2de2551149a48dc79df735f38182e9,28,master,passed,810,2016-09-29 12:22:43 UTC,163698109,163698110,pull_request
163696069,cff1e8a246c72d499cf2cb0e151490dabc5b66c3,28,master,failed,510,2016-09-29 12:15:37 UTC,163696070,163696071,pull_request
163694881,e922b8693a4b5135327072d48dc162b54d4d7e68,28,master,failed,455,2016-09-29 12:11:36 UTC,163694882,163694883,pull_request
163693739,3a47239590fc1f1c2243b0192ec2924fa205e900,28,master,failed,536,2016-09-29 12:07:54 UTC,163693740,163693741,pull_request
163690685,0444ae9a1790dd277e5679b1f543e0eadeb11bae,28,master,failed,663,2016-09-29 11:58:06 UTC,163690686,163690688,pull_request
163688427,54dd1b54189e9bb97fbcb034c329f3caf5e7b5d5,28,master,failed,296,2016-09-29 11:49:34 UTC,163688428,163688430,pull_request
