build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
660704739,b1b7fef663f633a513c49e5cf6f6bda180565d06,363,master,errored,1655,2020-03-10 16:30:13 UTC,660704740,660704741,660704742,660704743,660704744,660704745,660704746,660704747,pull_request
660703601,6281d11024f2411244997e52589931e4ae666639,363,master,errored,1003,2020-03-10 16:27:19 UTC,660703602,660703603,660703604,660703605,660703606,660703607,660703608,660703609,pull_request
660696767,0a391d1a5ff16e320ab4812b98336bb94c3e3197,363,master,errored,1501,2020-03-10 16:12:08 UTC,660696768,660696769,660696770,660696771,660696772,660696773,660696774,660696776,pull_request
660693484,8e8d31a2aabb2ca2be0a2dc9c922e60d3b30e633,363,master,errored,1507,2020-03-10 16:05:23 UTC,660693486,660693488,660693489,660693490,660693491,660693492,660693493,660693494,pull_request
660066007,ced180e41647955f01c1cb3a23eae9d0bca3bd88,,master,errored,1562,2020-03-09 09:41:24 UTC,660066008,660066009,660066010,660066011,660066012,660066013,660066014,660066015,push
659300432,bc1173bf9091ea77301af218990c6539170a1dd4,364,master,errored,1536,2020-03-06 19:30:38 UTC,659300433,659300434,659300435,659300436,659300437,659300438,659300439,659300440,pull_request
656318989,25b34250316b67c1e6f2dca327056880b2249d7b,361,master,errored,857,2020-02-28 15:54:55 UTC,656318990,656318991,656318992,656318993,656318994,656318995,656318996,656318997,pull_request
655052066,ea99ee85095fab7506f0fa35311fcd4709fc9ab4,363,master,errored,1582,2020-02-25 20:18:32 UTC,655052067,655052068,655052069,655052070,655052071,655052072,655052073,655052074,pull_request
655050936,c113cd541d502582fae8cc2d289d82db18c2902d,363,master,errored,1575,2020-02-25 20:15:22 UTC,655050937,655050938,655050939,655050940,655050941,655050942,655050943,655050944,pull_request
655018958,7365ac98888f8f6ef9bd0a9686145b37c2fb2065,362,master,errored,1541,2020-02-25 18:51:05 UTC,655018959,655018960,655018961,655018962,655018963,655018964,655018965,655018966,pull_request
652698655,f603e9a0c098d33fac30293e19cd77e6dcca322f,360,master,errored,1306,2020-02-19 21:25:10 UTC,652698656,652698657,652698658,652698659,652698660,652698661,652698662,652698663,pull_request
652518481,c95ce0299443e9b22d6e7eaca9ad81385390ae99,361,master,errored,858,2020-02-19 14:43:01 UTC,652518482,652518483,652518484,652518485,652518486,652518487,652518488,652518489,pull_request
652514828,7bb73b4d1bdb4c98b5ad98fc940e8db6af80af54,360,master,errored,1588,2020-02-19 14:34:08 UTC,652514830,652514832,652514836,652514837,652514838,652514843,652514844,652514845,pull_request
652139651,1d89cc29386d3c2ed0b18dce1a1133a9e9200fa4,361,master,errored,842,2020-02-18 19:33:14 UTC,652139652,652139653,652139654,652139657,652139660,652139661,652139663,652139664,pull_request
652118769,601fd12020cac1474e52986119231a594ee36242,360,master,errored,244,2020-02-18 18:41:00 UTC,652118770,652118771,652118772,652118773,652118774,652118775,652118776,652118777,pull_request
652101098,e4c60e2cfcb62097c2e2d4e580df6edb091c0dd0,360,master,errored,188,2020-02-18 17:55:52 UTC,652101099,652101100,652101101,652101102,652101103,652101104,652101105,652101106,pull_request
643024427,59723576f5a9cb28102760d8098b0819539eb14d,356,master,errored,1613,2020-01-28 18:20:09 UTC,643024428,643024429,643024430,643024431,643024432,643024433,643024434,643024435,pull_request
643021837,b52c7ff0e0fba706c82873010259ea35267f8e22,356,master,errored,1515,2020-01-28 18:13:42 UTC,643021838,643021839,643021840,643021841,643021842,643021847,643021848,643021849,pull_request
643018884,a29b11c3e35643787461bfaa6954ad98d6867504,356,master,errored,1572,2020-01-28 18:04:58 UTC,643018885,643018886,643018887,643018888,643018889,643018890,643018891,643018892,pull_request
643003277,dccdeb10ef5cbac1554db8bd13421cda19393c89,356,master,errored,1533,2020-01-28 17:28:34 UTC,643003278,643003279,643003280,643003282,643003283,643003284,643003285,643003286,pull_request
643000648,028945f47196baa32644445ed2a4ee022b9c7561,356,master,errored,1602,2020-01-28 17:23:53 UTC,643000649,643000650,643000651,643000652,643000653,643000654,643000655,643000657,pull_request
637542219,6f9b1ffe096a21a9d11c4f15524da17a879984a0,,master,errored,1536,2020-01-15 17:08:34 UTC,637542221,637542223,637542224,637542226,637542227,637542228,637542229,637542230,push
635479651,09edf865cbfe740a010f25026f8241ae85a61a4a,354,master,errored,1508,2020-01-10 21:55:41 UTC,635479652,635479653,635479654,635479655,635479656,635479657,635479658,635479659,pull_request
635424553,1efd5e741963ea4ad0f6a4b7231e26ff3d5843af,354,master,errored,745,2020-01-10 19:34:18 UTC,635424554,635424555,635424556,635424557,635424559,635424560,635424561,635424562,pull_request
583155168,76f4f0e93cd5dd96f039aa7d5e9e758d0ea74003,,master,errored,1826,2019-09-10 12:58:02 UTC,583155169,583155170,583155171,583155172,583155173,583155174,583155175,583155176,push
581653723,d05d619f7241fb528458bd88ad7d44b12bb27154,349,master,errored,1807,2019-09-06 12:29:27 UTC,581653724,581653725,581653726,581653727,581653728,581653729,581653730,581653731,pull_request
578705879,88293f311ffd2b768251904c30e86473a7d0d317,,master,errored,1769,2019-08-30 08:18:00 UTC,578705880,578705881,578705882,578705883,578705884,578705885,578705886,578705887,push
577176917,96547d0b7f2a568c43305e9caff2d0640a25b176,346,master,errored,1774,2019-08-27 06:13:54 UTC,577176918,577176919,577176920,577176921,577176922,577176923,577176924,577176925,pull_request
