build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
750898457,6eca5bc740586428def9a6d8ff8fdc8d04c072a2,,master,errored,798,2020-12-21 19:45:41 UTC,750898458,750898459,750898460,750898461,750898462,750898463,750898464,750898465,cron
749676385,6eca5bc740586428def9a6d8ff8fdc8d04c072a2,,master,errored,670,2020-12-14 20:10:13 UTC,749676388,749676389,749676390,749676392,749676394,749676395,749676397,749676398,cron
749581853,95c952c06d3ed8f51d10ed09fd579b89692703c2,149,master,errored,638,2020-12-14 11:11:13 UTC,749581854,749581855,749581856,749581857,749581858,749581859,749581860,749581861,pull_request
749581450,00c6fb1515a7b54c887f720f59ad1e03e64e9d39,148,master,passed,918,2020-12-14 10:41:07 UTC,749581451,749581452,749581453,749581454,749581455,749581456,749581457,749581458,pull_request
748194908,6eca5bc740586428def9a6d8ff8fdc8d04c072a2,,master,errored,670,2020-12-07 20:12:23 UTC,748194910,748194911,748194913,748194914,748194915,748194916,748194917,748194919,cron
746820396,6eca5bc740586428def9a6d8ff8fdc8d04c072a2,,master,errored,606,2020-11-30 20:31:10 UTC,746820397,746820398,746820400,746820402,746820403,746820404,746820405,746820406,cron
745485838,6eca5bc740586428def9a6d8ff8fdc8d04c072a2,,master,errored,648,2020-11-24 18:44:42 UTC,745485839,745485840,745485841,745485842,745485843,745485844,745485845,745485846,cron
744802230,35e44e904b637ee88336b39964e69ceb7cf6e90f,145,master,passed,870,2020-11-20 04:41:19 UTC,744802231,744802232,744802233,744802234,744802235,744802236,744802237,744802238,pull_request
744801214,25637ad803add5bf4e8a81e660c558b2e7b763b6,145,master,canceled,0,,744801215,744801216,744801217,744801218,744801219,744801220,744801221,744801222,pull_request
744800303,8f70c4177d661f705b58a61d8190e56a9beab94f,145,master,canceled,0,,744800304,744800305,744800306,744800307,744800308,744800309,744800310,744800311,pull_request
744799142,66e36765578b26bff76542209c1078657deb50b9,145,master,canceled,0,,744799143,744799144,744799145,744799146,744799147,744799148,744799149,744799150,pull_request
744019208,6eca5bc740586428def9a6d8ff8fdc8d04c072a2,,master,passed,896,2020-11-16 20:07:27 UTC,744019209,744019210,744019211,744019212,744019213,744019214,744019215,744019216,cron
742528114,6eca5bc740586428def9a6d8ff8fdc8d04c072a2,,master,passed,919,2020-11-09 20:08:43 UTC,742528115,742528116,742528117,742528118,742528119,742528120,742528121,742528122,cron
740943741,6eca5bc740586428def9a6d8ff8fdc8d04c072a2,,master,passed,919,2020-11-02 20:04:37 UTC,740943743,740943744,740943745,740943746,740943748,740943750,740943751,740943752,cron
739072911,6eca5bc740586428def9a6d8ff8fdc8d04c072a2,,master,passed,911,2020-10-26 20:15:48 UTC,739072913,739072914,739072915,739072916,739072917,739072918,739072919,739072920,cron
