build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
735569326,740af95dd90f4f5408c371408543859401fcea1a,,develop,passed,1411,2020-10-13 23:36:33 UTC,735569327,735569328,push
735207382,9c6c6a52d92604e24a429f91983da592d2e59880,34,develop,passed,1444,2020-10-13 00:41:47 UTC,735207383,735207384,pull_request
735207379,099e770af897d71b5682c6a12469115d1e51234a,,dependabot/maven/junit-junit-4.13.1,passed,1418,2020-10-13 00:41:49 UTC,735207380,735207381,push
715007143,a67ccc3f481852e33bec5e3be72886d904bdabfe,,develop,passed,1393,2020-08-05 01:26:01 UTC,715007144,715007145,push
715006391,82bc280a167aca13e41c0768c1a91227915711ea,,develop,canceled,-60,2020-08-05 01:21:07 UTC,715006392,715006393,push
715004716,5c24ceafb3dfc0ddec9e99b9b4bbbbdcbdf7edf2,,develop,canceled,862,2020-08-05 01:11:11 UTC,715004717,715004718,715004719,push
715000265,4c6aa4decaf22f764829c5ce214604912f0904b5,,0.8.2,passed,1225,2020-08-05 00:53:55 UTC,715000266,715000267,push
714995345,81d53000623348dbec6b6d20f4ad204bc3bcbfd5,,develop,passed,1470,2020-08-05 00:12:33 UTC,714995346,714995347,push
714994951,4c6aa4decaf22f764829c5ce214604912f0904b5,,master,passed,1408,2020-08-05 00:08:56 UTC,714994952,714994953,push
714994863,4c6aa4decaf22f764829c5ce214604912f0904b5,,develop,passed,1346,2020-08-05 00:31:41 UTC,714994864,714994865,push
598855373,c04263ba9e47259c4dde12d16b84079e43f5737b,,develop,passed,1351,2019-10-16 21:45:50 UTC,598855374,598855375,push
598374623,a8f98fb005e03bdc2e7941d191c133da61f273fc,,develop,passed,1540,2019-10-15 22:13:02 UTC,598374624,598374625,push
586781033,4235bb041a29ef4982874f924af44f01796e1acd,,develop,passed,1378,2019-09-18 23:25:28 UTC,586781034,586781035,push
586779898,6745363fdd1145ec77727c8a7fb4e3023138caa6,,develop,canceled,945,2019-09-18 23:19:37 UTC,586779899,586779900,push
586776165,957560901f3c87d3e9f6760263644a4d70b0a3b8,,develop,passed,1434,2019-09-18 23:05:12 UTC,586776166,586776167,push
472320138,909dff0476e80834f05ecdde0624dd2390e9b0ca,,develop,passed,1364,2018-12-26 12:00:13 UTC,472320140,472320142,push
472318096,6b2bee8442641b5592938e2c3cf2006689ac0ec0,,develop,passed,1444,2018-12-26 11:53:39 UTC,472318097,472318098,push
444070204,f550b9a40786f327aef8c6f5375c22fb8cccc258,,develop,passed,1477,2018-10-20 12:58:25 UTC,444070205,444070206,push
444069721,121686b44dbf41954315148ef1bf62541476afbf,,develop,canceled,287,2018-10-20 12:55:28 UTC,444069722,444069723,push
444067405,b51941d3b3e67324276417bc248ba00d09dcd070,,develop,canceled,91,2018-10-20 12:45:50 UTC,444067406,444067407,push
444066075,e93af5d52fc3fb769997b67b670b7f7ed940755e,,develop,canceled,741,2018-10-20 12:38:04 UTC,444066076,444066077,push
444065624,0dc78da1e6ac3bcc80744a12d0f6d4ac6df19119,,develop,canceled,224,2018-10-20 12:35:26 UTC,444065625,444065626,push
444065314,3d2843378146ab62629698a24789f040a30ad7e5,,develop,canceled,466,2018-10-20 12:33:42 UTC,444065315,444065316,push
444062180,7a25e2b2c40b0fc1e22acdb6f1574cb9fdb78067,,develop,errored,614,2018-10-20 12:16:10 UTC,444062181,444062182,push
444058868,60dd2d0035b02549029dbe32381d9ee3c9680637,,develop,errored,627,2018-10-20 12:00:59 UTC,444058869,444058876,push
444057042,280ecca0b89d671bda38f2bc7c6d0ab1f9cebdac,,develop,errored,62,2018-10-20 11:50:46 UTC,444057043,push
364872183,161328a439d6d0004348cc5ffe72536dfda24dd7,,develop,passed,492,2018-04-10 23:25:34 UTC,364872184,push
364865251,12ddef86db86387387de826ba4c6e3a6d81a782a,,develop,passed,511,2018-04-10 23:03:00 UTC,364865252,push
364865188,f2f5423b1ddc379db3052d79a8dd76c56fd936af,,master,passed,1588,2018-04-10 23:02:36 UTC,364865189,364865190,364865191,push
364860866,12ddef86db86387387de826ba4c6e3a6d81a782a,,master,passed,497,2018-04-10 22:50:09 UTC,364860867,push
364860574,12ddef86db86387387de826ba4c6e3a6d81a782a,,java9,passed,581,2018-04-10 22:49:03 UTC,364860575,push
342776994,50210d0e87e7a0059d55e7885b6a6d3113d8db8a,,java9,passed,493,2018-02-17 16:27:10 UTC,342776995,push
342772307,718f9f1b6b73537ff94680025d20beecb1ddec82,,java9,errored,549,2018-02-17 16:09:16 UTC,342772308,342772309,push
342766433,da9070b2872ab532ae2f5c0bcc41c35cf3c63d64,,java9,errored,586,2018-02-17 15:45:29 UTC,342766434,342766435,342766436,push
342758914,eea725b32e0e08ad9cf3a8cf71be124fc85c575b,,java9,errored,188,2018-02-17 15:16:07 UTC,342758915,342758916,342758917,push
287913835,7b2f8d6e5c907390bd4adacff8ce2c6294a57bfa,,develop,passed,1628,2017-10-14 12:41:02 UTC,287913836,287913837,287913838,push
270576603,f2f5423b1ddc379db3052d79a8dd76c56fd936af,,0.8.1,passed,1648,2017-08-31 20:37:59 UTC,270576608,270576611,270576612,push
270560603,a161263b8203db50a91980691a67c0339c0b656d,,develop,passed,1549,2017-08-31 23:53:00 UTC,270560604,270560605,270560606,push
270558055,f2f5423b1ddc379db3052d79a8dd76c56fd936af,,master,passed,1601,2017-08-31 23:15:22 UTC,270558056,270558057,270558058,push
270557974,f2f5423b1ddc379db3052d79a8dd76c56fd936af,,develop,passed,2110,2017-08-31 19:41:58 UTC,270557975,270557976,270557977,push
270555710,4194b5458d54de58ed19f86e4f65ebbbadd4cc39,,develop,passed,1533,2017-08-31 23:53:50 UTC,270555711,270555712,270555713,push
270211088,fa7a54f1fb6126a8219235eae216e0a23b96a849,,develop,passed,1534,2017-08-30 23:00:46 UTC,270211093,270211095,270211096,push
