build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
669096326,cf7a2c95b7cbf238e81d70cb28d5531c0342d7d9,126,master,passed,46,2020-03-31 06:03:57 UTC,669096327,pull_request
574430953,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,634,2019-08-20 15:49:44 UTC,574430955,574430956,574430957,574430958,574430959,574430960,574430961,574430962,574430970,574430971,574430972,574430973,574430974,574430975,cron
573450564,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,653,2019-08-18 15:49:04 UTC,573450565,573450566,573450567,573450568,573450569,573450570,573450571,573450572,573450573,573450574,573450575,573450576,573450577,573450578,cron
573160108,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,628,2019-08-17 15:48:21 UTC,573160110,573160112,573160114,573160115,573160117,573160118,573160120,573160122,573160126,573160127,573160128,573160129,573160130,573160131,cron
572359038,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,710,2019-08-15 15:47:09 UTC,572359040,572359041,572359042,572359043,572359044,572359045,572359046,572359047,572359048,572359049,572359050,572359051,572359052,572359053,cron
571388722,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,632,2019-08-13 15:46:25 UTC,571388725,571388726,571388727,571388728,571388729,571388730,571388731,571388732,571388733,571388734,571388735,571388736,571388737,571388738,cron
570507644,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,766,2019-08-11 15:45:53 UTC,570507645,570507646,570507647,570507649,570507650,570507651,570507652,570507654,570507656,570507658,570507659,570507660,570507661,570507662,cron
570240437,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,639,2019-08-10 15:45:19 UTC,570240438,570240439,570240440,570240441,570240442,570240443,570240444,570240445,570240446,570240447,570240448,570240449,570240451,570240452,cron
569417277,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,canceled,538,2019-08-08 16:01:56 UTC,569417278,569417279,569417280,569417281,569417282,569417283,569417284,569417285,569417288,569417289,569417290,569417291,569417292,569417293,cron
568435428,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,1462,2019-08-06 18:20:00 UTC,568435429,568435430,568435431,568435432,568435433,568435434,568435435,568435436,568435437,568435438,568435439,568435440,568435441,568435442,cron
567947799,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,1119,2019-08-05 15:43:26 UTC,567947802,567947803,567947804,567947807,567947808,567947809,567947810,567947811,567947815,567947816,567947818,567947819,567947825,567947826,cron
567568508,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,1848,2019-08-04 15:42:31 UTC,567568509,567568510,567568511,567568512,567568513,567568514,567568515,567568516,567568517,567568518,567568519,567568520,567568521,567568522,cron
567104329,8694c37c613791a8f673626ac5ee68e31cdf906f,,master,passed,972,2019-08-02 20:02:23 UTC,567104330,567104331,567104332,567104335,567104336,567104337,567104338,567104339,567104340,567104341,567104342,567104343,567104344,567104345,push
567051612,c61d6417e1b5ac0b49b11ad69b765c6a0986edf4,110,master,passed,1248,2019-08-02 17:32:04 UTC,567051613,567051614,567051615,567051616,567051617,567051618,567051619,567051620,567051621,567051622,567051623,567051624,567051625,567051626,pull_request
567051586,fd2124a4febd36095b89d3c556f10db77ab3df6a,,switch-to-jdk8,passed,1060,2019-08-02 17:29:19 UTC,567051587,567051588,567051589,567051590,567051591,567051592,567051593,567051594,567051595,567051596,567051597,567051598,567051599,567051600,push
567022228,219edbc03145b943aad912d17e51487599741e50,110,master,errored,699,2019-08-02 16:14:10 UTC,567022229,567022230,567022231,567022232,567022233,567022234,567022235,567022236,567022237,567022238,567022239,567022240,567022241,567022242,pull_request
