build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
754678381,eeb5d4007833af7e5332f2e0fa6e1cf2cb653af5,,master,passed,1457,2021-01-15 19:35:22 UTC,754678382,754678383,754678384,754678385,754678386,754678387,754678388,754678389,754678390,754678391,754678392,754678393,754678394,754678395,754678396,754678397,754678398,754678399,push
754642547,8b44c65eeb20ae9f34591c55ef2fea92875e44d8,924,master,passed,1476,2021-01-15 15:57:03 UTC,754642548,754642549,754642550,754642551,754642552,754642553,754642554,754642555,754642556,754642557,754642558,754642559,754642560,754642561,754642562,754642563,754642564,754642565,pull_request
754629112,47c27d15ce8c837c3eaf1c8d835007ecc28be118,921,master,failed,1215,2021-01-15 13:58:51 UTC,754629113,754629114,754629115,754629116,754629117,754629118,754629119,754629120,754629121,754629122,754629123,754629124,754629125,754629126,754629127,pull_request
753660714,9365cb0177202e76a6c0eef5bbdee148721e7eb7,926,master,failed,1186,2021-01-09 09:43:34 UTC,753660715,753660716,753660717,753660718,753660719,753660720,753660721,753660722,753660723,753660724,753660725,753660726,753660727,753660728,753660729,pull_request
751709593,117f0ffa608fab6039207f0b21fb1bf9df4315c4,924,master,passed,1890,2020-12-27 19:00:18 UTC,751709594,751709595,751709596,751709597,751709598,751709599,751709600,751709601,751709602,751709603,751709604,751709605,751709606,751709607,751709608,751709609,751709610,751709611,pull_request
751709501,2861a99f99390e203dd65ee4db68f2cf61f82b16,924,master,failed,1878,2020-12-27 18:51:33 UTC,751709502,751709503,751709504,751709505,751709506,751709507,751709508,751709509,751709510,751709511,751709512,751709513,751709514,751709515,751709516,751709517,751709518,751709519,pull_request
751708457,e480536547dbca63a1f8b689d18182b29fec9278,924,master,failed,1787,2020-12-27 18:41:25 UTC,751708458,751708459,751708460,751708461,751708462,751708463,751708464,751708465,751708466,751708467,751708468,751708469,751708470,751708471,751708472,751708473,751708474,751708475,pull_request
751708374,471afeaea4cdcfbbe54be73708c9c81d7ca89df9,924,master,canceled,0,,751708375,751708376,751708377,751708378,751708379,751708380,751708381,751708382,751708383,751708384,751708385,751708386,751708387,751708388,751708389,751708390,751708391,751708392,751708393,pull_request
751708240,16aa112495ffecfbbcfa372567d5d9b504acd738,924,master,canceled,0,,751708241,751708242,751708243,751708244,751708245,751708246,751708247,751708248,751708249,751708250,751708251,751708252,751708253,751708254,751708255,751708256,751708257,751708258,751708259,pull_request
751707920,2b1ab1ee9ea75b0840bd6f489546c0dff4254177,924,master,canceled,0,,751707921,751707922,751707923,751707924,751707925,751707926,751707927,751707928,751707929,751707930,751707931,751707932,751707933,751707934,751707935,pull_request
751707862,a303efe19ebe9926b2bc881c0de98ee62cf7f524,924,master,failed,1526,2020-12-27 18:33:38 UTC,751707863,751707864,751707865,751707866,751707867,751707868,751707869,751707870,751707871,751707872,751707873,751707874,751707875,751707876,751707877,pull_request
751707784,dd153006355fd0d5d66d0449081394426e2605ab,924,master,canceled,0,2020-12-27 18:33:14 UTC,751707785,751707786,751707787,751707788,751707789,751707790,751707791,751707792,751707793,751707794,751707795,751707796,751707797,751707798,751707799,pull_request
