build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
674001434,956bf76c95428584bfa875fcb29ea59b1173a77a,250,core,errored,1037,2020-04-12 08:59:41 UTC,674001435,674001436,674001437,674001438,674001439,674001440,674001441,674001442,674001443,674001444,674001445,674001446,674001447,674001448,pull_request
674001197,0229124a493ca29c22aa346cba604f8ba07871de,,fixup_vector_transpose_error,errored,1050,2020-04-12 08:56:09 UTC,674001198,674001199,674001200,674001201,674001202,674001203,674001204,674001205,674001206,674001207,674001208,674001209,674001210,674001211,push
674000431,e305743a7057c2aefb4fec969ca0be727542c159,250,core,errored,1041,2020-04-12 08:50:53 UTC,674000432,674000433,674000434,674000435,674000436,674000437,674000438,674000439,674000440,674000441,674000442,674000443,674000444,674000445,pull_request
533452893,287b7be85ec82913f8d1026490fab2907061d74d,248,core,errored,1523,2019-05-16 18:19:10 UTC,533452894,533452895,533452896,533452897,533452898,533452899,533452900,533452901,533452902,533452903,533452904,533452905,533452906,533452907,pull_request
533452562,9972cbcc7dd970bac33fc573490dad684966869b,,fix_hash_equal,errored,1420,2019-05-16 18:14:07 UTC,533452563,533452564,533452565,533452566,533452567,533452568,533452569,533452570,533452571,533452572,533452573,533452574,533452575,533452576,push
426517467,ba1cd742383e35c10471acb4dbf8958e72a79c59,245,core,errored,1757,2018-09-10 04:17:08 UTC,426517468,426517469,426517470,426517471,426517472,426517473,426517474,426517475,426517476,426517477,426517478,426517479,426517480,426517481,pull_request
426517452,4c3e98b118e4a940f119278ac5b8343e95992ea0,,removing-old-badges,errored,1793,2018-09-10 04:09:47 UTC,426517453,426517454,426517455,426517456,426517457,426517458,426517459,426517460,426517461,426517462,426517463,426517464,426517465,426517466,push
426517405,af22b42c2be3694ad9504f16a3357bd74e084a54,245,core,canceled,0,,426517406,426517407,426517408,426517409,426517410,426517411,426517412,426517413,426517414,426517415,426517416,426517417,426517418,426517419,pull_request
426517386,93d9f3c47cf9f9d7e679de988e67463f1587279b,,removing-old-badges,errored,1822,2018-09-10 04:03:33 UTC,426517387,426517388,426517389,426517390,426517391,426517392,426517393,426517394,426517395,426517396,426517397,426517398,426517399,426517400,push
381098639,c6eb0ee3421411a6812acb7de60d188bafae203d,,core,passed,2189,2018-05-19 15:37:34 UTC,381098640,381098641,381098642,381098643,381098644,381098645,381098646,381098647,381098648,381098649,381098650,381098651,381098652,381098653,push
381095364,8b68c2eec68f127aeaa82e74ffcb8670bb3d8757,244,core,passed,2146,2018-05-19 15:23:57 UTC,381095365,381095366,381095367,381095368,381095369,381095370,381095371,381095372,381095373,381095374,381095375,381095376,381095377,381095378,pull_request
380864084,add3f2d8d388f3c884dc41bf3ec758b86e425880,,fix_sortedset_new,passed,2138,2018-05-18 20:23:31 UTC,380864085,380864086,380864087,380864088,380864089,380864090,380864091,380864092,380864093,380864094,380864095,380864096,380864097,380864098,push
377841471,2886e214ae5cc61ac43649990dd8a43922372aca,,master,passed,1377,2018-05-11 17:47:24 UTC,377841472,377841473,377841474,377841475,377841476,377841477,377841478,377841479,push
377828278,9f69552ac783cb8b886ec1c3aaf6460319bc71ec,,master,errored,1279,2018-05-11 17:14:05 UTC,377828279,377828280,377828281,377828282,377828283,377828284,377828285,377828286,push
377444219,8d8a88094fcea5bad23a24b0c229706eef7ddecd,,master,passed,1378,2018-05-10 20:14:39 UTC,377444220,377444221,377444222,377444223,377444224,377444225,377444226,377444227,push
377439500,16fb78905771678b769a9ddd3f4ab8bc29dc5bea,,master,passed,1312,2018-05-10 20:03:12 UTC,377439504,377439505,377439506,377439507,377439508,377439509,377439510,377439511,push
369694812,e44b1aad3e802d5661812b06a88bead0dd090019,242,core,passed,2023,2018-04-22 08:48:50 UTC,369694813,369694814,369694815,369694816,369694817,369694818,369694819,369694820,369694821,369694822,369694823,369694824,369694825,369694826,pull_request
369669820,2b56d9261327bb06763e191c96faaf60931b0bd9,,core,passed,1985,2018-04-22 05:42:35 UTC,369669821,369669822,369669823,369669824,369669825,369669826,369669827,369669828,369669829,369669830,369669831,369669832,369669833,369669834,push
369533864,e2767d5620ae8cee8b80aa2616e48e0bf29c8652,240,core,passed,2199,2018-04-21 16:26:50 UTC,369533865,369533866,369533867,369533868,369533869,369533870,369533871,369533872,369533873,369533874,369533875,369533876,369533877,369533878,pull_request
369530202,bfd2ab47992b71ee17292eab2ad247c69d6477d6,240,core,passed,2119,2018-04-21 16:11:33 UTC,369530203,369530204,369530205,369530206,369530207,369530208,369530209,369530210,369530211,369530212,369530213,369530214,369530215,369530216,pull_request
369527031,a69adf06eb4df5537592756a11a3e9cc29d1914f,,core,passed,2172,2018-04-21 15:57:40 UTC,369527032,369527033,369527034,369527035,369527036,369527037,369527038,369527039,369527040,369527041,369527042,369527043,369527044,369527045,push
369524296,1ab3bc272d89a957125b95ea51d031a1953bdc42,241,core,passed,2023,2018-04-21 15:45:49 UTC,369524297,369524298,369524299,369524300,369524301,369524302,369524303,369524304,369524305,369524306,369524307,369524308,369524309,369524310,pull_request
369520065,cb6020c918ec1d0449f0deca469db6e3d1e00674,241,core,failed,2261,2018-04-21 15:28:28 UTC,369520066,369520067,369520068,369520069,369520070,369520071,369520072,369520073,369520074,369520075,369520076,369520077,369520078,369520079,369520080,pull_request
369518489,d20e121a025fa8bb12c722629d7b6b2eb2498fc8,240,core,passed,1151,2018-04-21 15:20:57 UTC,369518490,369518491,369518492,369518493,369518494,369518495,369518496,369518497,pull_request
287160758,2e11c5df9ee3da88fbfdefa504de127ea3189093,,master,passed,1001,2017-10-12 17:34:54 UTC,287160761,287160764,287160768,287160775,287160781,287160783,287160784,push
