build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
623884889,f8cdaab5ded2a9072627f847d3411130347cbba5,,master,errored,12901,2019-12-11 22:08:44 UTC,623884890,623884891,623884892,623884893,623884894,623884895,623884896,623884897,623884898,623884899,623884900,623884901,push
623880990,7f328c0b4440583cf7ded9f73fa03604be4bdc64,4409,master,errored,3816,2019-12-11 21:56:50 UTC,623880991,623880992,623880993,623880994,623880995,623880996,623880997,623880998,623880999,623881000,623881001,623881002,pull_request
623851110,15e81a73954e4e710f33b3fb935f0e54bf4cf97b,4408,master,errored,13036,2019-12-11 20:38:26 UTC,623851111,623851112,623851113,623851114,623851115,623851116,623851117,623851118,623851119,623851120,623851121,623851122,pull_request
623819183,227c455ba645bff04aeb77ba3643e1191ff17add,,pps-gc-test-to-ci-trigger,errored,13261,2019-12-11 19:33:36 UTC,623819184,623819185,623819186,623819187,623819188,623819189,623819190,623819191,623819192,623819193,623819194,623819195,push
623808488,b7c5fc436fa90f5cb9fccfb9ba04f1e2a6f22c24,,master,passed,12114,2019-12-11 18:59:20 UTC,623808489,623808490,623808491,623808492,623808493,623808494,623808495,623808496,623808497,623808498,623808499,623808500,push
623807621,392efc437900ea23e6cea9ad9f2a8a6b108fa734,4407,master,errored,4063,2019-12-11 18:47:05 UTC,623807622,623807623,623807624,623807625,623807626,623807627,623807628,623807629,623807630,623807631,623807632,623807633,pull_request
623455071,8c3b1391d08e5859848100578d8fc1800fd784f6,,master,passed,12254,2019-12-11 01:05:13 UTC,623455072,623455073,623455074,623455075,623455076,623455077,623455078,623455079,623455080,623455081,623455082,623455083,push
623440239,b9d5d1f70a9233acc292a65f548d00e7c3eaf5af,4404,master,errored,3789,2019-12-11 00:25:36 UTC,623440240,623440241,623440242,623440243,623440244,623440245,623440246,623440247,623440248,623440249,623440250,623440251,pull_request
623439943,24e23b351ecc1d66211e4c6d41f14aa85edea7c3,4404,master,failed,11387,2019-12-10 23:46:25 UTC,623439944,623439945,623439946,623439947,623439948,623439949,623439950,623439951,623439952,623439953,623439954,623439955,pull_request
623394361,b8db0d315727fbc64c62eee25ef3abe4b2a3cb1f,,pps-gc-test-to-ci-trigger,passed,1474,2019-12-10 23:14:21 UTC,623394362,push
623373928,b8db0d315727fbc64c62eee25ef3abe4b2a3cb1f,,pps-gc-test-to-ci-trigger,passed,1434,2019-12-10 20:56:20 UTC,623373929,push
623306172,144fb85ad2a0f99ec0ec1d3278a5ca0f38464892,,master,errored,13152,2019-12-10 18:22:57 UTC,623306173,623306174,623306175,623306176,623306177,623306178,623306179,623306180,623306181,623306182,623306183,623306184,push
623299507,262309db483d55a4adc025448a1839bc9a25ff94,,pps-gc-test-to-ci-trigger,passed,2656,2019-12-10 18:09:03 UTC,623299508,623299509,push
623207378,96bbc2531d2b4b82e2f0e426d3664211d15a61ae,,master,passed,12996,2019-12-10 14:35:05 UTC,623207379,623207380,623207381,623207382,623207383,623207384,623207385,623207386,623207387,623207388,623207389,623207390,push
