build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
668279893,bde60fe838cac87d1783a942a0ab0423e59dc104,662,master,failed,1155,2020-03-29 05:45:00 UTC,668279894,668279895,668279896,668279897,668279898,668279899,668279900,668279901,668279902,pull_request
668265704,86ce3278c3a0092188a997a74902b1465339ca90,661,master,failed,1197,2020-03-29 04:16:04 UTC,668265705,668265706,668265707,668265708,668265709,668265710,668265711,668265712,668265713,pull_request
668185303,3ed72f82dcc49ff56f5d8371963d5faa563fb14c,,v1.13.3,passed,1091,2020-03-28 21:04:11 UTC,668185304,668185305,668185306,668185307,668185308,668185309,668185310,668185311,668185312,push
668185286,3ed72f82dcc49ff56f5d8371963d5faa563fb14c,,master,passed,1280,2020-03-28 21:24:53 UTC,668185287,668185288,668185289,668185290,668185291,668185292,668185293,668185294,668185295,push
668104311,4eadfe9bce1e7376da453e9d9b0553765e43ec4d,658,master,failed,1363,2020-03-28 15:49:40 UTC,668104312,668104313,668104314,668104315,668104316,668104317,668104318,668104319,668104320,pull_request
668083482,979605fbe40535c15400db9525b2612232ba7fcc,658,master,failed,1318,2020-03-28 14:30:29 UTC,668083483,668083484,668083485,668083486,668083487,668083488,668083489,668083490,668083491,pull_request
667958870,849435a99f7575c4354d8b791fa8892e95afb24b,658,master,failed,1190,2020-03-28 02:44:02 UTC,667958871,667958872,667958873,667958874,667958875,667958876,667958877,667958878,667958879,pull_request
667957874,f9ed0e00caf35e140a3c10c6d9bf4b9b492b62ce,658,master,failed,1185,2020-03-28 02:38:38 UTC,667957875,667957876,667957877,667957878,667957879,667957880,667957881,667957882,667957883,pull_request
667956360,3444f0c84a361ce8ceccf916aaa9c64103408176,658,master,failed,1270,2020-03-28 02:27:43 UTC,667956361,667956362,667956363,667956364,667956365,667956366,667956367,667956368,667956369,pull_request
667559556,f185675a7475cc019ce4fdf0c360d11712990d25,658,master,failed,1295,2020-03-27 04:52:37 UTC,667559557,667559558,667559559,667559560,667559561,667559562,667559563,667559564,667559565,pull_request
666514906,1b82d36ab236b864cba681f40c17aa4b4d3579a6,,master,passed,1674,2020-03-24 20:35:24 UTC,666514908,666514909,666514910,666514911,666514912,666514913,666514914,666514915,666514916,api
665600677,ad2efa85098b4207d374c9e35ba6c29eb74fdf12,,master,failed,1238,2020-03-22 20:36:02 UTC,665600678,665600679,665600680,665600681,665600682,665600683,665600684,665600685,push
664575581,9159cb8fb3d719b3f4435d1dd6f25d5739a2b626,,master,failed,1610,2020-03-19 20:17:21 UTC,664575582,664575583,664575584,664575586,664575587,664575589,664575590,664575591,push
663221212,160328d21c3e02697cac693d2f805b98e2531965,,master,failed,999,2020-03-18 22:52:34 UTC,663221213,663221214,663221215,663221216,663221217,663221218,663221219,663221220,push
663090277,1b1a2075de8d66111b0ec6e981db94cb592c18d3,644,master,failed,1401,2020-03-16 14:30:54 UTC,663090278,663090279,663090280,663090281,663090282,663090283,663090284,663090285,pull_request
663080359,0b8e7d1dbcef716ece513d242234e1bfffe86ad6,644,master,failed,1308,2020-03-16 14:07:40 UTC,663080360,663080361,663080362,663080363,663080364,663080365,663080366,663080367,pull_request
662489018,e0b0e8d62a830d97670986d1b6ab8c04713a0b9f,,v1.13.2,passed,1006,2020-03-14 19:20:59 UTC,662489019,662489020,662489021,662489022,662489023,662489024,662489025,662489026,push
662489005,e0b0e8d62a830d97670986d1b6ab8c04713a0b9f,,master,passed,1104,2020-03-14 19:20:07 UTC,662489006,662489007,662489008,662489009,662489010,662489011,662489012,662489013,push
662479758,5b676ea59dfc4d6d70732e656b15d1b41c1ce562,,master,failed,1202,2020-03-14 18:45:04 UTC,662479759,662479760,662479761,662479762,662479763,662479764,662479765,662479766,push
659316246,ebc70e87ce9659df987b43603ad6164ee09e56d2,,master,failed,1201,2020-03-06 20:15:50 UTC,659316247,659316248,659316249,659316250,659316251,659316252,659316253,659316254,push
658009067,3fb41c34c8255b4e03ad38eed06a563841e2304a,,master,passed,1051,2020-03-04 00:41:15 UTC,658009068,658009069,658009070,658009071,658009072,658009073,658009074,658009075,push
657032527,72122eb9b3c9acadece23fff8d01b465519887aa,,v1.13.1,passed,953,2020-03-01 20:33:12 UTC,657032528,657032529,657032530,657032531,657032532,657032533,657032534,657032535,push
