build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
686832132,2f325cf47c54ec59c356ec30696d7405f5059d25,210,master,failed,133,2020-05-14 02:25:26 UTC,686832133,686832134,686832135,686832136,686832137,686832138,pull_request
617128313,cc3c8cfd77380ef50eeac740efe627509a248101,,master,failed,137,2019-11-26 10:10:57 UTC,617128314,617128315,617128316,617128317,617128318,617128319,push
542067474,1d48758988461f91f669895f57aaf24d963885bf,204,master,failed,380,2019-06-06 03:16:44 UTC,542067475,542067476,542067477,542067478,542067479,542067480,pull_request
453682293,f921ce76dd4cbf46d96c237c0f42f14f4c0f7807,193,master,failed,274,2018-11-11 20:39:52 UTC,453682294,453682295,453682296,453682297,453682298,453682299,pull_request
453675749,d889d527ab6c89422b73dccff6f1e88598e55c9a,193,master,failed,305,2018-11-11 20:17:22 UTC,453675750,453675751,453675752,453675753,453675755,453675758,pull_request
441904054,befb2ffef9a4d6c5f4f3f82072b418943895143d,190,master,passed,248,2018-10-15 22:13:43 UTC,441904055,441904056,441904057,441904058,pull_request
441902421,2b3399b6c632d26f6eabbb7d1bdd2bcd664ee69d,190,master,errored,376,2018-10-15 22:08:19 UTC,441902422,441902423,441902424,441902425,441902426,441902427,pull_request
441897868,2e21321f562c35cc980e38add48159fd4ae845f1,190,master,failed,250,2018-10-15 22:00:55 UTC,441897869,441897870,441897871,441897872,441897873,441897874,441897875,pull_request
441897431,87309b12949bdd8cfb1ee36cc7c5f9f4dd043523,190,master,canceled,0,,441897432,441897433,441897434,441897435,441897436,441897437,441897438,pull_request
441896763,2b03e1e326816977dd541bed9bc23c3782d31326,190,master,failed,107,2018-10-15 21:52:09 UTC,441896764,441896765,441896766,441896767,441896768,441896769,441896771,pull_request
441891514,378859ee58b0af03e42cf8ca39b452a9dea4f484,190,master,failed,264,2018-10-15 21:46:26 UTC,441891515,441891516,441891517,441891518,441891519,441891520,pull_request
441891366,718bdbc829973a4e28b77441e0a253b0161721bd,190,master,canceled,-9,2018-10-15 21:37:37 UTC,441891367,441891368,441891369,441891370,441891371,441891372,pull_request
441890666,3ebb0b7d301c4161b2aa18997b7aafd21f9ce4f6,190,master,failed,254,2018-10-15 21:35:55 UTC,441890667,441890668,441890669,441890670,441890671,441890672,pull_request
432637518,01027279d9e8c6b5665a75715a6e1904e440f895,188,master,failed,244,2018-09-24 19:44:54 UTC,432637521,432637522,432637524,432637526,432637528,432637530,pull_request
423550760,8c5bdacd8b09a1b7d0c100a22c25f0cd76a3d49e,184,master,failed,316,2018-09-02 08:03:50 UTC,423550761,423550762,423550763,423550764,423550765,423550766,pull_request
419502144,f8110a52402b9900c5f10fdef3bc0c6822520be5,183,master,failed,322,2018-08-23 05:58:54 UTC,419502145,419502146,419502147,419502148,419502149,419502150,pull_request
387558624,73f76689a482ee8acc7478ee121a46f11bf55dff,182,master,errored,321,2018-06-04 00:08:27 UTC,387558625,387558626,387558627,387558628,387558629,387558630,387558631,pull_request
