build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
751183101,a84ab9da9d0977d29e6dc56bf7522386eb68394e,,main,passed,3734,2020-12-23 11:53:20 UTC,751183102,751183103,751183104,751183105,751183106,751183107,751183108,751183109,751183110,751183111,751183112,751183113,751183114,751183115,751183116,751183117,751183118,751183119,751183120,751183121,751183122,751183123,751183124,751183125,751183126,751183127,751183128,751183129,751183130,751183131,751183132,751183133,751183134,751183135,751183136,751183137,751183138,751183139,751183140,751183141,751183142,751183143,751183144,751183145,751183146,751183147,751183148,751183149,751183150,751183151,751183152,751183153,751183154,751183155,751183156,751183157,751183158,751183159,751183160,751183161,751183162,751183163,751183164,push
751181468,a84ab9da9d0977d29e6dc56bf7522386eb68394e,,patch-1,passed,3561,2020-12-23 11:31:09 UTC,751181469,751181470,751181471,751181472,751181473,751181474,751181475,751181476,751181477,751181478,751181479,751181480,751181481,751181482,751181483,751181484,751181485,751181486,751181487,751181488,751181489,751181490,751181491,751181492,751181493,751181494,751181495,751181496,751181497,751181498,751181499,751181500,751181501,751181502,751181503,751181504,751181505,751181506,751181507,751181508,751181509,751181510,751181511,751181512,751181513,751181514,751181515,751181516,751181517,751181518,751181519,751181520,751181521,751181522,751181523,751181524,751181525,751181526,751181527,751181528,751181529,751181530,751181531,push
751181105,a9c7fa727035a2d367448657663e2a46837f0711,,patch-1,canceled,144,2020-12-23 11:27:02 UTC,751181106,751181107,751181108,751181109,751181110,751181111,751181112,751181113,751181114,751181115,751181116,751181117,751181118,751181119,751181120,751181121,751181122,751181123,751181124,751181125,751181126,751181127,751181128,751181129,751181130,751181131,751181132,751181133,751181134,751181135,751181136,751181137,751181138,751181139,751181140,751181141,751181142,751181143,751181144,751181145,751181146,751181147,751181148,751181149,751181150,751181151,751181152,751181153,751181154,751181155,751181156,751181157,751181158,751181159,751181160,751181161,751181162,751181163,751181164,751181165,751181166,751181167,751181168,push
751180378,d61bcee5d0455d292d9d24f4ec2cdcc66168c3b4,,patch-1,canceled,30,2020-12-23 11:25:44 UTC,751180379,751180380,751180381,751180382,751180383,751180384,751180385,751180386,751180387,751180388,751180389,751180390,751180391,751180392,751180393,751180394,751180395,751180396,751180397,751180398,751180399,751180400,751180401,751180402,751180403,751180404,751180405,751180406,751180407,751180408,751180409,751180410,751180411,751180412,751180413,751180414,751180415,751180416,751180417,751180418,751180419,751180420,751180421,751180422,751180423,751180424,751180425,751180426,751180427,751180428,751180429,751180430,751180431,751180432,751180433,751180434,751180435,751180436,751180437,751180438,751180439,751180440,751180441,push
751178666,e5b9feef3d1d68a774df0e729386748f4d11cf50,,main,passed,3540,2020-12-23 11:01:24 UTC,751178667,751178668,751178669,751178670,751178671,751178672,751178673,751178674,751178675,751178676,751178677,751178678,751178679,751178680,751178681,751178682,751178683,751178684,751178685,751178686,751178687,751178688,751178689,751178690,751178691,751178692,751178693,751178694,751178695,751178696,751178697,751178698,751178699,751178700,751178701,751178702,751178703,751178704,751178705,751178706,751178707,751178708,751178709,751178710,751178711,751178712,751178713,751178714,751178715,751178716,751178717,751178718,751178719,751178720,751178721,751178722,751178723,751178724,751178725,751178726,751178727,751178728,751178729,push
751073467,ab5fa0a96e2a1176d4cc78a5658f2f7fad92fec6,500,main,errored,2631,2020-12-23 01:02:44 UTC,751073468,751073469,751073470,751073471,751073472,751073473,751073474,751073475,751073476,751073477,751073478,751073479,751073480,751073481,751073482,751073483,751073484,751073485,751073486,751073487,751073488,751073489,751073490,751073491,751073492,751073493,751073494,751073495,751073496,751073497,751073498,751073499,751073500,751073501,751073502,751073503,751073504,751073505,751073506,751073507,751073508,751073509,751073510,751073511,751073512,751073513,751073514,751073515,751073516,751073517,751073518,751073519,751073520,751073521,751073522,751073523,751073524,751073525,751073526,751073527,751073528,751073529,751073530,pull_request
751067384,7d628afd6db8b9504e2e222bb3f08b2298a95c6b,500,main,errored,2468,2020-12-22 18:18:57 UTC,751067385,751067386,751067387,751067388,751067389,751067390,751067391,751067392,751067393,751067394,751067395,751067396,751067397,751067398,751067399,751067400,751067401,751067402,751067403,751067404,751067405,751067406,751067408,751067410,751067411,751067412,751067413,751067414,751067415,751067416,751067417,751067418,751067419,751067420,751067421,751067422,751067423,751067425,751067427,751067428,751067430,751067431,751067432,751067433,751067434,751067435,751067436,751067437,751067438,751067439,751067440,751067441,751067442,751067443,751067444,751067445,751067446,751067447,751067448,751067449,751067450,751067451,751067452,pull_request
750442638,d59081262f64a872d6ec5ec9dc9c0d7be57b643a,,master,errored,2449,2020-12-18 18:28:39 UTC,750442639,750442640,750442641,750442642,750442643,750442644,750442645,750442646,750442647,750442648,750442649,750442650,750442651,750442652,750442653,750442654,750442655,750442656,750442657,750442658,750442659,750442660,750442661,750442662,750442663,750442664,750442665,750442666,750442667,750442668,750442669,750442670,750442671,750442672,750442673,750442674,750442675,750442676,750442677,750442678,750442679,750442680,750442681,750442682,750442683,750442684,750442685,750442686,750442687,750442688,750442689,750442690,750442691,750442692,750442693,750442694,750442695,750442696,750442697,750442698,750442699,750442700,750442701,cron
749109791,d59081262f64a872d6ec5ec9dc9c0d7be57b643a,,master,errored,2412,2020-12-11 19:50:25 UTC,749109792,749109793,749109794,749109795,749109796,749109797,749109798,749109799,749109800,749109801,749109802,749109803,749109804,749109806,749109808,749109810,749109812,749109814,749109815,749109816,749109817,749109818,749109819,749109820,749109821,749109822,749109823,749109824,749109825,749109826,749109827,749109828,749109829,749109830,749109831,749109832,749109833,749109834,749109835,749109836,749109837,749109838,749109839,749109840,749109841,749109842,749109843,749109844,749109845,749109846,749109847,749109848,749109849,749109850,749109851,749109852,749109853,749109854,749109855,749109856,749109857,749109858,749109859,cron
747682220,d59081262f64a872d6ec5ec9dc9c0d7be57b643a,,master,passed,3743,2020-12-04 19:23:52 UTC,747682227,747682228,747682229,747682230,747682231,747682232,747682233,747682235,747682236,747682237,747682238,747682239,747682240,747682241,747682242,747682254,747682255,747682256,747682257,747682258,747682259,747682260,747682261,747682262,747682263,747682264,747682265,747682266,747682268,747682269,747682270,747682272,747682273,747682278,747682279,747682280,747682281,747682282,747682283,747682284,747682285,747682286,747682287,747682288,747682289,747682290,747682291,747682292,747682293,747682294,747682295,747682296,747682297,747682301,747682302,747682303,747682304,747682305,747682306,747682307,747682308,747682309,747682310,cron
