build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
743002443,55b4a297d745d91f3b041fec260cac33380b223f,56,master,passed,505,2020-11-11 18:07:06 UTC,743002444,743002445,743002446,743002447,743002448,743002449,pull_request
697564746,3704c8d23324a3fc0771ad2c1cef0aa4e9459f6f,,master,passed,280,2020-06-12 10:29:48 UTC,697564747,697564748,697564749,push
689065256,e3db4c838a54a61aab235fd8b66b8ca09fd2dec2,,v1.5.0,passed,287,2020-05-20 01:07:20 UTC,689065257,689065258,689065259,push
689065074,e3db4c838a54a61aab235fd8b66b8ca09fd2dec2,,master,passed,287,2020-05-20 01:06:26 UTC,689065075,689065076,689065077,push
689063578,57ebce695e1db673a92ac4985349df1f76453d3a,,master,passed,289,2020-05-20 00:59:25 UTC,689063579,689063580,689063581,push
684051474,e2511112fb56b426fbaafa39cf292046a3a85327,54,master,passed,296,2020-05-06 23:06:20 UTC,684051475,684051476,684051477,pull_request
677178261,7a9e86c21b656572a747672545c5864be85c8b00,54,master,passed,309,2020-04-20 10:07:50 UTC,677178262,677178263,677178264,pull_request
614824094,acd64d450fd45fb2afa41f833f3788c8a7797219,,v1.4.0,passed,352,2019-11-21 01:11:00 UTC,614824095,614824096,614824097,push
614823979,acd64d450fd45fb2afa41f833f3788c8a7797219,,master,passed,360,2019-11-21 01:10:08 UTC,614823980,614823981,614823982,push
614822448,130d26cba1652d25a3fb94577d4d6a19476dfb8f,52,master,passed,373,2019-11-21 01:05:49 UTC,614822449,614822450,614822451,pull_request
614822339,6be5ee844c3cf2d8bc90aab9993a248cfa406996,,go-mod-init,passed,346,2019-11-21 01:05:22 UTC,614822340,614822341,614822342,push
614302541,47ae829ada0bec64797f83a65d85756435010b90,51,master,passed,327,2019-11-20 00:51:12 UTC,614302542,614302543,614302544,pull_request
614302447,83e000d635163b06af29421397268051770dd23d,,appveyor,passed,363,2019-11-20 00:50:53 UTC,614302448,614302449,614302450,push
614302081,e6812cd8b6726b9ddb25bd23b39e6f711ff5840b,,master,passed,342,2019-11-20 00:49:32 UTC,614302082,614302083,614302084,push
614300470,10d16cd6b717835a9584407f68193a5a1bcd1fef,50,master,passed,354,2019-11-20 00:43:14 UTC,614300471,614300472,614300473,pull_request
614300429,59a17b5f4bf65724f9db6c9d14ed0e6b94af8a52,,update-go-version,passed,351,2019-11-20 00:42:59 UTC,614300430,614300431,614300432,push
614298935,4c929fc8ee4d98c16c66a40c077d82d0df090623,,master,passed,312,2019-11-20 00:37:28 UTC,614298936,614298937,614298938,push
602889922,4d14daf2cf237bc1a22d9c45f58441278f1e4777,49,master,passed,333,2019-10-25 15:56:14 UTC,602889923,602889924,602889925,pull_request
510362231,f6fe06335df110bcf1ed6d4e852b760bfc15beee,,v1.3.0,passed,324,2019-03-23 17:39:22 UTC,510362232,510362233,510362235,push
510362114,f6fe06335df110bcf1ed6d4e852b760bfc15beee,,master,passed,353,2019-03-23 17:38:48 UTC,510362115,510362116,510362117,push
447566216,22592cc4bae3572d59be8852c6980023e4c9dec5,,master,passed,304,2018-10-28 23:52:49 UTC,447566217,447566219,447566220,447566221,push
447544210,3b13625fa5a52d84c49944c6693203ac0925f903,45,master,passed,313,2018-10-28 22:19:43 UTC,447544211,447544212,447544213,447544214,pull_request
414008417,057bc52a47ec3c79498dda63f4a6f8298725e976,,master,passed,276,2018-08-09 11:22:37 UTC,414008418,414008419,414008420,push
414006069,65f2aedb94e8f4b290c29288af09472bbc48673e,44,master,passed,269,2018-08-09 11:15:19 UTC,414006070,414006071,414006072,pull_request
230676814,5b67d428864e92711fcbd2f8629456121a56d91f,,v1.2.1,passed,224,2017-05-10 09:09:47 UTC,230676815,230676816,230676817,230676818,push
230274668,5b67d428864e92711fcbd2f8629456121a56d91f,,master,passed,228,2017-05-09 09:26:19 UTC,230274669,230274670,230274671,230274672,push
230266492,ae95316a9248cd8c648bca9497ed1f436185c491,40,master,passed,236,2017-05-09 08:55:55 UTC,230266494,230266495,230266496,230266497,pull_request
230266369,52c30d7a823723e8fb45f8756eccdd5433b0dece,,fixedbugs/39,passed,214,2017-05-09 08:55:30 UTC,230266370,230266371,230266372,230266373,push
221921278,06b906832ed0e32302a942b63b6c5f8359034d26,,master,passed,280,2017-04-13 23:18:51 UTC,221921279,221921280,221921281,221921282,push
221290606,7a4ad316ef4844ce948f146f420c877285688fcf,37,master,passed,296,2017-04-12 10:07:16 UTC,221290607,221290608,221290609,221290610,pull_request
213963158,22c7ee1c1882ecc28320f5b45cc0039323c4b42c,35,master,passed,383,2017-03-22 19:01:39 UTC,213963159,213963160,213963161,213963162,213963164,213963166,pull_request
213956934,141788cacc064b85fbc4b7ef203661b5c90a9176,35,master,passed,374,2017-03-22 18:37:21 UTC,213956935,213956936,213956937,213956938,213956939,213956942,pull_request
213946692,1e5886eada52f66229015b137d2df706a9daa17b,35,master,failed,369,2017-03-22 18:05:24 UTC,213946694,213946697,213946700,213946702,213946703,213946708,pull_request
213942428,d2a78ac3528a36292ee5c934b131c65c4eefd526,35,master,passed,394,2017-03-22 17:55:43 UTC,213942429,213942434,213942435,213942436,213942437,213942438,pull_request
186426245,3a8809bd8a80f8ecfe4ee1b34b3f37194968617c,,master,passed,213,2016-12-23 20:40:18 UTC,186426246,186426249,186426250,186426254,push
186376433,9dcc8c6288e2431088cf0921ec18e98f4085cf22,33,master,passed,228,2016-12-23 16:17:29 UTC,186376434,186376435,186376437,186376438,pull_request
162339052,030571e6da0f040a04e94a9af0dd8b6dd0cce0eb,,master,passed,216,2016-09-23 22:50:57 UTC,162339053,162339056,162339057,162339061,push
162335335,e0b560259e95c1d739132f7c03e976a934b3bd0d,30,master,passed,232,2016-09-23 22:39:48 UTC,162335336,162335337,162335338,162335339,pull_request
154101283,303fad789382e54372c3b92956e55fadf81b413d,,master,passed,221,2016-08-22 09:57:22 UTC,154101284,154101285,154101286,154101287,push
